market,snapshot_start,snapshot_complete,listing_ids,city_search_rows,previous_search_rows,source_partial_scope,conservative_no_negative_evidence,sha256,source_url
chicago,2025-09-22,2025-09-24,8660,7878,782,False,False,22a2718d68eba3d2e6644fb4e8e09cb465454bb1cac81b4e9be6b40b90acc345,https://data.insideairbnb.com/united-states/il/chicago/2025-09-22/data/listings.csv.gz
chicago,2025-12-25,2026-01-05,8884,7988,896,False,False,81770ef90c4bce7de6a80d02965b5c3756fb4b2893c4706d5ee81b17eb0782d2,https://data.insideairbnb.com/united-states/il/chicago/2025-12-25/data/listings.csv.gz
chicago,2026-01-20,2026-01-20,8817,7972,845,False,False,e6428d02b92ac1dc219bffd70a7a1cdac5f1394e852d4f7e8595d682691e7e78,https://data.insideairbnb.com/united-states/il/chicago/2026-01-20/data/listings.csv.gz
chicago,2026-02-25,2026-02-25,7821,7821,0,False,True,d4128a385bc9446be2aca48d6c65e4df48f6b9baedb219522a71d00d52fda742,https://data.insideairbnb.com/united-states/il/chicago/2026-02-25/data/listings.csv.gz
chicago,2026-03-27,2026-03-27,5153,5153,0,True,True,4bd1ebd0d284ea67d120c21b788b549e37c22c92c6f0c81a3b5b0e62d1fa9e69,https://data.insideairbnb.com/united-states/il/chicago/2026-03-27/data/listings.csv.gz
chicago,2026-04-24,2026-04-25,5116,5116,0,True,True,dd0ee5470e71eb754467c90b23c501b6f1419b083d8fd90f68916e72bfc94c98,https://data.insideairbnb.com/united-states/il/chicago/2026-04-24/data/listings.csv.gz
chicago,2026-05-26,2026-06-06,8408,5259,3149,False,True,6ebf3ed3f56e26b076f0990256149d9476b790a9c6ccbacb8cc06de9a470f6a7,https://data.insideairbnb.com/united-states/il/chicago/2026-05-26/data/listings.csv.gz
chicago,2026-06-24,2026-07-03,8660,7790,870,False,False,8f0e61e8eef19a0af6a9337cf72442375e390b32784fa4f32b4f9c14c9cc9f69,https://data.insideairbnb.com/united-states/il/chicago/2026-06-24/data/listings.csv.gz
chicago,2026-07-20,2026-07-21,8698,7836,862,False,False,30894ca4a27d31ef4025b10e00659c579e844c59ce82fad3752b69dae2c2f35d,https://data.insideairbnb.com/united-states/il/chicago/2026-07-20/data/listings.csv.gz
chicago,2026-08-27,2026-08-30,8778,7945,833,False,False,76ae8416baa9285af75de0656c73bdf66382d3f69a33879280ae5c7f4f9e0456,https://data.insideairbnb.com/united-states/il/chicago/2026-08-27/data/listings.csv.gz
san-diego,2025-09-25,2025-09-25,13162,11414,1748,False,False,a95bcdd468102c1771fddfe88bc2c724187c8360b881b31005e51f74b33861f4,https://data.insideairbnb.com/united-states/ca/san-diego/2025-09-25/data/listings.csv.gz
san-diego,2025-12-11,2025-12-12,13164,11714,1450,False,False,bdeab0c683dcd9f77373712c752b2f8ce2d13e823c7d5fb8e530c07ab87f2e8a,https://data.insideairbnb.com/united-states/ca/san-diego/2025-12-11/data/listings.csv.gz
san-diego,2025-12-22,2026-01-05,13076,11476,1600,False,False,975b04ab0f78b74cfad09bbd21eef395958f40f085490e89ba0c1266abfa3465,https://data.insideairbnb.com/united-states/ca/san-diego/2025-12-22/data/listings.csv.gz
san-diego,2026-01-23,2026-01-23,13095,11611,1484,False,False,cd803ee6746d365e0cb6c6670a7efc1c5c24e8e4448fa562889666cf6b535086,https://data.insideairbnb.com/united-states/ca/san-diego/2026-01-23/data/listings.csv.gz
san-diego,2026-02-25,2026-02-26,11427,11427,0,False,True,6d4cd41f46001bbf92838d09709d8e78d7f5d8960a5de0ac191417135e2f65f8,https://data.insideairbnb.com/united-states/ca/san-diego/2026-02-25/data/listings.csv.gz
san-diego,2026-03-29,2026-03-29,11765,7854,3911,False,True,26b97c9ba319e9b9a1b54260c796dc238787cddcd021a2946a64a477ad7d5b5d,https://data.insideairbnb.com/united-states/ca/san-diego/2026-03-29/data/listings.csv.gz
san-diego,2026-04-26,2026-04-26,11673,7955,3718,False,True,9299727d4a6b4e9e4f8a700c1e65f4d20bd5009f38ec9787611fb050778d6495,https://data.insideairbnb.com/united-states/ca/san-diego/2026-04-26/data/listings.csv.gz
san-diego,2026-05-27,2026-06-06,11802,8366,3436,False,True,60757f9b2876a42160ff17df2995568c69265c8ef58625c222f58a4acb1cbd1a,https://data.insideairbnb.com/united-states/ca/san-diego/2026-05-27/data/listings.csv.gz
san-diego,2026-06-27,2026-07-02,13225,11905,1320,False,False,de360747802aa61a094e20e74f3e4f4e15c94f365a33c3acfb8ab106c89bb414,https://data.insideairbnb.com/united-states/ca/san-diego/2026-06-27/data/listings.csv.gz
san-diego,2026-07-21,2026-07-23,13192,11828,1364,False,False,9b79c46dc518ce01060005cbb99f3f1b9f0fc0e49fa089154ffb890a8d2fc40d,https://data.insideairbnb.com/united-states/ca/san-diego/2026-07-21/data/listings.csv.gz
san-diego,2026-08-29,2026-08-30,13342,11966,1376,False,False,6c9c3e359fb063e0b07d8533d54a42f681efec98cd6361baf1561ef5ef19cbd3,https://data.insideairbnb.com/united-states/ca/san-diego/2026-08-29/data/listings.csv.gz
