case_id,finding,event_date,sale_event,use_evidence,identity,match_basis,other_platform_evidence,timing,caveat,investigated_on,current_registry_match,sources
SD-01,residential_rental_reported,2026-02-03,not_established,Residential rental listing reported rented; lease duration and subsequent occupancy unverified,supported,Exact unique municipal permit maps to the advertised unit address; 3 bedrooms and 2 bathrooms agree; registry coordinates within 3m of baseline,none_established,First qualifying snapshot absence 2026-01-23; rental advertised 2026-01-24 and reported rented 2026-02-03,"MLS-syndicated reported status, not executed lease inspection; do not label confirmed 12-month conversion",2026-09-07,True,https://www.rereader.com/rentals/2307-Meade-Ave-San-Diego-CA-92116-427221294 | https://www.zillow.com/homedetails/2307-Meade-Ave-San-Diego-CA-92104/2054746633_zpid/
SD-02,unresolved,,not_established,No sufficient property-specific evidence found,unresolved,,none_established,,,2026-09-07,False,
SD-03,unresolved,,not_established,Old Airbnb result only,original_listing_id,,none_established,,Search crawl approximately 1.2 years old; cannot establish a current return,2026-09-07,False,https://www.airbnb.ae/rooms/19199935
SD-04,unresolved,,not_established,Candidate direct vacation-rental advertisement and Vrbo lead,candidate,Exact distinctive title; matching 7 bedrooms and 5 bathrooms; similar Mission Beach description. No exact unit or photo match verified,candidate_direct_and_vrbo,,Direct page links a different old Airbnb ID absent from both baseline and endpoint files; Vrbo retrieval unavailable. Listing creation and current bookability unverified; not confirmed migration,2026-09-07,False,https://www.sandiegochecklist.com/product/7br-massive-beach-retreat-sleeps-26-steps-to-ocean/ | https://agreatertown.com/san-diego-ca/7-br-apartment-vacation-rental-0002131067840 | https://www.vrbo.com/4261004
SD-05,unresolved,,not_established,Old same-ID Airbnb result only,original_listing_id,,none_established,,Search crawl approximately 8 months old; current return unverified,2026-09-07,False,https://www.airbnb.com.sv/rooms/957210761433552889
SD-06,unresolved,,not_established,No sufficient property-specific evidence found,unresolved,,none_established,,,2026-09-07,False,
SD-07,unresolved,,not_established,Matched Expedia vacation-rental catalog record and direct-manager page; current operation unverified,supported,Exact STRO and TOT identifiers; registry address matches Expedia; both have 3 bedrooms; registry location within 90m of baseline,matched_catalog_record,,"Expedia search/open return conflicting crawl ages; JTB record says updated 2026-03-01; direct page did not expose populated availability and direct fetch returned HTTP 500. Could be pre-existing cross-listing, not a newly acquired Expedia property",2026-09-07,True,https://www.expedia.com.hk/en/San-Diego-Hotels-Santa-Barbara-Loft.h112381138.Hotel-Information | https://missionsands.com/481655/ | https://www.jtb.co.jp/ovs_htl/detail/search_detail/1213523/
SD-08,unresolved,,not_established,Third-party vacation-rental page with same title,candidate,"Title and 4-bedroom hot-tub description agree; no verified permit, address or photo match",candidate_aggregator,,No primary booking platform verification; aggregator presence is only a lead,2026-09-07,False,https://www.ehotelsreviews.com/spacious-4br-outdoor-kitchen-hot-tub-13778183-zh
SD-09,unresolved,,not_established,Strong Vrbo lead from syndicated listing with matching permit and tax ID,supported_lead,Exact STRO and TOT identifiers; 1 bedroom and 1 bathroom agree; distinctive description agrees,candidate_vrbo,,"Primary Vrbo request returned HTTP 429; no retry. Airbnb text already says offered on other platforms, so pre-existing multi-homing is plausible. Current operation and new migration unverified",2026-09-07,False,https://agreatertown.com/san-diego-ca/1-br-condo-vacation-rental-in-san-0002277079791 | https://www.vrbo.com/4779972 | https://www.airbnb.co.uk/rooms/21678138
SD-10,unresolved,,not_established,Similar-title Vrbo and long-term rental results do not establish same unit,unresolved,,none_established,,Long-term listing address differs from municipal anchor; Vrbo title is generic and its description differs. Neither accepted as destination,2026-09-07,True,https://www.vrbo.com/en-gb/p4828178vb | https://www.apartmentlist.com/ca/san-diego/charming-south-park-studio-in-historic-victorian
SD-11,unresolved,,not_established,Current license and property-record leads only; no dated post-absence event established,registry_anchor_only,,none_established,,,2026-09-07,True,
SD-12,unresolved,,not_established,No sufficient property-specific evidence found,unresolved,,none_established,,,2026-09-07,False,
SD-13,unresolved,,not_established,Film-studio business found at same street address; rentable unit not resolved,building_only_rejected,,none_established,,Same building does not prove the Airbnb loft became a film studio; no conversion assigned,2026-09-07,True,https://revstudios.com/equipment-for-rent/ | https://www.tagvenue.com/us/rooms/san-diego/43382/rev-studios/the-studio
SD-14,unresolved,,not_established,No sufficient property-specific evidence found,unresolved,,none_established,,,2026-09-07,False,
SD-15,unresolved,,not_established,No sufficient property-specific evidence found,unresolved,,none_established,,,2026-09-07,False,
SD-16,unresolved,,not_established,No sufficient property-specific evidence found,unresolved,,none_established,,,2026-09-07,False,
SD-17,unresolved,,not_established,No sufficient property-specific evidence found,unresolved,,none_established,,,2026-09-07,False,
SD-18,unresolved,,not_established,Old aggregator record points back to Airbnb; no independent current platform observation,candidate,,none_established,,Aggregator result crawled approximately 11 months ago and is not new-channel evidence,2026-09-07,True,https://www.cozycozy.com/us/coronado-lodges
SD-19,unresolved,,not_established,Current license only; no sufficient dated post-absence event found,registry_anchor_only,,none_established,,,2026-09-07,True,
SD-20,sale_reported,2026-07-30,mls_reported_closed,Post-sale property use unknown,supported,Exact unique STRO license maps to sale address; 2 bedrooms and 1 bathroom agree; registry coordinates within 120m of baseline,none_established,"First qualifying snapshot absence 2025-12-12; sale reported 2026-07-30, more than seven months later","MLS-reported sale, not independent deed verification. Sale timing does not establish the cause of delisting or owner occupation; active registry entry may lag a transaction",2026-09-07,True,https://www.redfin.com/CA/San-Diego/3540-Quimby-St-92106/home/5346170 | https://www.sdlookup.com/Closings-92106-Point-Loma
