case,p_yes
base,0.183
4Q26 centred 7.6 (RNPL module),0.138
"4Q26 centred 9.9 (Street), no short tail",0.436
4Q26 short case 5.0 certain,0.019
no short tail,0.203
delta +0.1 (WS06 v2: 8.21 vs 8.12),0.239
delta -1.1 (RNPL module 6.47 vs 7.61),0.116
delta -2.5 (PR32 global lap),0.04
bucket cushion 0 (guide at expectation),0.264
bucket cushion 2.0 (3Q25/4Q25 style),0.13
directional-only share 0.45,0.21
bucket share 0.90,0.163
8.5-9.5 midpoint resolves Yes 0.25,0.169
8.5-9.5 midpoint resolves Yes 0.65,0.196
"joint bull: n4 9.9, delta +0.1, cushion 0.5",0.59
"joint bear: n4 6.5, delta -1.1, cushion 2.0",0.033
