case,p_yes
"base (adopted 4Q26 object, up_floor 8.2, near_floor 9.2)",0.2867
"rev-1 print mixture N(8.1,1.6)+12% tail (legacy)",0.1734
rev-1 print mixture AND up_floor 7.5 (rev-1 resolver),0.1836
up_floor 7.5 (rev-1 resolver) on the adopted object,0.2911
'nearly as strong' never Yes,0.2784
'nearly as strong' Yes iff Q4 >= 8.7,0.2887
4Q26 V1 centre 7.61 (RNPL module),0.2644
4Q26 V1 centre 8.9 (case A NA-only lap),0.33
"4Q26 = Street bar 9.93 certain-centred, no tail (V1 only)",0.4336
"4Q26 decomposition only (V1, weights 1/0/0)",0.176
4Q26 weights 0.34/0.33/0.33,0.3263
delta +0.1 (WS06 v2),0.3561
delta -1.1 (RNPL module),0.1961
delta -2.5 (PR32 global lap),0.0752
bucket cushion 0 (guide at expectation),0.3856
bucket cushion 2.0 (3Q25/4Q25 style),0.2083
directional-only share 0.45,0.3048
bucket share 0.90,0.2759
8.5-9.5 midpoint resolves Yes 0.25,0.268
8.5-9.5 midpoint resolves Yes 0.65,0.3054
"joint bull: Street-centred V1 9.9 no tail, delta +0.1, cushion 0.5",0.565
"joint bear: V1 6.5, delta -1.1, cushion 2.0",0.1118
5 Nov bucket low double digits (V2 mid 10.75 certain),0.6743
5 Nov bucket around 10 (V2 mid 9.75 certain),0.5421
5 Nov bucket high single digits (V2 mid 8.0 certain),0.2804
5 Nov bucket mid single / moderate (V2 mid 6.0 certain),0.0698
