block,line,factor,pp_w0333,pp_w050,pp_w0667,weight_in_total,attributed_pp_of_adr_line,owner,basis,source,note
COMPUTED_GBV,volume: total Nights-and-Seats (N),1 + +9.455783%,9.455783080492019,9.455783080492019,9.455783080492019,YES,,l1-reconciliation-v2,computed,N_FY27 / N_FY26 - 1 from the driver_base regional scenario (l1_fy27_regional_scenario_driver.csv) + printed 1H26 regional panel,"regional nights y/y NA +6.0 / EMEA +7.0 / LatAm +16.0 / APAC +15.0, from 10_regional_forecast.csv base scenario"
COMPUTED_GBV,price: blended REPORTED ADR (ADR_blend),1 + +1.877745%,1.8777449766343768,1.8777449766343768,1.8777449766343768,YES,,l1-reconciliation-v2,computed,"ADR_blend == sum_r share_r x ADR_r, the L1 share identity","geographic mix, unit-size mix, LOS, seats dilution and booking-date FX are ALL INSIDE this line -- see the ATTRIBUTION block, which has ZERO weight"
COMPUTED_GBV,cross term: volume x price,"(expansion term, not a factor)",0.17755549179538221,0.17755549179538221,0.17755549179538221,YES,,l1-reconciliation-v2,computed,g_N x g_ADR; it exists only because the pp column is additive,v1 OMITTED this term; that omission is half of why the v1 plug was +0.1674pp
COMPUTED_TOTAL,= GBV growth (w-INVARIANT),1 + +11.511084%,11.511083548921786,11.511083548921786,11.511083548921786,SUBTOTAL,,l1-reconciliation-v2,computed,"(1+g_N)(1+g_ADR) - 1, exact",the kernel weight w does NOT move GBV; it moves only the recognition of GBV into revenue
COMPUTED_REVENUE,kernel recognition / timing (lagged-GBV conversion),1 + kappa_w  (w=0.330: -2.09094% / w=0.500: -1.03705% / w=0.667: +0.01053%),-2.3316280432584886,-1.156429678500938,0.011737445720316661,YES,,kernel-lambda / l1-reconciliation-v2,computed,kappa_w = (1+g_revenue)/(1+g_GBV) - 1 with BOTH sides built from lambda_s and the GBV path; nothing solved for,"REPLACES the v1 line 'kernel timing +0.1674pp, an identity', which RED_TEAM F1 refuted as a residual.  Two channels inside it: the lambda-weighted lagged-GBV base grows at a different rate than the calendar year, and FY26 1H is the PRINTED number rather than the kernel's own"
COMPUTED_TOTAL,"= FY27 REVENUE GROWTH, COMPUTED (excludes the ASSUMED block)",(1+g_GBV)(1+kappa_w),9.179455505663281,10.354653870420826,11.52282099464208,TOTAL,,l1-reconciliation-v2,computed,the kernel convolution of the reconciled GBV path,"this is the growth implied by the $15,720.3 / $15,779.5 / $15,837.6M revenue grid; the four ASSUMED lines below are NOT in those dollars"
ASSUMED_NOT_IN_THE_COMPUTED_DOLLAR,fee / take-rate migration (half weight),+0.90pp as carried; restated +0.36 to +0.59pp,0.9,0.9,0.9,"NO -- OUTSIDE the computed $15,837.6M",,fee-takerate / kernel-lambda,assumed,"00_IMPLEMENTATION_DECISIONS.md §8.1 (+0.9pp at half weight, theta implicitly 1); restated from primitives in fee-takerate.md 'FY27 contribution and the +0.9pp line' (n=3): half weight +0.36pp (11.5pp-jump case) to +0.59pp (central theta=0.833), i.e. 0.31pp BELOW the +0.90pp line","fee-takerate also finds that at central theta the migration subtracts -0.62pp from FY27 GBV growth.  The computed GBV build below does NOT carry that -0.62pp, so adding the fee line on top of it is itself a disguised double count unless the GBV side is restated.  Stated, not silently netted."
ASSUMED_NOT_IN_THE_COMPUTED_DOLLAR,"new lines outside GBV (ads, Services excess)",+0.20pp as carried; restated +0.20 to +0.20pp,0.2,0.2,0.2,"NO -- OUTSIDE the computed $15,837.6M",,fee-takerate / kernel-lambda,assumed,"00_IMPLEMENTATION_DECISIONS.md §8.1 (ads $0 FY26, Services excess; nb_incr netting as built at 13_driver_model.py:437)",outside GBV by construction
ASSUMED_NOT_IN_THE_COMPUTED_DOLLAR,regulation (dated DiD on EMEA nights),+-0.30pp as carried; restated -0.30 to -0.30pp,-0.3,-0.3,-0.3,"NO -- OUTSIDE the computed $15,837.6M",,fee-takerate / kernel-lambda,assumed,"00_IMPLEMENTATION_DECISIONS.md §8.1 (dated DiD on EMEA nights; replaces REG_DRAG_PP x 1.67, which is deleted)","model-based, not rebuilt in v2"
ASSUMED_NOT_IN_THE_COMPUTED_DOLLAR,"hedge (DOLLARS, added ONCE by kernel-lambda)",+0.00pp as carried; restated +0.00 to +0.00pp,0.0,0.0,0.0,"NO -- OUTSIDE the computed $15,837.6M",,fee-takerate / kernel-lambda,assumed,"00_IMPLEMENTATION_DECISIONS.md §5.2.3 (hedge Lambda_q is in DOLLARS and is added ONCE, by kernel-lambda)",zero in pp by construction here; do not add it twice
