level,line,pp,weight_in_total,owner,basis,source,note
L1,geographic mix (OUTPUT of ADR_blend = sum_r share_r ADR_r),-1.0895679838501362,NO -- ZERO WEIGHT,l1-reconciliation-v2,computed_output,this build's own share identity; cross-validated in l1-reconciliation §4 against the 10-K Geographic Mix table and the ADR note to <=0.14pp,"the plan carries -1.5pp and the ADR note -1.6pp (2025); the OBSERVED 2026 H1 drag is only -0.34pp, so -1.09 may itself be too negative"
L1,"within-region price (reported basis, before the L2 split)",3.000000000000021,NO -- ZERO WEIGHT,l1-reconciliation-v2,computed_output,"sum_r share_r,FY26 x (ADR_r,FY27 - ADR_r,FY26) / ADR_blend,FY26","the driver_base scenario sets every region's ADR y/y to +3.00% ex-FX with FX on a flat-spot carry, so this line equals +3.00pp by assumption"
L1,mix x price cross term,-0.032687039515507874,NO -- ZERO WEIGHT,l1-reconciliation-v2,computed_output,g_ADR - geographic mix - within-region price,small by construction
L1,= ADR LINE (blended reported ADR growth),1.8777449766343768,NO -- ZERO WEIGHT,l1-reconciliation-v2,computed,ADR_FY27 / ADR_FY26 - 1,SUBTOTAL: the three L1 rows sum to this
L2,unit-size mix (bedroom elasticity 0.23),0.63,NO -- ZERO WEIGHT,"adr-decomposition (Krish, 7 Sep 2026)",measured,"research/notes/2026-09-07_adr-decomposition.md §0.3 (direct measurement, 29 markets, bedroom-count elasticity 0.23); restated in docs/.../01_ground-truth/01_data_inventory.md line 160",the Street's +2pp bedroom-nights -> +2pp ADR mapping is NOT used
L2,LOS mix,0.04,NO -- ZERO WEIGHT,"adr-decomposition (Krish, 7 Sep 2026)",measured,"research/notes/2026-09-07_adr-decomposition.md §0 via 01_data_inventory.md line 160 (LOS mix +0.04pp, 2025 decomposition)",the ADR workbook's rival +0.30pp LOS term is a different construction (02_model_audit.md line 142) and is not mixed in
L2,seats / hotel dilution (OUTPUT of N = home + hotel + seats),-0.5,NO -- ZERO WEIGHT,l1-reconciliation / seats note,assumed_structure_measured,"00_IMPLEMENTATION_DECISIONS.md §8.1 / 00_INTEGRATED_SYSTEM.md §3(d), from research/notes/2026-09-09_seats-dilution.md (structure measured, ticket prices assumed)","OUTPUT of N = n_home + n_hotel + s_exp + s_svc.  It moves reported ADR and the unit count in OPPOSITE directions, so it nets to ZERO in GBV and in revenue.  The v2 FY27 build itself carries 0.00 here because the non-home composition is held flat through 2027; -0.50pp is the plan's y/y assumption, shown for attribution only.  The l1 build's measured 2026 LEVEL of dilution is -3.52pp."
L2,booking-date FX carried through Phi,0.0,NO -- ZERO WEIGHT,fx-lag / l1-reconciliation-v2,assumed_flat_spot_carry,l1-reconciliation §6 (FY27 FX is a FLAT-SPOT CARRY: FX inputs end 2026Q3) -- rival reading fx-lag +0.2pp (OPTIMAL_MIX.md §4.4),already inside the lagged USD GBV base; NEVER added to revenue a second time
L2,like-for-like price + sub-regional mix (IDENTIFIED REMAINDER),2.830000000000021,NO -- ZERO WEIGHT,l1-reconciliation-v2,unidentified_2d_ridge,within-region price line MINUS the four named L2 measurements,"NOT SPLIT: separate price and sub-regional-mix states are exactly collinear (00_IMPLEMENTATION_DECISIONS.md §8.2).  It lands at +2.83pp against the plan's +2.9pp, which is corroboration, not a second estimate"
L2,= within-region price line (L2 rows sum to this),3.000000000000021,NO -- ZERO WEIGHT,l1-reconciliation-v2,computed,identity,SUBTOTAL
