cls,obs_id,quarter,region,lo,hi,fitted,resid,inside
exact_regional_revenue,2022Q1-na,2022Q1,na,822.0,822.0,822.0000000000001,1.1368683772161603e-13,True
exact_regional_revenue,2022Q1-emea,2022Q1,emea,373.0,373.0,373.0,0.0,True
exact_regional_revenue,2022Q1-latam,2022Q1,latam,178.0,178.0,178.00000000000003,2.842170943040401e-14,True
exact_regional_revenue,2022Q1-apac,2022Q1,apac,136.0,136.0,136.0,0.0,True
exact_regional_revenue,2022Q2-na,2022Q2,na,1098.0,1098.0,1098.0,0.0,True
exact_regional_revenue,2022Q2-emea,2022Q2,emea,732.0,732.0,731.9999999999999,-1.1368683772161603e-13,True
exact_regional_revenue,2022Q2-latam,2022Q2,latam,137.0,137.0,137.0,0.0,True
exact_regional_revenue,2022Q2-apac,2022Q2,apac,137.0,137.0,137.0,0.0,True
exact_regional_revenue,2022Q3-na,2022Q3,na,1326.0,1326.0,1325.9999999999998,-2.2737367544323206e-13,True
exact_regional_revenue,2022Q3-emea,2022Q3,emea,1263.0,1263.0,1263.0,0.0,True
exact_regional_revenue,2022Q3-latam,2022Q3,latam,139.0,139.0,139.0,0.0,True
exact_regional_revenue,2022Q3-apac,2022Q3,apac,156.0,156.0,156.0,0.0,True
exact_regional_revenue,2022Q4-na,2022Q4,na,964.0,964.0,964.0,0.0,True
exact_regional_revenue,2022Q4-emea,2022Q4,emea,556.0,556.0,556.0,0.0,True
exact_regional_revenue,2022Q4-latam,2022Q4,latam,189.0,189.0,189.00000000000003,2.842170943040401e-14,True
exact_regional_revenue,2022Q4-apac,2022Q4,apac,193.0,193.0,193.0,0.0,True
exact_regional_revenue,2023Q1-na,2023Q1,na,925.0,925.0,925.0,0.0,True
exact_regional_revenue,2023Q1-emea,2023Q1,emea,458.0,458.0,458.0,0.0,True
exact_regional_revenue,2023Q1-latam,2023Q1,latam,235.0,235.0,235.0,0.0,True
exact_regional_revenue,2023Q1-apac,2023Q1,apac,200.0,200.0,200.0,0.0,True
