series,region,quarter,value,n_months,knowable_from,yoy_pct
eurostat_DE,emea,2021Q1,2394368.0,3,2026-09-13,
eurostat_DE,emea,2021Q2,3745549.0,3,2026-09-13,
eurostat_DE,emea,2021Q3,13875357.0,3,2026-09-13,
eurostat_DE,emea,2021Q4,10716226.0,3,2026-09-13,
eurostat_DE,emea,2022Q1,7752945.0,3,2026-09-13,223.7992238452903
eurostat_DE,emea,2022Q2,17367195.0,3,2026-09-13,363.6755519684831
eurostat_DE,emea,2022Q3,25303605.0,3,2026-09-13,82.36363215735638
eurostat_DE,emea,2022Q4,17192557.0,3,2026-09-13,60.43481165850739
eurostat_DE,emea,2023Q1,13777246.0,3,2026-09-13,77.70338884127257
eurostat_DE,emea,2023Q2,20998931.0,3,2026-09-13,20.911471311285435
eurostat_DE,emea,2023Q3,27266189.0,3,2026-09-13,7.756143838002538
eurostat_DE,emea,2023Q4,18336063.0,3,2026-09-13,6.651168874996305
eurostat_DE,emea,2024Q1,14869533.0,3,2026-09-13,7.9281955189012265
eurostat_DE,emea,2024Q2,22455015.0,3,2026-09-13,6.934086311346044
eurostat_DE,emea,2024Q3,28513432.0,3,2026-09-13,4.574320965793932
eurostat_DE,emea,2024Q4,18954656.0,3,2026-09-13,3.3736413318387948
eurostat_DE,emea,2025Q1,14412380.0,3,2026-09-13,-3.074427421493331
eurostat_DE,emea,2025Q2,21572004.0,3,2026-09-13,-3.932355422608269
eurostat_DE,emea,2025Q3,27722264.0,3,2026-09-13,-2.7747203493427186
eurostat_DE,emea,2025Q4,19368797.0,3,2026-09-13,2.184903804110183
eurostat_DE,emea,2026Q1,14552559.0,3,2026-09-13,0.9726290869377596
eurostat_DE,emea,2026Q2,21696672.0,3,2026-09-13,0.5779157096392096
eurostat_ES,emea,2021Q1,4638315.0,3,2026-09-13,
eurostat_ES,emea,2021Q2,12825411.0,3,2026-09-13,
eurostat_ES,emea,2021Q3,55461610.0,3,2026-09-13,
eurostat_ES,emea,2021Q4,41419797.0,3,2026-09-13,
eurostat_ES,emea,2022Q1,35202954.0,3,2026-09-13,658.9599671432406
eurostat_ES,emea,2022Q2,74685793.0,3,2026-09-13,482.32670282457224
eurostat_ES,emea,2022Q3,107272479.0,3,2026-09-13,93.41753512023902
eurostat_ES,emea,2022Q4,54279680.0,3,2026-09-13,31.047672686565807
eurostat_ES,emea,2023Q1,45928092.0,3,2026-09-13,30.466585275769752
eurostat_ES,emea,2023Q2,82752720.0,3,2026-09-13,10.80115330635909
eurostat_ES,emea,2023Q3,112383021.0,3,2026-09-13,4.764075602280049
eurostat_ES,emea,2023Q4,60863369.0,3,2026-09-13,12.129196413832943
eurostat_ES,emea,2024Q1,52342072.0,3,2026-09-13,13.965265528557126
eurostat_ES,emea,2024Q2,89225585.0,3,2026-09-13,7.821936245720984
eurostat_ES,emea,2024Q3,117179059.0,3,2026-09-13,4.267582377946577
eurostat_ES,emea,2024Q4,63449250.0,3,2026-09-13,4.248665564339693
eurostat_ES,emea,2025Q1,52469481.0,3,2026-09-13,0.2434160420703213
eurostat_ES,emea,2025Q2,91273685.0,3,2026-09-13,2.29541784455658
eurostat_ES,emea,2025Q3,119639480.0,3,2026-09-13,2.0997104952003465
eurostat_ES,emea,2025Q4,65545539.0,3,2026-09-13,3.303883024622034
eurostat_ES,emea,2026Q1,54086395.0,3,2026-09-13,3.081627584614388
eurostat_ES,emea,2026Q2,91723449.0,3,2026-09-13,0.4927641521211834
eurostat_FR,emea,2021Q1,2342574.0,3,2026-09-13,
eurostat_FR,emea,2021Q2,5279361.0,3,2026-09-13,
eurostat_FR,emea,2021Q3,36841540.0,3,2026-09-13,
eurostat_FR,emea,2021Q4,12059635.0,3,2026-09-13,
eurostat_FR,emea,2022Q1,12315038.0,3,2026-09-13,425.7053992744733
eurostat_FR,emea,2022Q2,31981029.0,3,2026-09-13,505.77461931472385
eurostat_FR,emea,2022Q3,61261892.0,3,2026-09-13,66.2848295700994
eurostat_FR,emea,2022Q4,18311030.0,3,2026-09-13,51.83734831112219
eurostat_FR,emea,2023Q1,17859282.0,3,2026-09-13,45.02011280842171
eurostat_FR,emea,2023Q2,36461841.0,3,2026-09-13,14.010843741144164
eurostat_FR,emea,2023Q3,63589197.0,3,2026-09-13,3.7989440482837145
eurostat_FR,emea,2023Q4,18477350.0,3,2026-09-13,0.9083049943121813
eurostat_FR,emea,2024Q1,20184645.0,3,2026-09-13,13.02047305149221
eurostat_FR,emea,2024Q2,35784725.0,3,2026-09-13,-1.857053789467189
eurostat_FR,emea,2024Q3,63668775.0,3,2026-09-13,0.12514389826310257
eurostat_FR,emea,2024Q4,20970052.0,3,2026-09-13,13.490581712204408
eurostat_FR,emea,2025Q1,19956208.0,3,2026-09-13,-1.131736525462801
eurostat_FR,emea,2025Q2,40068314.0,3,2026-09-13,11.970439901382512
eurostat_FR,emea,2025Q3,67996135.0,3,2026-09-13,6.796675450407208
eurostat_FR,emea,2025Q4,22733172.0,3,2026-09-13,8.407799847134378
eurostat_FR,emea,2026Q1,21006737.0,3,2026-09-13,5.26417142976261
eurostat_FR,emea,2026Q2,40548735.0,3,2026-09-13,1.1990047796870185
eurostat_IT,emea,2021Q1,1786630.0,3,2026-09-13,
eurostat_IT,emea,2021Q2,13625902.0,3,2026-09-13,
eurostat_IT,emea,2021Q3,70400151.0,3,2026-09-13,
eurostat_IT,emea,2021Q4,20310492.0,3,2026-09-13,
eurostat_IT,emea,2022Q1,16856142.0,3,2026-09-13,843.460145637317
eurostat_IT,emea,2022Q2,57008758.0,3,2026-09-13,318.385204884051
eurostat_IT,emea,2022Q3,97378978.0,3,2026-09-13,38.32211524659941
eurostat_IT,emea,2022Q4,29825556.0,3,2026-09-13,46.848023179349866
eurostat_IT,emea,2023Q1,27486850.0,3,2026-09-13,63.0672665192308
eurostat_IT,emea,2023Q2,68553590.0,3,2026-09-13,20.250979682805937
eurostat_IT,emea,2023Q3,104218367.0,3,2026-09-13,7.023475847117644
eurostat_IT,emea,2023Q4,33923448.0,3,2026-09-13,13.739532634362295
eurostat_IT,emea,2024Q1,32800637.0,3,2026-09-13,19.33210607981635
eurostat_IT,emea,2024Q2,72874051.0,3,2026-09-13,6.302311811824879
eurostat_IT,emea,2024Q3,110247670.0,3,2026-09-13,5.785259521481478
eurostat_IT,emea,2024Q4,38026085.0,3,2026-09-13,12.093808978379794
eurostat_IT,emea,2025Q1,37646164.0,3,2026-09-13,14.772661274840493
eurostat_IT,emea,2025Q2,87110183.0,3,2026-09-13,19.53525542308605
eurostat_IT,emea,2025Q3,129400720.0,3,2026-09-13,17.372748104336356
eurostat_IT,emea,2025Q4,47462544.0,3,2026-09-13,24.81575213435725
eurostat_IT,emea,2026Q1,39137465.0,3,2026-09-13,3.9613624378834533
eurostat_IT,emea,2026Q2,91127005.0,3,2026-09-13,4.611196833325448
jnto,apac,2021Q1,66153.0,3,2026-09-13,
jnto,apac,2021Q2,30139.0,3,2026-09-13,
jnto,apac,2021Q3,94691.0,3,2026-09-13,
jnto,apac,2021Q4,54879.0,3,2026-09-13,
jnto,apac,2022Q1,100606.0,3,2026-09-13,52.08078242861245
