quarter,as_of,n_admissible_arrivals_quarters,n_coefficients,basis
2023Q1,2023-02-14,0,0,strictly_before_origin
2023Q2,2023-05-09,0,0,strictly_before_origin
2023Q3,2023-08-03,0,0,strictly_before_origin
2023Q4,2023-11-01,0,0,strictly_before_origin
2024Q1,2024-02-13,0,0,strictly_before_origin
2024Q2,2024-05-08,0,0,strictly_before_origin
2024Q3,2024-08-06,0,0,strictly_before_origin
2024Q4,2024-11-07,0,0,strictly_before_origin
2025Q1,2025-02-13,0,0,strictly_before_origin
2025Q2,2025-05-01,0,0,strictly_before_origin
2025Q3,2025-08-06,0,0,strictly_before_origin
2025Q4,2025-11-06,0,0,strictly_before_origin
2026Q1,2026-02-12,0,0,strictly_before_origin
2026Q2,2026-05-07,0,0,strictly_before_origin
