series,region,month,value,unit,knowable_from,source_url,vintage_basis
ntto,na,2021-01,1045178.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2021-02,701043.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2021-03,1062013.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2021-04,1367834.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2021-05,1750554.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2021-06,1756616.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2021-07,2021624.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2021-08,2258290.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2021-09,1894455.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2021-10,2118328.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2021-11,2872992.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2021-12,3431173.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2022-01,2473517.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2022-02,2249094.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2022-03,3209908.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2022-04,4280397.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2022-05,4254837.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2022-06,4008029.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
ntto,na,2022-07,5172494.0,persons,2026-09-13,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,current_revised_download; not historical release
