name,period,value
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2009-12,8262.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2010-01,7471.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2010-02,5040.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2010-03,8263.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2010-04,7272.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2010-05,9867.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2010-06,19088.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2010-07,48128.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2010-08,14885.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2010-09,24277.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2010-10,24239.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2010-11,6543.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2010-12,7945.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2011-01,4990.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2011-02,6419.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2011-03,9155.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2011-04,13552.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2011-05,8731.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2011-06,17827.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2011-07,22677.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2011-08,28516.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2011-09,27516.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2011-10,14459.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2011-11,14461.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2011-12,7228.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2012-01,8279.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2012-02,9851.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2012-03,12851.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2012-04,8094.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2012-05,7025.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2012-06,25182.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2012-07,21509.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2012-08,18356.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2012-09,25755.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2012-10,12893.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2012-11,7030.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2012-12,6597.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2013-01,4562.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2013-02,5615.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2013-03,6225.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2013-04,6397.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2013-05,9315.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2013-06,20373.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2013-07,18373.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2013-08,19240.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2013-09,33153.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2013-10,10535.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2013-11,11871.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2013-12,9050.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2014-01,6035.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2014-02,11774.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2014-03,5833.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2014-04,7140.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2014-05,10695.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2014-06,14990.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2014-07,34320.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2014-08,17039.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2014-09,21977.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2014-10,11373.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2014-11,7839.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2014-12,8407.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2015-01,5485.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2015-02,4716.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2015-03,8125.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2015-04,10849.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2015-05,13292.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2015-06,14676.0
