period,property,measure,value
2020-06,Backpackers,Domestic guest nights,104500.0
2020-07,Backpackers,Domestic guest nights,161000.0
2020-08,Backpackers,Domestic guest nights,140800.0
2020-09,Backpackers,Domestic guest nights,175300.0
2020-10,Backpackers,Domestic guest nights,198000.0
2020-11,Backpackers,Domestic guest nights,163100.0
2020-12,Backpackers,Domestic guest nights,239800.0
2021-01,Backpackers,Domestic guest nights,297500.0
2021-02,Backpackers,Domestic guest nights,193100.0
2021-03,Backpackers,Domestic guest nights,189100.0
2021-04,Backpackers,Domestic guest nights,222900.0
2021-05,Backpackers,Domestic guest nights,142700.0
2021-06,Backpackers,Domestic guest nights,151600.0
2021-07,Backpackers,Domestic guest nights,230500.0
2021-08,Backpackers,Domestic guest nights,140200.0
2021-09,Backpackers,Domestic guest nights,100200.0
2021-10,Backpackers,Domestic guest nights,137900.0
2021-11,Backpackers,Domestic guest nights,145200.0
2021-12,Backpackers,Domestic guest nights,138400.0
2022-01,Backpackers,Domestic guest nights,182500.0
2022-02,Backpackers,Domestic guest nights,118900.0
2022-03,Backpackers,Domestic guest nights,106200.0
2022-04,Backpackers,Domestic guest nights,147500.0
2022-05,Backpackers,Domestic guest nights,108500.0
2022-06,Backpackers,Domestic guest nights,121800.0
2022-07,Backpackers,Domestic guest nights,155400.0
2022-08,Backpackers,Domestic guest nights,133000.0
2022-09,Backpackers,Domestic guest nights,126400.0
2022-10,Backpackers,Domestic guest nights,151200.0
2022-11,Backpackers,Domestic guest nights,132700.0
2022-12,Backpackers,Domestic guest nights,150300.0
2023-01,Backpackers,Domestic guest nights,166200.0
2023-02,Backpackers,Domestic guest nights,130700.0
2023-03,Backpackers,Domestic guest nights,137200.0
2023-04,Backpackers,Domestic guest nights,134300.0
2023-05,Backpackers,Domestic guest nights,95200.0
2023-06,Backpackers,Domestic guest nights,96300.0
2023-07,Backpackers,Domestic guest nights,108900.0
2023-08,Backpackers,Domestic guest nights,123800.0
2023-09,Backpackers,Domestic guest nights,120600.0
2023-10,Backpackers,Domestic guest nights,111200.0
2023-11,Backpackers,Domestic guest nights,116800.0
2023-12,Backpackers,Domestic guest nights,138400.0
2024-01,Backpackers,Domestic guest nights,151300.0
2024-02,Backpackers,Domestic guest nights,108800.0
2024-03,Backpackers,Domestic guest nights,115300.0
2024-04,Backpackers,Domestic guest nights,103600.0
2024-05,Backpackers,Domestic guest nights,75900.0
2024-06,Backpackers,Domestic guest nights,89400.0
2024-07,Backpackers,Domestic guest nights,86500.0
2024-08,Backpackers,Domestic guest nights,90200.0
2024-09,Backpackers,Domestic guest nights,93100.0
2024-10,Backpackers,Domestic guest nights,112800.0
2024-11,Backpackers,Domestic guest nights,106700.0
2024-12,Backpackers,Domestic guest nights,109800.0
2025-01,Backpackers,Domestic guest nights,137100.0
2025-02,Backpackers,Domestic guest nights,115300.0
2025-03,Backpackers,Domestic guest nights,124600.0
2025-04,Backpackers,Domestic guest nights,126500.0
2025-05,Backpackers,Domestic guest nights,99200.0
2025-06,Backpackers,Domestic guest nights,92300.0
2025-07,Backpackers,Domestic guest nights,104900.0
2025-08,Backpackers,Domestic guest nights,119100.0
2025-09,Backpackers,Domestic guest nights,111800.0
2025-10,Backpackers,Domestic guest nights,115900.0
2025-11,Backpackers,Domestic guest nights,115700.0
2025-12,Backpackers,Domestic guest nights,126000.0
2026-01,Backpackers,Domestic guest nights,139100.0
2026-02,Backpackers,Domestic guest nights,119900.0
2026-03,Backpackers,Domestic guest nights,130200.0
2026-04,Backpackers,Domestic guest nights,136800.0
2026-05,Backpackers,Domestic guest nights,119400.0
2026-06,Backpackers,Domestic guest nights,100600.0
2026-07,Backpackers,Domestic guest nights,131900.0
2020-06,Backpackers,Guest arrivals,102900.0
2020-07,Backpackers,Guest arrivals,123100.0
2020-08,Backpackers,Guest arrivals,75800.0
2020-09,Backpackers,Guest arrivals,99200.0
2020-10,Backpackers,Guest arrivals,128600.0
2020-11,Backpackers,Guest arrivals,104500.0
2020-12,Backpackers,Guest arrivals,153000.0
2021-01,Backpackers,Guest arrivals,180900.0
2021-02,Backpackers,Guest arrivals,112800.0
2021-03,Backpackers,Guest arrivals,112600.0
2021-04,Backpackers,Guest arrivals,134100.0
2021-05,Backpackers,Guest arrivals,83000.0
2021-06,Backpackers,Guest arrivals,92000.0
2021-07,Backpackers,Guest arrivals,123400.0
2021-08,Backpackers,Guest arrivals,55000.0
2021-09,Backpackers,Guest arrivals,44100.0
2021-10,Backpackers,Guest arrivals,59200.0
2021-11,Backpackers,Guest arrivals,58800.0
2021-12,Backpackers,Guest arrivals,78000.0
2022-01,Backpackers,Guest arrivals,92800.0
2022-02,Backpackers,Guest arrivals,59600.0
2022-03,Backpackers,Guest arrivals,41700.0
2022-04,Backpackers,Guest arrivals,76100.0
2022-05,Backpackers,Guest arrivals,53400.0
2022-06,Backpackers,Guest arrivals,74100.0
2022-07,Backpackers,Guest arrivals,95100.0
2022-08,Backpackers,Guest arrivals,94800.0
2022-09,Backpackers,Guest arrivals,102100.0
2022-10,Backpackers,Guest arrivals,137200.0
2022-11,Backpackers,Guest arrivals,181800.0
2022-12,Backpackers,Guest arrivals,206000.0
2023-01,Backpackers,Guest arrivals,255300.0
2023-02,Backpackers,Guest arrivals,251000.0
2023-03,Backpackers,Guest arrivals,261000.0
2023-04,Backpackers,Guest arrivals,213200.0
2023-05,Backpackers,Guest arrivals,137800.0
2023-06,Backpackers,Guest arrivals,121200.0
2023-07,Backpackers,Guest arrivals,129000.0
2023-08,Backpackers,Guest arrivals,121800.0
2023-09,Backpackers,Guest arrivals,132400.0
2023-10,Backpackers,Guest arrivals,152900.0
2023-11,Backpackers,Guest arrivals,210700.0
2023-12,Backpackers,Guest arrivals,231800.0
2024-01,Backpackers,Guest arrivals,262200.0
2024-02,Backpackers,Guest arrivals,271100.0
2024-03,Backpackers,Guest arrivals,264800.0
2024-04,Backpackers,Guest arrivals,179300.0
2024-05,Backpackers,Guest arrivals,128700.0
2024-06,Backpackers,Guest arrivals,109300.0
2024-07,Backpackers,Guest arrivals,119600.0
2024-08,Backpackers,Guest arrivals,122000.0
2024-09,Backpackers,Guest arrivals,134400.0
2024-10,Backpackers,Guest arrivals,169200.0
2024-11,Backpackers,Guest arrivals,221900.0
2024-12,Backpackers,Guest arrivals,238500.0
2025-01,Backpackers,Guest arrivals,290000.0
2025-02,Backpackers,Guest arrivals,269400.0
2025-03,Backpackers,Guest arrivals,254200.0
2025-04,Backpackers,Guest arrivals,218200.0
2025-05,Backpackers,Guest arrivals,142400.0
2025-06,Backpackers,Guest arrivals,113100.0
2025-07,Backpackers,Guest arrivals,122700.0
2025-08,Backpackers,Guest arrivals,124100.0
2025-09,Backpackers,Guest arrivals,155000.0
2025-10,Backpackers,Guest arrivals,169100.0
2025-11,Backpackers,Guest arrivals,243300.0
2025-12,Backpackers,Guest arrivals,261900.0
2026-01,Backpackers,Guest arrivals,298700.0
2026-02,Backpackers,Guest arrivals,291900.0
