quarter,per_name,cat_code,cat_desc,dt_code,is_adj,val
3Q12,Q3-2012,721T,721: Accommodation,QREV,0,54444
4Q12,Q4-2012,721T,721: Accommodation,QREV,0,49048
3Q12,Q3-2012,721T,721: Accommodation,QREV,1,50776
4Q12,Q4-2012,721T,721: Accommodation,QREV,1,51133
3Q12,Q3-2012,7211T,7211: Traveler Accommodation,QREV,0,52372
4Q12,Q4-2012,7211T,7211: Traveler Accommodation,QREV,0,47806
3Q12,Q3-2012,7211T,7211: Traveler Accommodation,QREV,1,49176
4Q12,Q4-2012,7211T,7211: Traveler Accommodation,QREV,1,49489
3Q12,Q3-2012,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1644
4Q12,Q4-2012,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,872
3Q12,Q3-2012,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1228
4Q12,Q4-2012,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1279
1Q13,Q1-2013,721T,721: Accommodation,QREV,0,47928
2Q13,Q2-2013,721T,721: Accommodation,QREV,0,53454
3Q13,Q3-2013,721T,721: Accommodation,QREV,0,55727
4Q13,Q4-2013,721T,721: Accommodation,QREV,0,50571
1Q13,Q1-2013,721T,721: Accommodation,QREV,1,51301
2Q13,Q2-2013,721T,721: Accommodation,QREV,1,51651
3Q13,Q3-2013,721T,721: Accommodation,QREV,1,52026
4Q13,Q4-2013,721T,721: Accommodation,QREV,1,52878
1Q13,Q1-2013,7211T,7211: Traveler Accommodation,QREV,0,46597
2Q13,Q2-2013,7211T,7211: Traveler Accommodation,QREV,0,51649
3Q13,Q3-2013,7211T,7211: Traveler Accommodation,QREV,0,53715
4Q13,Q4-2013,7211T,7211: Traveler Accommodation,QREV,0,49385
1Q13,Q1-2013,7211T,7211: Traveler Accommodation,QREV,1,49677
2Q13,Q2-2013,7211T,7211: Traveler Accommodation,QREV,1,50047
3Q13,Q3-2013,7211T,7211: Traveler Accommodation,QREV,1,50484
4Q13,Q4-2013,7211T,7211: Traveler Accommodation,QREV,1,51282
1Q13,Q1-2013,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,991
2Q13,Q2-2013,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1503
3Q13,Q3-2013,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1627
4Q13,Q4-2013,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,830
1Q13,Q1-2013,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1284
2Q13,Q2-2013,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1242
3Q13,Q3-2013,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1208
4Q13,Q4-2013,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1244
1Q14,Q1-2014,721T,721: Accommodation,QREV,0,50785
2Q14,Q2-2014,721T,721: Accommodation,QREV,0,57026
3Q14,Q3-2014,721T,721: Accommodation,QREV,0,59876
4Q14,Q4-2014,721T,721: Accommodation,QREV,0,54341
1Q14,Q1-2014,721T,721: Accommodation,QREV,1,54176
2Q14,Q2-2014,721T,721: Accommodation,QREV,1,55035
3Q14,Q3-2014,721T,721: Accommodation,QREV,1,55888
4Q14,Q4-2014,721T,721: Accommodation,QREV,1,56874
1Q14,Q1-2014,7211T,7211: Traveler Accommodation,QREV,0,49461
2Q14,Q2-2014,7211T,7211: Traveler Accommodation,QREV,0,55107
3Q14,Q3-2014,7211T,7211: Traveler Accommodation,QREV,0,57660
4Q14,Q4-2014,7211T,7211: Traveler Accommodation,QREV,0,53119
1Q14,Q1-2014,7211T,7211: Traveler Accommodation,QREV,1,52562
2Q14,Q2-2014,7211T,7211: Traveler Accommodation,QREV,1,53347
3Q14,Q3-2014,7211T,7211: Traveler Accommodation,QREV,1,54192
4Q14,Q4-2014,7211T,7211: Traveler Accommodation,QREV,1,55217
1Q14,Q1-2014,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,961
2Q14,Q2-2014,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1611
3Q14,Q3-2014,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1758
4Q14,Q4-2014,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,820
1Q14,Q1-2014,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1253
2Q14,Q2-2014,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1318
3Q14,Q3-2014,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1298
4Q14,Q4-2014,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1258
1Q15,Q1-2015,721T,721: Accommodation,QREV,0,54642
2Q15,Q2-2015,721T,721: Accommodation,QREV,0,61044
3Q15,Q3-2015,721T,721: Accommodation,QREV,0,63725
4Q15,Q4-2015,721T,721: Accommodation,QREV,0,57323
1Q15,Q1-2015,721T,721: Accommodation,QREV,1,58273
2Q15,Q2-2015,721T,721: Accommodation,QREV,1,58920
3Q15,Q3-2015,721T,721: Accommodation,QREV,1,59413
4Q15,Q4-2015,721T,721: Accommodation,QREV,1,60060
1Q15,Q1-2015,7211T,7211: Traveler Accommodation,QREV,0,53224
2Q15,Q2-2015,7211T,7211: Traveler Accommodation,QREV,0,59043
3Q15,Q3-2015,7211T,7211: Traveler Accommodation,QREV,0,61354
4Q15,Q4-2015,7211T,7211: Traveler Accommodation,QREV,0,56104
1Q15,Q1-2015,7211T,7211: Traveler Accommodation,QREV,1,56561
2Q15,Q2-2015,7211T,7211: Traveler Accommodation,QREV,1,57157
3Q15,Q3-2015,7211T,7211: Traveler Accommodation,QREV,1,57609
4Q15,Q4-2015,7211T,7211: Traveler Accommodation,QREV,1,58381
1Q15,Q1-2015,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1006
2Q15,Q2-2015,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1677
3Q15,Q3-2015,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1923
4Q15,Q4-2015,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,842
1Q15,Q1-2015,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1305
2Q15,Q2-2015,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1375
3Q15,Q3-2015,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1412
4Q15,Q4-2015,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1305
1Q16,Q1-2016,721T,721: Accommodation,QREV,0,57369
2Q16,Q2-2016,721T,721: Accommodation,QREV,0,64807
3Q16,Q3-2016,721T,721: Accommodation,QREV,0,68184
4Q16,Q4-2016,721T,721: Accommodation,QREV,0,60605
1Q16,Q1-2016,721T,721: Accommodation,QREV,1,61298
2Q16,Q2-2016,721T,721: Accommodation,QREV,1,62504
3Q16,Q3-2016,721T,721: Accommodation,QREV,1,63534
4Q16,Q4-2016,721T,721: Accommodation,QREV,1,63391
1Q16,Q1-2016,7211T,7211: Traveler Accommodation,QREV,0,55891
2Q16,Q2-2016,7211T,7211: Traveler Accommodation,QREV,0,62672
3Q16,Q3-2016,7211T,7211: Traveler Accommodation,QREV,0,65746
4Q16,Q4-2016,7211T,7211: Traveler Accommodation,QREV,0,59236
1Q16,Q1-2016,7211T,7211: Traveler Accommodation,QREV,1,59522
2Q16,Q2-2016,7211T,7211: Traveler Accommodation,QREV,1,60611
