geo,nace_r2,period,value,updated
AT,I551,2015-01,8610592,2026-09-11T23:00:00+0200
AT,I551,2015-02,10053358,2026-09-11T23:00:00+0200
AT,I551,2015-03,7985308,2026-09-11T23:00:00+0200
AT,I551,2015-04,4976618,2026-09-11T23:00:00+0200
AT,I551,2015-05,5225097,2026-09-11T23:00:00+0200
AT,I551,2015-06,6772105,2026-09-11T23:00:00+0200
AT,I551,2015-07,9371061,2026-09-11T23:00:00+0200
AT,I551,2015-08,11003742,2026-09-11T23:00:00+0200
AT,I551,2015-09,7494085,2026-09-11T23:00:00+0200
AT,I551,2015-10,5267194,2026-09-11T23:00:00+0200
AT,I551,2015-11,3545869,2026-09-11T23:00:00+0200
AT,I551,2015-12,6990602,2026-09-11T23:00:00+0200
AT,I551,2016-01,8713294,2026-09-11T23:00:00+0200
AT,I551,2016-02,10318480,2026-09-11T23:00:00+0200
AT,I551,2016-03,9595188,2026-09-11T23:00:00+0200
AT,I551,2016-04,4272536,2026-09-11T23:00:00+0200
AT,I551,2016-05,5619330,2026-09-11T23:00:00+0200
AT,I551,2016-06,6444485,2026-09-11T23:00:00+0200
AT,I551,2016-07,9996416,2026-09-11T23:00:00+0200
AT,I551,2016-08,11399594,2026-09-11T23:00:00+0200
AT,I551,2016-09,7726801,2026-09-11T23:00:00+0200
AT,I551,2016-10,5727389,2026-09-11T23:00:00+0200
AT,I551,2016-11,3600616,2026-09-11T23:00:00+0200
AT,I551,2016-12,6670483,2026-09-11T23:00:00+0200
AT,I551,2017-01,8894965,2026-09-11T23:00:00+0200
AT,I551,2017-02,10058766,2026-09-11T23:00:00+0200
AT,I551,2017-03,8666740,2026-09-11T23:00:00+0200
AT,I551,2017-04,5647811,2026-09-11T23:00:00+0200
AT,I551,2017-05,5068985,2026-09-11T23:00:00+0200
AT,I551,2017-06,7409056,2026-09-11T23:00:00+0200
AT,I551,2017-07,10149244,2026-09-11T23:00:00+0200
AT,I551,2017-08,11353440,2026-09-11T23:00:00+0200
AT,I551,2017-09,7779163,2026-09-11T23:00:00+0200
AT,I551,2017-10,5800661,2026-09-11T23:00:00+0200
AT,I551,2017-11,3709615,2026-09-11T23:00:00+0200
AT,I551,2017-12,7073895,2026-09-11T23:00:00+0200
AT,I551,2018-01,9300039,2026-09-11T23:00:00+0200
AT,I551,2018-02,10531927,2026-09-11T23:00:00+0200
AT,I551,2018-03,9519074,2026-09-11T23:00:00+0200
AT,I551,2018-04,5062825,2026-09-11T23:00:00+0200
AT,I551,2018-05,5696098,2026-09-11T23:00:00+0200
AT,I551,2018-06,7135740,2026-09-11T23:00:00+0200
AT,I551,2018-07,10326141,2026-09-11T23:00:00+0200
AT,I551,2018-08,11172091,2026-09-11T23:00:00+0200
AT,I551,2018-09,7756898,2026-09-11T23:00:00+0200
