geo,c_resid,period,value
AT,DOM,2015,33060945
AT,DOM,2016,34558881
AT,DOM,2017,35082222
AT,DOM,2018,35935386
AT,DOM,2019,36504339
AT,DOM,2020,27990963
AT,DOM,2021,26674565
AT,DOM,2022,35592486
AT,DOM,2023,36742409
AT,DOM,2024,37192120
AT,DOM,2025,37437110
CZ,DOM,2015,23807391
CZ,DOM,2016,25428808
CZ,DOM,2017,26962382
CZ,DOM,2018,28753901
CZ,DOM,2019,29844204
CZ,DOM,2020,23994436
CZ,DOM,2021,25376927
CZ,DOM,2022,32459645
CZ,DOM,2023,32480862
CZ,DOM,2024,31761973
CZ,DOM,2025,32361541
DE,DOM,2015,299220311
DE,DOM,2016,308904957
DE,DOM,2017,318051999
DE,DOM,2018,332594428
DE,DOM,2019,347694001
DE,DOM,2020,229025364
DE,DOM,2021,235371154
DE,DOM,2022,332792753
DE,DOM,2023,351060606
DE,DOM,2024,354827032
DK,DOM,2015,19637924
DK,DOM,2016,20266251
DK,DOM,2017,20243007
DK,DOM,2018,20685784
DK,DOM,2019,21349055
DK,DOM,2020,18890042
DK,DOM,2021,22735819
DK,DOM,2022,25017892
DK,DOM,2023,24268566
DK,DOM,2024,24010206
EL,DOM,2015,20900203
EL,DOM,2016,22107192
EL,DOM,2017,21974593
EL,DOM,2018,24064088
EL,DOM,2019,23623077
EL,DOM,2020,12277230
EL,DOM,2021,14963208
EL,DOM,2022,21195814
EL,DOM,2023,24103015
EL,DOM,2024,24764341
ES,DOM,2015,152808273
ES,DOM,2016,160400822
ES,DOM,2017,165292267
ES,DOM,2018,165918083
ES,DOM,2019,170722142
ES,DOM,2020,83778193
ES,DOM,2021,145188204
ES,DOM,2022,180184036
ES,DOM,2023,183129528
ES,DOM,2024,182936205
EU27_2020,DOM,2015,1332621050
EU27_2020,DOM,2016,1373271744
EU27_2020,DOM,2017,1426601419
EU27_2020,DOM,2018,1467002532
EU27_2020,DOM,2019,1514855699
EU27_2020,DOM,2020,1009515644
EU27_2020,DOM,2021,1245706618
EU27_2020,DOM,2022,1543617046
EU27_2020,DOM,2023,1566636546
EU27_2020,DOM,2024,1569725908
FR,DOM,2015,279587890
FR,DOM,2016,280850016
FR,DOM,2017,299558737
FR,DOM,2018,302038667
FR,DOM,2019,310563771
FR,DOM,2020,212781655
FR,DOM,2021,267865936
FR,DOM,2022,324342680
FR,DOM,2023,321903813
FR,DOM,2024,317036065
FR,DOM,2025,320896281
HR,DOM,2015,5655990
HR,DOM,2016,5759532
HR,DOM,2017,5918043
HR,DOM,2018,6427780
HR,DOM,2019,7053932
HR,DOM,2020,5394858
HR,DOM,2021,7327520
HR,DOM,2022,7726655
HR,DOM,2023,8083165
HR,DOM,2024,8688362
HR,DOM,2025,9181071
HU,DOM,2015,14580503
HU,DOM,2016,15489123
HU,DOM,2017,16666938
HU,DOM,2018,17489671
HU,DOM,2019,17447388
HU,DOM,2020,10825115
HU,DOM,2021,12299937
HU,DOM,2022,17081903
HU,DOM,2023,16314547
HU,DOM,2024,16578557
HU,DOM,2025,16886598
IE,DOM,2015,16247706
IE,DOM,2016,14915287
IE,DOM,2018,18257838
IE,DOM,2019,16295535
IE,DOM,2020,11624000
IE,DOM,2021,9696000
IE,DOM,2022,18456000
IE,DOM,2023,16274003
IE,DOM,2024,17327991
IT,DOM,2015,200249044
IT,DOM,2016,203540299
IT,DOM,2017,209970369
IT,DOM,2018,212334391
IT,DOM,2019,216076587
IT,DOM,2020,143003478
IT,DOM,2021,183054967
IT,DOM,2022,210939098
IT,DOM,2023,212987794
IT,DOM,2024,212209602
IT,DOM,2025,233843634
NL,DOM,2015,66236714
NL,DOM,2016,66589317
NL,DOM,2017,67528773
NL,DOM,2018,69080031
NL,DOM,2019,71692192
NL,DOM,2020,64042422
NL,DOM,2021,82479471
NL,DOM,2022,84478125
NL,DOM,2023,83168429
NL,DOM,2024,83857504
PL,DOM,2015,57476764
PL,DOM,2016,63814635
PL,DOM,2017,67175700
PL,DOM,2018,71117812
PL,DOM,2019,74659162
PL,DOM,2020,44754216
PL,DOM,2021,55672507
PL,DOM,2022,75194553
PL,DOM,2023,75786956
PL,DOM,2024,79256114
PT,DOM,2015,20522609
PT,DOM,2016,22054931
PT,DOM,2017,23150944
PT,DOM,2018,24555272
PT,DOM,2019,26002000
PT,DOM,2020,16775906
PT,DOM,2021,22369511
PT,DOM,2022,27363326
PT,DOM,2023,27939627
PT,DOM,2024,28416210
PT,DOM,2025,29405067
SE,DOM,2015,41998923
SE,DOM,2016,43236883
SE,DOM,2017,44044499
SE,DOM,2018,45171193
SE,DOM,2019,47195047
SE,DOM,2020,35370036
SE,DOM,2021,43532176
SE,DOM,2022,48958144
SE,DOM,2023,48316077
SE,DOM,2024,46952733
SE,DOM,2025,48188348
AT,FOR,2015,80304956
AT,FOR,2016,83398372
AT,FOR,2017,86044321
AT,FOR,2018,89293784
AT,FOR,2019,91386215
AT,FOR,2020,51142436
AT,FOR,2021,40034274
AT,FOR,2022,79470210
AT,FOR,2023,91023501
AT,FOR,2024,94009113
AT,FOR,2025,97020394
CZ,FOR,2015,23286515
CZ,FOR,2016,24268149
CZ,FOR,2017,26257013
CZ,FOR,2018,26760021
CZ,FOR,2019,27180563
CZ,FOR,2020,7388058
CZ,FOR,2021,6547315
CZ,FOR,2022,18139667
CZ,FOR,2023,23361609
CZ,FOR,2024,25474111
CZ,FOR,2025,26740457
DE,FOR,2015,78827773
DE,FOR,2016,79946914
DE,FOR,2017,83111219
DE,FOR,2018,86961856
DE,FOR,2019,89260847
DE,FOR,2020,31732508
DE,FOR,2021,30731500
DE,FOR,2022,67616302
DE,FOR,2023,80378429
DE,FOR,2024,84792636
DK,FOR,2015,11171416
DK,FOR,2016,11630004
DK,FOR,2017,11914787
DK,FOR,2018,12594611
DK,FOR,2019,12976570
DK,FOR,2020,4780488
DK,FOR,2021,5820235
DK,FOR,2022,13421956
DK,FOR,2023,14677540
DK,FOR,2024,15806432
EL,FOR,2015,85164063
EL,FOR,2016,87912850
EL,FOR,2017,97034421
EL,FOR,2018,118876323
EL,FOR,2019,119971390
EL,FOR,2020,26197786
EL,FOR,2021,58923605
EL,FOR,2022,111550090
EL,FOR,2023,123106806
EL,FOR,2024,128180321
ES,FOR,2015,269418103
ES,FOR,2016,294556428
ES,FOR,2017,305907462
ES,FOR,2018,301022634
ES,FOR,2019,299091409
ES,FOR,2020,60898835
ES,FOR,2021,114391555
ES,FOR,2022,271440904
ES,FOR,2023,301857957
ES,FOR,2024,322229807
EU27_2020,FOR,2015,1153634205
EU27_2020,FOR,2016,1212747965
EU27_2020,FOR,2017,1292346057
EU27_2020,FOR,2018,1344089315
EU27_2020,FOR,2019,1360265359
EU27_2020,FOR,2020,412580610
EU27_2020,FOR,2021,587912376
EU27_2020,FOR,2022,1211269871
EU27_2020,FOR,2023,1376610852
EU27_2020,FOR,2024,1452185794
FR,FOR,2015,130464997
FR,FOR,2016,123913410
FR,FOR,2017,133499991
FR,FOR,2018,140721383
FR,FOR,2019,135990097
FR,FOR,2020,45093660
FR,FOR,2021,56523110
FR,FOR,2022,125449581
FR,FOR,2023,138367983
FR,FOR,2024,140608197
FR,FOR,2025,150756068
HR,FOR,2015,65683010
HR,FOR,2016,72064582
HR,FOR,2017,80176804
HR,FOR,2018,83139873
HR,FOR,2019,84124151
HR,FOR,2020,35376486
HR,FOR,2021,62844164
HR,FOR,2022,82278728
HR,FOR,2023,84257983
HR,FOR,2024,84955334
HR,FOR,2025,85604505
HU,FOR,2015,12962395
HU,FOR,2016,13802045
HU,FOR,2017,14941781
HU,FOR,2018,15340449
HU,FOR,2019,15752573
HU,FOR,2020,3773567
HU,FOR,2021,5070834
HU,FOR,2022,12364137
HU,FOR,2023,14173761
HU,FOR,2024,15224253
HU,FOR,2025,16189122
IE,FOR,2015,13462348
IE,FOR,2016,16190381
IE,FOR,2018,16813507
IE,FOR,2019,16285259
IE,FOR,2020,4516254
IE,FOR,2021,5234451
IE,FOR,2022,16474828
IE,FOR,2023,24362147
IE,FOR,2024,24349960
IT,FOR,2015,192625026
IT,FOR,2016,199421814
IT,FOR,2017,210658786
IT,FOR,2018,216510546
IT,FOR,2019,220662684
IT,FOR,2020,65443607
IT,FOR,2021,106123175
IT,FOR,2022,201069434
IT,FOR,2023,234182255
IT,FOR,2024,253948443
IT,FOR,2025,301619611
NL,FOR,2015,37297588
NL,FOR,2016,39623541
NL,FOR,2017,44169041
NL,FOR,2018,47001546
NL,FOR,2019,51750379
NL,FOR,2020,21372439
NL,FOR,2021,18614806
NL,FOR,2022,48160140
NL,FOR,2023,59104032
NL,FOR,2024,61511827
PL,FOR,2015,13757657
PL,FOR,2016,15579225
PL,FOR,2017,16705215
PL,FOR,2018,17742651
PL,FOR,2019,18683576
PL,FOR,2020,6622952
PL,FOR,2021,7165013
PL,FOR,2022,14759246
PL,FOR,2023,17010905
PL,FOR,2024,18392029
PT,FOR,2015,38897329
PT,FOR,2016,43959295
PT,FOR,2017,48884842
PT,FOR,2018,49852324
PT,FOR,2019,51592254
PT,FOR,2020,13381894
PT,FOR,2021,20074908
PT,FOR,2022,49584659
PT,FOR,2023,56947203
PT,FOR,2024,59657373
PT,FOR,2025,60022455
SE,FOR,2015,13612924
SE,FOR,2016,13997265
SE,FOR,2017,14638702
SE,FOR,2018,15685681
SE,FOR,2019,15980234
SE,FOR,2020,4434525
SE,FOR,2021,6512444
SE,FOR,2022,13967415
SE,FOR,2023,15580042
SE,FOR,2024,17163352
SE,FOR,2025,17423320
AT,TOTAL,2015,113365901
AT,TOTAL,2016,117957253
AT,TOTAL,2017,121126543
AT,TOTAL,2018,125229170
AT,TOTAL,2019,127890554
AT,TOTAL,2020,79133399
AT,TOTAL,2021,66708839
AT,TOTAL,2022,115062696
AT,TOTAL,2023,127765910
AT,TOTAL,2024,131201233
AT,TOTAL,2025,134457504
CZ,TOTAL,2015,47093906
CZ,TOTAL,2016,49696957
CZ,TOTAL,2017,53219395
CZ,TOTAL,2018,55513922
CZ,TOTAL,2019,57024767
CZ,TOTAL,2020,31382494
CZ,TOTAL,2021,31924242
CZ,TOTAL,2022,50599312
CZ,TOTAL,2023,55842471
CZ,TOTAL,2024,57236084
CZ,TOTAL,2025,59101998
DE,TOTAL,2015,378048084
DE,TOTAL,2016,388851871
DE,TOTAL,2017,401163218
DE,TOTAL,2018,419556284
DE,TOTAL,2019,436954848
DE,TOTAL,2020,260757872
DE,TOTAL,2021,266102654
DE,TOTAL,2022,400409055
DE,TOTAL,2023,431439035
DE,TOTAL,2024,439619668
DK,TOTAL,2015,30809340
DK,TOTAL,2016,31896255
DK,TOTAL,2017,32157794
DK,TOTAL,2018,33280395
DK,TOTAL,2019,34325625
DK,TOTAL,2020,23670530
DK,TOTAL,2021,28556054
DK,TOTAL,2022,38439848
DK,TOTAL,2023,38946106
DK,TOTAL,2024,39816638
EL,TOTAL,2015,106064266
EL,TOTAL,2016,110020042
EL,TOTAL,2017,119009014
EL,TOTAL,2018,142940411
EL,TOTAL,2019,143594467
EL,TOTAL,2020,38475016
EL,TOTAL,2021,73886813
EL,TOTAL,2022,132745904
EL,TOTAL,2023,147209821
EL,TOTAL,2024,152944662
ES,TOTAL,2015,422226376
ES,TOTAL,2016,454957250
ES,TOTAL,2017,471199729
ES,TOTAL,2018,466940717
ES,TOTAL,2019,469813551
ES,TOTAL,2020,144677028
ES,TOTAL,2021,259579759
ES,TOTAL,2022,451624940
ES,TOTAL,2023,484987485
ES,TOTAL,2024,505166012
EU27_2020,TOTAL,2015,2486255255
EU27_2020,TOTAL,2016,2586019709
EU27_2020,TOTAL,2017,2718947476
EU27_2020,TOTAL,2018,2811091847
EU27_2020,TOTAL,2019,2875121058
EU27_2020,TOTAL,2020,1422096254
EU27_2020,TOTAL,2021,1833618994
EU27_2020,TOTAL,2022,2754886917
