country,period,arrivals
AUSTRALIA,2015-01,99273.0
AUSTRALIA,2015-02,67460.0
AUSTRALIA,2015-03,93814.0
AUSTRALIA,2015-04,114618.0
AUSTRALIA,2015-05,143084.0
AUSTRALIA,2015-06,139813.0
AUSTRALIA,2015-07,136695.0
AUSTRALIA,2015-08,136404.0
AUSTRALIA,2015-09,167433.0
AUSTRALIA,2015-10,129276.0
AUSTRALIA,2015-11,96904.0
AUSTRALIA,2015-12,128329.0
AUSTRALIA,2016-01,109627.0
AUSTRALIA,2016-02,70774.0
AUSTRALIA,2016-03,89457.0
AUSTRALIA,2016-04,112407.0
AUSTRALIA,2016-05,118403.0
AUSTRALIA,2016-06,129911.0
AUSTRALIA,2016-07,122901.0
AUSTRALIA,2016-08,118379.0
AUSTRALIA,2016-09,148949.0
AUSTRALIA,2016-10,119316.0
AUSTRALIA,2016-11,89520.0
AUSTRALIA,2016-12,120864.0
AUSTRALIA,2017-01,107396.0
AUSTRALIA,2017-02,66949.0
AUSTRALIA,2017-03,84708.0
AUSTRALIA,2017-04,112155.0
AUSTRALIA,2017-05,122045.0
AUSTRALIA,2017-06,126623.0
AUSTRALIA,2017-07,117862.0
AUSTRALIA,2017-08,119907.0
AUSTRALIA,2017-09,144430.0
AUSTRALIA,2017-10,106118.0
AUSTRALIA,2017-11,86427.0
AUSTRALIA,2017-12,129083.0
AUSTRALIA,2018-01,99279.0
AUSTRALIA,2018-02,65775.0
AUSTRALIA,2018-03,87285.0
AUSTRALIA,2018-04,117167.0
AUSTRALIA,2018-05,126587.0
AUSTRALIA,2018-06,135367.0
AUSTRALIA,2018-07,121829.0
AUSTRALIA,2018-08,123037.0
AUSTRALIA,2018-09,152174.0
AUSTRALIA,2018-10,116614.0
AUSTRALIA,2018-11,89045.0
AUSTRALIA,2018-12,128272.0
AUSTRALIA,2019-01,107009.0
AUSTRALIA,2019-02,64747.0
AUSTRALIA,2019-03,79752.0
AUSTRALIA,2019-04,109646.0
AUSTRALIA,2019-05,125402.0
AUSTRALIA,2019-06,125834.0
AUSTRALIA,2019-07,124444.0
AUSTRALIA,2019-08,118256.0
AUSTRALIA,2019-09,148393.0
AUSTRALIA,2019-10,111613.0
AUSTRALIA,2019-11,84854.0
AUSTRALIA,2019-12,119288.0
AUSTRALIA,2020-01,100531.0
AUSTRALIA,2020-02,65459.0
AUSTRALIA,2020-03,32650.0
AUSTRALIA,2020-04,606.0
AUSTRALIA,2020-05,490.0
AUSTRALIA,2020-06,778.0
AUSTRALIA,2020-07,1091.0
AUSTRALIA,2020-08,1579.0
AUSTRALIA,2020-09,1118.0
AUSTRALIA,2020-10,1318.0
AUSTRALIA,2020-11,1373.0
AUSTRALIA,2020-12,1714.0
AUSTRALIA,2021-01,1975.0
AUSTRALIA,2021-02,1116.0
AUSTRALIA,2021-03,1566.0
AUSTRALIA,2021-04,1610.0
AUSTRALIA,2021-05,1897.0
AUSTRALIA,2021-06,2405.0
AUSTRALIA,2021-07,2879.0
AUSTRALIA,2021-08,3781.0
AUSTRALIA,2021-09,2555.0
AUSTRALIA,2021-10,2988.0
AUSTRALIA,2021-11,8397.0
AUSTRALIA,2021-12,21270.0
AUSTRALIA,2022-10,71861.0
AUSTRALIA,2022-11,56999.0
AUSTRALIA,2022-12,85573.0
AUSTRALIA,2023-01,72532.0
AUSTRALIA,2023-02,46891.0
AUSTRALIA,2023-03,56296.0
AUSTRALIA,2023-04,75477.0
AUSTRALIA,2023-05,85392.0
AUSTRALIA,2023-06,91817.0
AUSTRALIA,2023-07,84899.0
AUSTRALIA,2023-08,83024.0
AUSTRALIA,2023-09,107861.0
AUSTRALIA,2023-10,91796.0
AUSTRALIA,2023-11,64363.0
AUSTRALIA,2023-12,94133.0
AUSTRALIA,2024-01,78781.0
AUSTRALIA,2024-02,60205.0
AUSTRALIA,2024-03,64418.0
AUSTRALIA,2024-04,88495.0
AUSTRALIA,2024-05,90570.0
AUSTRALIA,2024-06,95776.0
AUSTRALIA,2024-07,90177.0
AUSTRALIA,2024-08,85038.0
AUSTRALIA,2024-09,115881.0
AUSTRALIA,2024-10,88689.0
AUSTRALIA,2024-11,65866.0
AUSTRALIA,2024-12,101115.0
AUSTRALIA,2025-01,80738.0
AUSTRALIA,2025-02,61270.0
AUSTRALIA,2025-03,59859.0
AUSTRALIA,2025-04,89363.0
AUSTRALIA,2025-05,91191.0
AUSTRALIA,2025-06,86053.0
AUSTRALIA,2025-07,83874.0
AUSTRALIA,2025-08,78264.0
AUSTRALIA,2025-09,100750.0
AUSTRALIA,2025-10,78895.0
AUSTRALIA,2025-11,57478.0
AUSTRALIA,2025-12,90839.0
AUSTRALIA,2026-01,71334.0
AUSTRALIA,2026-02,59822.0
AUSTRALIA,2026-03,57637.0
AUSTRALIA,2026-04,76773.0
AUSTRALIA,2026-05,81616.0
AUSTRALIA,2026-06,90870.0
AUSTRALIA,2026-07,78351.0
BRAZIL,2015-01,248768.0
BRAZIL,2015-02,171284.0
BRAZIL,2015-03,157140.0
BRAZIL,2015-04,180463.0
BRAZIL,2015-05,189738.0
BRAZIL,2015-06,170175.0
BRAZIL,2015-07,212975.0
BRAZIL,2015-08,168889.0
BRAZIL,2015-09,174611.0
BRAZIL,2015-10,185339.0
BRAZIL,2015-11,146082.0
BRAZIL,2015-12,222827.0
BRAZIL,2016-01,194672.0
BRAZIL,2016-02,127326.0
BRAZIL,2016-03,114881.0
BRAZIL,2016-04,134907.0
BRAZIL,2016-05,143782.0
BRAZIL,2016-06,129059.0
BRAZIL,2016-07,146666.0
BRAZIL,2016-08,125067.0
BRAZIL,2016-09,142115.0
BRAZIL,2016-10,153767.0
BRAZIL,2016-11,134872.0
BRAZIL,2016-12,178365.0
BRAZIL,2017-01,179561.0
BRAZIL,2017-02,121550.0
BRAZIL,2017-03,121281.0
BRAZIL,2017-04,142265.0
BRAZIL,2017-05,142145.0
BRAZIL,2017-06,150322.0
BRAZIL,2017-07,182291.0
BRAZIL,2017-08,150610.0
BRAZIL,2017-09,157906.0
BRAZIL,2017-10,174356.0
BRAZIL,2017-11,159199.0
BRAZIL,2017-12,230961.0
BRAZIL,2018-01,226210.0
BRAZIL,2018-02,160902.0
BRAZIL,2018-03,157097.0
BRAZIL,2018-04,186158.0
BRAZIL,2018-05,187307.0
BRAZIL,2018-06,172162.0
BRAZIL,2018-07,196084.0
BRAZIL,2018-08,163429.0
BRAZIL,2018-09,163168.0
BRAZIL,2018-10,166654.0
BRAZIL,2018-11,180931.0
BRAZIL,2018-12,249270.0
BRAZIL,2019-01,226552.0
BRAZIL,2019-02,161186.0
BRAZIL,2019-03,170070.0
BRAZIL,2019-04,165969.0
BRAZIL,2019-05,174676.0
BRAZIL,2019-06,162003.0
BRAZIL,2019-07,180191.0
BRAZIL,2019-08,153878.0
BRAZIL,2019-09,159107.0
BRAZIL,2019-10,170591.0
BRAZIL,2019-11,160594.0
BRAZIL,2019-12,219800.0
BRAZIL,2020-01,198284.0
BRAZIL,2020-02,152666.0
BRAZIL,2020-03,54665.0
BRAZIL,2020-04,796.0
BRAZIL,2020-05,2822.0
BRAZIL,2020-06,470.0
BRAZIL,2020-07,823.0
BRAZIL,2020-08,1863.0
BRAZIL,2020-09,1781.0
BRAZIL,2020-10,2225.0
BRAZIL,2020-11,2767.0
BRAZIL,2020-12,4527.0
BRAZIL,2021-01,5793.0
BRAZIL,2021-02,3523.0
BRAZIL,2021-03,4839.0
BRAZIL,2021-04,6157.0
BRAZIL,2021-05,8548.0
BRAZIL,2021-06,12840.0
BRAZIL,2021-07,17893.0
BRAZIL,2021-08,17440.0
BRAZIL,2021-09,9652.0
BRAZIL,2021-10,8579.0
BRAZIL,2021-11,49181.0
BRAZIL,2021-12,94891.0
BRAZIL,2022-10,125109.0
BRAZIL,2022-11,109991.0
BRAZIL,2022-12,150616.0
BRAZIL,2023-01,135198.0
BRAZIL,2023-02,101447.0
BRAZIL,2023-03,103830.0
BRAZIL,2023-04,118670.0
BRAZIL,2023-05,123429.0
BRAZIL,2023-06,126971.0
BRAZIL,2023-07,145774.0
BRAZIL,2023-08,128103.0
BRAZIL,2023-09,149376.0
BRAZIL,2023-10,163258.0
BRAZIL,2023-11,133499.0
BRAZIL,2023-12,195164.0
BRAZIL,2024-01,178751.0
BRAZIL,2024-02,144089.0
BRAZIL,2024-03,133395.0
BRAZIL,2024-04,141218.0
BRAZIL,2024-05,165257.0
BRAZIL,2024-06,137762.0
BRAZIL,2024-07,163135.0
BRAZIL,2024-08,136704.0
BRAZIL,2024-09,150097.0
BRAZIL,2024-10,172245.0
BRAZIL,2024-11,162348.0
BRAZIL,2024-12,225255.0
BRAZIL,2025-01,191646.0
BRAZIL,2025-02,145325.0
BRAZIL,2025-03,141564.0
BRAZIL,2025-04,151008.0
BRAZIL,2025-05,159149.0
BRAZIL,2025-06,163416.0
BRAZIL,2025-07,160420.0
BRAZIL,2025-08,131121.0
BRAZIL,2025-09,135345.0
BRAZIL,2025-10,161725.0
BRAZIL,2025-11,148573.0
BRAZIL,2025-12,227273.0
BRAZIL,2026-01,199123.0
BRAZIL,2026-02,152869.0
BRAZIL,2026-03,147224.0
BRAZIL,2026-04,151738.0
BRAZIL,2026-05,162556.0
BRAZIL,2026-06,146536.0
BRAZIL,2026-07,160825.0
CANADA,2015-01,1566951.0
CANADA,2015-02,1419546.0
CANADA,2015-03,2077148.0
CANADA,2015-04,1921658.0
CANADA,2015-05,1834424.0
CANADA,2015-06,1485644.0
CANADA,2015-07,2165295.0
CANADA,2015-08,2478003.0
CANADA,2015-09,1595420.0
CANADA,2015-10,1464844.0
CANADA,2015-11,1426837.0
CANADA,2015-12,1263382.0
CANADA,2016-01,1356146.0
CANADA,2016-02,1230191.0
CANADA,2016-03,1797979.0
