variable,activity,period,value
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2011-01,117.17004
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2011-02,102.39241
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2011-03,113.66355
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2011-04,110.68297
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2011-05,109.41754
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2011-06,108.3683
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2011-07,117.7412
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2011-08,112.48408
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2011-09,110.59619
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2011-10,116.27785
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2011-11,118.69373
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2011-12,129.98649
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2012-01,121.10323
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2012-02,106.78934
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2012-03,113.79196
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2012-04,107.74246
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2012-05,109.8723
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2012-06,108.8196
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2012-07,113.20037
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2012-08,114.55271
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2012-09,112.97454
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2012-10,116.9
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2012-11,121.1075
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2012-12,131.54876
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2013-01,121.03124
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2013-02,104.83193
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2013-03,115.87907
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2013-04,110.37007
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2013-05,110.11607
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2013-06,108.53257
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2013-07,117.26767
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2013-08,116.74388
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2013-09,112.64404
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2013-10,117.71333
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2013-11,120.34397
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2013-12,131.60811
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2014-01,125.0564
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2014-02,107.6834
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2014-03,114.75852
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2014-04,110.23201
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2014-05,111.00203
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2014-06,103.45072
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2014-07,108.20081
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2014-08,114.95754
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2014-09,108.10077
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2014-10,115.21351
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2014-11,113.90066
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2014-12,127.76138
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2015-01,122.5186
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2015-02,104.14433
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2015-03,106.53178
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2015-04,102.71352
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2015-05,100.80517
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2015-06,100.63301
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2015-07,105.9916
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2015-08,104.96818
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2015-09,101.46504
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2015-10,109.32032
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2015-11,105.68201
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2015-12,120.1626
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2016-01,118.89996
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2016-02,101.35729
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2016-03,101.59212
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2016-04,99.4976
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2016-05,94.10681
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2016-06,92.29046
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2016-07,102.74231
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2016-08,99.31669
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2016-09,95.29548
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2016-10,102.41291
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2016-11,100.49195
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2016-12,117.77213
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2017-01,112.89017
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2017-02,96.36108
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2017-03,99.23096
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2017-04,97.11738
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2017-05,96.16282
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2017-06,97.33183
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2017-07,106.44089
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2017-08,95.7345
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2017-09,100.86443
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2017-10,102.83581
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2017-11,102.54732
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2017-12,114.95079
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2018-01,110.14851
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2018-02,91.75051
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2018-03,101.4339
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2018-04,99.03163
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2018-05,95.20865
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2018-06,94.117
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2018-07,106.94674
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2018-08,101.62869
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2018-09,101.9749
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2018-10,105.08712
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2018-11,105.99198
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2018-12,119.65246
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2019-01,115.62185
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2019-02,96.26497
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2019-03,107.51787
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2019-04,101.1841
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2019-05,100.50856
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2019-06,100.17035
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2019-07,109.7981
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2019-08,102.83073
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2019-09,101.36408
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2019-10,108.69651
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2019-11,107.26372
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2019-12,118.57762
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2020-01,116.20346
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2020-02,100.26996
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2020-03,68.87894
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2020-04,32.28779
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2020-05,36.39872
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2020-06,40.0107
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2020-07,47.03669
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2020-08,56.12849
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2020-09,62.46407
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2020-10,75.68725
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2020-11,79.60404
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2020-12,88.20735
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2021-01,83.6108
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2021-02,71.13628
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2021-03,57.01734
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2021-04,57.15359
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2021-05,68.34675
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2021-06,72.96879
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2021-07,87.51113
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2021-08,82.05644
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2021-09,86.05167
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2021-10,95.62816
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2021-11,96.06645
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2021-12,107.31014
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2022-01,100.25792
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2022-02,83.83667
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2022-03,95.18545
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2022-04,95.91408
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2022-05,97.36183
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2022-06,93.96769
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2022-07,106.97409
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2022-08,100.69338
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2022-09,100.9522
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2022-10,105.70084
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2022-11,102.42232
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2022-12,116.73353
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2023-01,110.74238
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2023-02,93.91206
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2023-03,98.59373
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2023-04,99.6211
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2023-05,99.94701
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2023-06,99.23981
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2023-07,113.89158
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2023-08,99.61145
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2023-09,101.79805
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2023-10,107.39361
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2023-11,109.28207
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2023-12,128.13768
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2024-01,114.77861
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2024-02,98.72369
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2024-03,107.77941
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2024-04,99.75199
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2024-05,105.47402
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2024-06,104.3325
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2024-07,115.75299
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2024-08,107.26171
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2024-09,105.37535
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2024-10,112.87206
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2024-11,117.03909
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2024-12,132.09377
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2025-01,117.03239
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2025-02,98.97929
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2025-03,112.74313
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2025-04,106.09227
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2025-05,108.74962
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2025-06,103.40701
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2025-07,113.86856
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2025-08,110.46646
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2025-09,107.82981
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2025-10,114.61099
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2025-11,117.24291
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2025-12,131.62937
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2026-01,119.58531
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2026-02,103.37902
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2026-03,111.06602
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2026-04,108.7334
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2026-05,113.56994
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2026-06,105.57704
PMS - Número-índice (2022=100),1.1 Serviços de alojamento e alimentação,2026-07,117.47605
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2011-01,109.33362
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2011-02,112.28276
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2011-03,114.62897
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2011-04,114.44532
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2011-05,114.42075
