source,url,access_date,http_status,payload_bytes,cache_file,cache_bytes,sha256,last_period,comment
eurostat_tour_occ_nim,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_occ_nim?format=JSON&lang=EN&unit=NR&c_resid=TOTAL&sinceTimePeriod=2015-01&nace_r2=I552&geo=...,2026-09-12,200,347360,raw\eurostat_tour_occ_nim_monthly.csv,447407,2b16fd63ade28333cf468ef1f8176bc8d934a9cb12db1146ca9dee4901ff2b00,2026-06,16 geos x 4 NACE; EU27 I552 last 2026-06; dataset updated 2026-09-11T23:00:00+0200
eurostat_tour_occ_ninat,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_occ_ninat?format=JSON&lang=EN&unit=NR&nace_r2=I551-I553&sinceTimePeriod=2015&geo=EU27_2020&geo=ES&geo=IT&geo=FR&geo=PT&geo=EL&geo=HR&geo=DE&geo=NL&geo=AT&geo=IE&geo=PL&geo=DK&geo=SE&geo=CZ&geo=HU,2026-09-12,200,11484,raw\eurostat_tour_occ_ninat_annual.csv,11768,575d8add6caa6e7ad188bc19d52fcbc99248736c83e15917754b5e00f38d6772,2025,"freq dimension is A only: annual series, no monthly split by residence in this table"
eurostat_avia_paoc,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/avia_paoc?format=JSON&lang=EN&unit=PAS&tra_meas=PAS_CRD&tra_cov=TOTAL&schedule=TOTAL&freq=M&sinceTimePeriod=2015-01&geo=EU27_2020&geo=ES&geo=IT&geo=FR&geo=PT&geo=EL&geo=HR&geo=DE&geo=NL&geo=AT&geo=IE&geo=PL&geo=DK&geo=SE&geo=CZ&geo=HU,2026-09-12,200,39391,raw\eurostat_avia_paoc_monthly.csv,44386,30b01215dade504af5e15d060face03f26f84664ad48f452ee69ec3c0f68039c,2026-07,dataset updated 2026-09-10T23:00:00+0200
statcan_24100053,"https://www150.statcan.gc.ca/t1/wds/rest/getDataFromCubePidCoordAndLatestNPeriods (productId 24100053, coordinates 1.1.1, 1.2.1, 1.2.3, 1.3.1, 1.3.3, 1.18.1, 1.18.3, 1.42.1, 1.42.3, 1.57.1, 1.57.3)",2026-09-12,200,359710,raw\statcan_24100053_monthly.csv,98758,a513f26203aaf3cc838cdd290b9c91628970e946363b4d9abdc4009f0335d703,2026-06,11 series; the full-table zip is 450 MB so the coordinate API is used
jnto_arrivals,https://www.jnto.go.jp/statistics/data/_files/20260819_1615-5.xlsx,2026-09-12,200,445006,raw\jnto_arrivals_monthly.csv,72532,d8a45f371cdba09da04b0002e80f25bded4483a737183d940cb6235e6c413c72,2026-07,8 markets; Aug 2026 is due about 17 Sep; values for the latest two months are JNTO estimates
abs_340101,https://www.abs.gov.au/statistics/industry/tourism-and-transport/overseas-arrivals-and-departures-australia/jul-2026/340101.xlsx,2026-09-12,200,94351,raw\abs_340101_arrivals_monthly.csv,68559,11acbff50c2327d4b3337362fdaa032f960dae35a858cfd3a1988ccb0507c5c1,2026-07,original (not SA) columns; release month in the URL
ntto_country,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,2026-09-12,200,1473973,raw\ntto_arrivals_by_country_monthly.csv,42035,bf0fe6e1c9d5b4e9b7e535d9ce7df2756efd66844469e24cb552acc6bd6f751b,2026-07,"12 countries kept from 2015-01; same vendor xlsx G pulled on 11 Sep, re-read for country rows"
colombia_migracion,"https://www.datos.gov.co/resource/96sh-4v8d.json?$select=a_o,mes,sum(total)&$group=a_o,mes&$order=a_o,mes&$limit=1000",2026-09-12,200,9091,raw\colombia_foreign_entries_monthly.csv,3133,34e2a2b89fa654d17f8d8e5eab605815d7a06b10b25d64ac3ae9ae364d9a1298,2026-06,"dataset 96sh-4v8d, updated 20 Aug 2026 per catalog"
ibge_pms_8688,"https://apisidra.ibge.gov.br/values/t/8688/n1/all/v/7167,7168/p/all/c11046/56726/c12355/56692,106870,107071",2026-09-12,200,456469,raw\ibge_pms_accommodation_monthly.csv,90774,a1ec47612598477040bd4e1ad2ff77fb83e95c59dc302a557e675b1dbf9c34d3,2026-07,"SIDRA table 8688, volume index 2022=100, NSA (7167) and SA (7168)"
mexico_datatur,https://www.datatur.sectur.gob.mx/SitePages/CompendioEstadistico.aspx,2026-09-12,"ConnectionError (max retries, https and http) on 12 Sep 2026",0,,0,,,"no access: ConnectionError (max retries, https and http) on 12 Sep 2026"
