period,foreign_entries
2012-01,140182.0
2012-02,141963.0
2012-03,140409.0
2012-04,128041.0
2012-05,123503.0
2012-06,135385.0
2012-07,156415.0
2012-08,158186.0
2012-09,135990.0
2012-10,134982.0
2012-11,137814.0
2012-12,165496.0
2013-01,145272.0
2013-02,155704.0
2013-03,141368.0
2013-04,134576.0
2013-05,139609.0
2013-06,147487.0
2013-07,178486.0
2013-08,164790.0
2013-09,141607.0
2013-10,147031.0
2013-11,156148.0
2013-12,180020.0
2014-01,161909.0
2014-02,156800.0
2014-03,161232.0
2014-04,150163.0
2014-05,149764.0
2014-06,158289.0
2014-07,192717.0
2014-08,198148.0
2014-09,162871.0
2014-10,169887.0
2014-11,176674.0
2014-12,213464.0
2015-01,185843.0
2015-02,186405.0
2015-03,193039.0
2015-04,176230.0
2015-05,182073.0
2015-06,185535.0
2015-07,226667.0
2015-08,224938.0
2015-09,188902.0
2015-10,197339.0
2015-11,204331.0
2015-12,236161.0
2016-01,215327.0
2016-02,213365.0
2016-03,219143.0
2016-04,190442.0
2016-05,188044.0
2016-06,206193.0
2016-07,240713.0
2016-08,267583.0
2016-09,233188.0
2016-10,230257.0
2016-11,237399.0
2016-12,257603.0
2017-01,246025.0
2017-02,249481.0
2017-03,247276.0
2017-04,245139.0
2017-05,239240.0
2017-06,248094.0
2017-07,312302.0
2017-08,319808.0
2017-09,276059.0
2017-10,288539.0
2017-11,320098.0
2017-12,352755.0
2018-01,359251.0
2018-02,369649.0
2018-03,372663.0
2018-04,343529.0
2018-05,322931.0
2018-06,312969.0
2018-07,374313.0
2018-08,377674.0
2018-09,309844.0
2018-10,318822.0
2018-11,325101.0
2018-12,364819.0
2019-01,332396.0
2019-02,330890.0
2019-03,334054.0
2019-04,324792.0
2019-05,330566.0
2019-06,329508.0
2019-07,366146.0
2019-08,390696.0
2019-09,296516.0
2019-10,288839.0
2019-11,310840.0
2019-12,352203.0
2020-01,320629.0
2020-02,333757.0
2020-03,149855.0
2020-04,441.0
2020-05,745.0
2020-06,1617.0
2020-07,1675.0
2020-08,2202.0
2020-09,7297.0
2020-10,33854.0
2020-11,55407.0
2020-12,93081.0
2021-01,67429.0
2021-02,55947.0
2021-03,76353.0
2021-04,64041.0
2021-05,61041.0
2021-06,96157.0
2021-07,132725.0
2021-08,147144.0
2021-09,147462.0
2021-10,171017.0
2021-11,225435.0
2021-12,277378.0
2022-01,222755.0
2022-02,230786.0
2022-03,264574.0
2022-04,273843.0
2022-05,260095.0
2022-06,277403.0
2022-07,338278.0
2022-08,333827.0
2022-09,301025.0
2022-10,303937.0
2022-11,334201.0
2022-12,371226.0
2023-01,346400.0
2023-02,350876.0
2023-03,362149.0
2023-04,333458.0
2023-05,318349.0
2023-06,347157.0
2023-07,422998.0
2023-08,399127.0
2023-09,334494.0
2023-10,326846.0
2023-11,379275.0
2023-12,414423.0
2024-01,384743.0
2024-02,400209.0
2024-03,397364.0
2024-04,355090.0
2024-05,354495.0
2024-06,378540.0
2024-07,438045.0
2024-08,454164.0
2024-09,376136.0
2024-10,384067.0
2024-11,426761.0
2024-12,494673.0
2025-01,443624.0
2025-02,428717.0
2025-03,437994.0
2025-04,403715.0
2025-05,384254.0
2025-06,399770.0
2025-07,479045.0
2025-08,457736.0
2025-09,362360.0
2025-10,385007.0
2025-11,428358.0
2025-12,519869.0
2026-01,468509.0
2026-02,448393.0
2026-03,450844.0
2026-04,376876.0
2026-05,351797.0
2026-06,334065.0
