geo,period,value
AT,2015-01,1751044
AT,2015-02,1718104
AT,2015-03,2100017
AT,2015-04,2182653
AT,2015-05,2363428
AT,2015-06,2520214
AT,2015-07,2739213
AT,2015-08,2775665
AT,2015-09,2622134
AT,2015-10,2279362
AT,2015-11,1843174
AT,2015-12,1858999
AT,2016-01,1770425
AT,2016-02,1780026
AT,2016-03,2151897
AT,2016-04,2099280
AT,2016-05,2373298
AT,2016-06,2450672
AT,2016-07,2776608
AT,2016-08,2723254
AT,2016-09,2665489
AT,2016-10,2398405
AT,2016-11,1946072
AT,2016-12,2046085
AT,2017-01,1887141
AT,2017-02,1867912
AT,2017-03,2198600
AT,2017-04,2425716
AT,2017-05,2497696
AT,2017-06,2614609
AT,2017-07,2871073
AT,2017-08,2807833
AT,2017-09,2734285
AT,2017-10,2424628
AT,2017-11,1947157
AT,2017-12,2050629
AT,2018-01,1905331
AT,2018-02,1937152
AT,2018-03,2404430
AT,2018-04,2442085
AT,2018-05,2585884
AT,2018-06,2822571
AT,2018-07,3085491
AT,2018-08,3143286
AT,2018-09,3028317
AT,2018-10,2842107
AT,2018-11,2396286
AT,2018-12,2545477
AT,2019-01,2285034
AT,2019-02,2349892
AT,2019-03,2871838
AT,2019-04,2978376
AT,2019-05,3038394
AT,2019-06,3314289
AT,2019-07,3504875
AT,2019-08,3511121
AT,2019-09,3306004
AT,2019-10,3095301
AT,2019-11,2591272
AT,2019-12,2797792
AT,2020-01,2559973
AT,2020-02,2536893
AT,2020-03,1006487
AT,2020-04,12868
AT,2020-05,21197
AT,2020-06,141631
AT,2020-07,612959
AT,2020-08,854823
AT,2020-09,604214
AT,2020-10,403375
AT,2020-11,182929
AT,2020-12,231082
AT,2021-01,200480
AT,2021-02,159877
AT,2021-03,216215
AT,2021-04,272564
AT,2021-05,404322
AT,2021-06,753663
AT,2021-07,1585758
AT,2021-08,1921071
AT,2021-09,1708036
AT,2021-10,1673955
AT,2021-11,1182741
AT,2021-12,1026882
AT,2022-01,1011765
AT,2022-02,1149226
AT,2022-03,1553838
AT,2022-04,1965357
AT,2022-05,2306459
AT,2022-06,2641141
AT,2022-07,3026295
AT,2022-08,3028144
AT,2022-09,2880926
AT,2022-10,2609911
AT,2022-11,2021789
AT,2022-12,2186329
AT,2023-01,2043922
AT,2023-02,2017210
AT,2023-03,2462040
AT,2023-04,2688959
AT,2023-05,2926011
AT,2023-06,3107728
AT,2023-07,3450927
AT,2023-08,3418149
AT,2023-09,3219301
AT,2023-10,2958716
AT,2023-11,2275931
AT,2023-12,2494272
AT,2024-01,2216720
AT,2024-02,2312433
AT,2024-03,2671992
AT,2024-04,2815001
AT,2024-05,3079828
AT,2024-06,3292458
AT,2024-07,3617732
AT,2024-08,3646998
AT,2024-09,3355866
AT,2024-10,3160072
AT,2024-11,2424454
AT,2024-12,2688257
AT,2025-01,2292902
AT,2025-02,2328896
AT,2025-03,2650130
AT,2025-04,3012678
AT,2025-05,3111959
AT,2025-06,3283721
AT,2025-07,3592713
AT,2025-08,3742655
AT,2025-09,3453729
AT,2025-10,3302493
AT,2025-11,2552040
AT,2025-12,2827378
AT,2026-01,2317970
AT,2026-02,2345124
AT,2026-03,2660638
AT,2026-04,2792404
AT,2026-05,2995958
AT,2026-06,3131393
AT,2026-07,3474061
CZ,2015-01,649303
CZ,2015-02,638120
CZ,2015-03,821510
CZ,2015-04,956678
CZ,2015-05,1092539
CZ,2015-06,1328075
CZ,2015-07,1494935
CZ,2015-08,1506583
CZ,2015-09,1358210
CZ,2015-10,1089549
CZ,2015-11,871581
CZ,2015-12,864921
CZ,2016-01,711611
CZ,2016-02,722370
CZ,2016-03,907730
CZ,2016-04,975675
CZ,2016-05,1103672
CZ,2016-06,1348177
CZ,2016-07,1584206
CZ,2016-08,1573745
CZ,2016-09,1478105
CZ,2016-10,1225588
CZ,2016-11,994899
CZ,2016-12,1046584
CZ,2017-01,868566
CZ,2017-02,849582
CZ,2017-03,1072321
CZ,2017-04,1263891
CZ,2017-05,1341865
CZ,2017-06,1616177
CZ,2017-07,1868592
CZ,2017-08,1863455
CZ,2017-09,1732354
CZ,2017-10,1419400
CZ,2017-11,1163466
CZ,2017-12,1185885
CZ,2018-01,973631
CZ,2018-02,972451
CZ,2018-03,1227260
CZ,2018-04,1369253
CZ,2018-05,1458690
CZ,2018-06,1821391
CZ,2018-07,2094469
CZ,2018-08,2082987
CZ,2018-09,1879973
CZ,2018-10,1513421
CZ,2018-11,1200038
CZ,2018-12,1244657
CZ,2019-01,1008314
CZ,2019-02,1006967
CZ,2019-03,1264523
CZ,2019-04,1429271
CZ,2019-05,1534002
CZ,2019-06,1920519
CZ,2019-07,2165055
CZ,2019-08,2191422
CZ,2019-09,1987517
CZ,2019-10,1637463
CZ,2019-11,1277680
CZ,2019-12,1344355
CZ,2020-01,1088657
CZ,2020-02,1037299
CZ,2020-03,444914
CZ,2020-04,4672
CZ,2020-05,7663
CZ,2020-06,37395
CZ,2020-07,272997
CZ,2020-08,377416
CZ,2020-09,259224
CZ,2020-10,120624
CZ,2020-11,67046
CZ,2020-12,103465
CZ,2021-01,89406
CZ,2021-02,78802
CZ,2021-03,88415
CZ,2021-04,103236
CZ,2021-05,141661
CZ,2021-06,329340
CZ,2021-07,699085
CZ,2021-08,794335
CZ,2021-09,721256
CZ,2021-10,654893
CZ,2021-11,557765
CZ,2021-12,496966
CZ,2022-01,353064
CZ,2022-02,448234
CZ,2022-03,621263
CZ,2022-04,824372
CZ,2022-05,958424
CZ,2022-06,1280206
CZ,2022-07,1555978
CZ,2022-08,1521980
CZ,2022-09,1300546
CZ,2022-10,1056392
CZ,2022-11,774294
CZ,2022-12,837897
CZ,2023-01,671905
CZ,2023-02,706170
CZ,2023-03,904810
CZ,2023-04,1083720
CZ,2023-05,1178090
CZ,2023-06,1575803
CZ,2023-07,1851633
CZ,2023-08,1841938
CZ,2023-09,1653377
CZ,2023-10,1339677
CZ,2023-11,1017097
CZ,2023-12,1100653
CZ,2024-01,855539
CZ,2024-02,964241
CZ,2024-03,1186379
CZ,2024-04,1271040
CZ,2024-05,1437192
CZ,2024-06,1851961
CZ,2024-07,2121749
CZ,2024-08,2093925
CZ,2024-09,1864537
CZ,2024-10,1543416
CZ,2024-11,1197141
CZ,2024-12,1358985
CZ,2025-01,985591
CZ,2025-02,1036617
CZ,2025-03,1235260
CZ,2025-04,1412280
CZ,2025-05,1564520
CZ,2025-06,1946546
CZ,2025-07,2190468
CZ,2025-08,2208878
CZ,2025-09,1990735
CZ,2025-10,1715331
CZ,2025-11,1365117
CZ,2025-12,1522704
CZ,2026-01,1118678
CZ,2026-02,1170498
CZ,2026-03,1342087
DE,2015-01,11708343
DE,2015-02,11562591
DE,2015-03,14357887
DE,2015-04,15683137
DE,2015-05,17893241
DE,2015-06,18316734
DE,2015-07,19625743
DE,2015-08,20255751
DE,2015-09,19263574
DE,2015-10,18926255
DE,2015-11,13470542
DE,2015-12,12872632
DE,2016-01,12226690
DE,2016-02,12384170
DE,2016-03,15109267
DE,2016-04,15798088
DE,2016-05,18101677
DE,2016-06,18486171
DE,2016-07,20428888
DE,2016-08,20280099
DE,2016-09,20239799
DE,2016-10,19660824
DE,2016-11,13971638
DE,2016-12,13999982
DE,2017-01,13146511
DE,2017-02,12849806
DE,2017-03,15601985
DE,2017-04,17906786
DE,2017-05,19100564
DE,2017-06,19908381
DE,2017-07,21788797
DE,2017-08,21571733
DE,2017-09,21252374
DE,2017-10,20230108
DE,2017-11,14971010
DE,2017-12,14061288
DE,2018-01,13356786
DE,2018-02,13253657
DE,2018-03,16735521
DE,2018-04,17975261
DE,2018-05,19904627
DE,2018-06,20574997
DE,2018-07,22589018
DE,2018-08,22462326
DE,2018-09,22201917
DE,2018-10,21741647
DE,2018-11,16110325
DE,2018-12,15516279
DE,2019-01,14177333
DE,2019-02,13965763
DE,2019-03,17192573
DE,2019-04,19190820
DE,2019-05,20253183
DE,2019-06,21595042
DE,2019-07,22839831
DE,2019-08,22756833
DE,2019-09,22175455
DE,2019-10,21573621
