series,period,value
st_residents_returning,1976-01,143370.0
st_residents_returning,1976-02,76370.0
st_residents_returning,1976-03,61900.0
st_residents_returning,1976-04,55940.0
st_residents_returning,1976-05,80590.0
st_residents_returning,1976-06,61000.0
st_residents_returning,1976-07,70650.0
st_residents_returning,1976-08,88280.0
st_residents_returning,1976-09,113460.0
st_residents_returning,1976-10,97460.0
st_residents_returning,1976-11,65600.0
st_residents_returning,1976-12,53600.0
st_residents_returning,1977-01,155430.0
st_residents_returning,1977-02,70740.0
st_residents_returning,1977-03,57210.0
st_residents_returning,1977-04,56630.0
st_residents_returning,1977-05,67820.0
st_residents_returning,1977-06,66830.0
st_residents_returning,1977-07,77800.0
st_residents_returning,1977-08,85770.0
st_residents_returning,1977-09,117080.0
st_residents_returning,1977-10,90930.0
st_residents_returning,1977-11,74420.0
st_residents_returning,1977-12,53010.0
st_residents_returning,1978-01,143190.0
st_residents_returning,1978-02,69770.0
st_residents_returning,1978-03,60700.0
st_residents_returning,1978-04,62860.0
st_residents_returning,1978-05,83010.0
st_residents_returning,1978-06,70490.0
st_residents_returning,1978-07,84770.0
st_residents_returning,1978-08,90530.0
st_residents_returning,1978-09,125890.0
st_residents_returning,1978-10,99390.0
st_residents_returning,1978-11,79600.0
st_residents_returning,1978-12,59260.0
st_residents_returning,1979-01,154970.0
st_residents_returning,1979-02,76430.0
st_residents_returning,1979-03,72160.0
st_residents_returning,1979-04,73230.0
st_residents_returning,1979-05,97270.0
st_residents_returning,1979-06,88190.0
st_residents_returning,1979-07,89460.0
st_residents_returning,1979-08,97960.0
st_residents_returning,1979-09,130540.0
st_residents_returning,1979-10,105540.0
st_residents_returning,1979-11,93020.0
st_residents_returning,1979-12,65560.0
st_residents_returning,1980-01,150540.0
st_residents_returning,1980-02,88120.0
st_residents_returning,1980-03,90930.0
st_residents_returning,1980-04,82530.0
st_residents_returning,1980-05,99730.0
st_residents_returning,1980-06,95170.0
st_residents_returning,1980-07,94190.0
st_residents_returning,1980-08,99790.0
st_residents_returning,1980-09,118290.0
st_residents_returning,1980-10,110680.0
st_residents_returning,1980-11,97900.0
st_residents_returning,1980-12,66900.0
st_residents_returning,1981-01,143400.0
st_residents_returning,1981-02,84180.0
st_residents_returning,1981-03,90100.0
st_residents_returning,1981-04,86790.0
st_residents_returning,1981-05,98220.0
st_residents_returning,1981-06,97230.0
st_residents_returning,1981-07,93370.0
st_residents_returning,1981-08,96100.0
st_residents_returning,1981-09,113610.0
st_residents_returning,1981-10,111660.0
st_residents_returning,1981-11,97410.0
st_residents_returning,1981-12,69310.0
st_residents_returning,1982-01,150620.0
st_residents_returning,1982-02,86700.0
st_residents_returning,1982-03,89360.0
st_residents_returning,1982-04,91850.0
st_residents_returning,1982-05,101580.0
st_residents_returning,1982-06,98530.0
st_residents_returning,1982-07,112100.0
st_residents_returning,1982-08,109240.0
st_residents_returning,1982-09,130890.0
st_residents_returning,1982-10,120280.0
st_residents_returning,1982-11,97420.0
st_residents_returning,1982-12,71070.0
st_residents_returning,1983-01,150970.0
st_residents_returning,1983-02,84570.0
st_residents_returning,1983-03,85110.0
st_residents_returning,1983-04,87950.0
st_residents_returning,1983-05,97960.0
st_residents_returning,1983-06,93270.0
st_residents_returning,1983-07,102820.0
st_residents_returning,1983-08,99850.0
st_residents_returning,1983-09,126470.0
st_residents_returning,1983-10,127300.0
st_residents_returning,1983-11,90730.0
st_residents_returning,1983-12,72660.0
st_residents_returning,1984-01,160180.0
st_residents_returning,1984-02,88680.0
st_residents_returning,1984-03,84030.0
st_residents_returning,1984-04,94110.0
st_residents_returning,1984-05,113930.0
st_residents_returning,1984-06,100260.0
st_residents_returning,1984-07,115540.0
st_residents_returning,1984-08,118560.0
st_residents_returning,1984-09,158560.0
st_residents_returning,1984-10,139780.0
st_residents_returning,1984-11,112590.0
st_residents_returning,1984-12,88440.0
st_residents_returning,1985-01,182010.0
st_residents_returning,1985-02,106520.0
st_residents_returning,1985-03,100520.0
st_residents_returning,1985-04,100020.0
st_residents_returning,1985-05,122130.0
st_residents_returning,1985-06,116580.0
st_residents_returning,1985-07,125590.0
st_residents_returning,1985-08,132780.0
st_residents_returning,1985-09,167890.0
st_residents_returning,1985-10,146960.0
st_residents_returning,1985-11,112050.0
st_residents_returning,1985-12,81680.0
st_residents_returning,1986-01,186450.0
st_residents_returning,1986-02,101950.0
st_residents_returning,1986-03,96070.0
st_residents_returning,1986-04,100480.0
st_residents_returning,1986-05,119020.0
st_residents_returning,1986-06,114550.0
st_residents_returning,1986-07,128810.0
st_residents_returning,1986-08,148230.0
st_residents_returning,1986-09,167670.0
st_residents_returning,1986-10,147950.0
st_residents_returning,1986-11,117510.0
st_residents_returning,1986-12,84550.0
st_residents_returning,1987-01,186670.0
st_residents_returning,1987-02,110150.0
st_residents_returning,1987-03,102440.0
st_residents_returning,1987-04,111280.0
st_residents_returning,1987-05,110690.0
st_residents_returning,1987-06,107870.0
st_residents_returning,1987-07,156530.0
st_residents_returning,1987-08,149090.0
st_residents_returning,1987-09,156760.0
st_residents_returning,1987-10,183770.0
st_residents_returning,1987-11,122620.0
st_residents_returning,1987-12,88490.0
st_residents_returning,1988-01,196410.0
st_residents_returning,1988-02,112210.0
st_residents_returning,1988-03,107550.0
st_residents_returning,1988-04,120990.0
st_residents_returning,1988-05,104010.0
st_residents_returning,1988-06,118750.0
st_residents_returning,1988-07,162360.0
st_residents_returning,1988-08,136850.0
st_residents_returning,1988-09,160580.0
st_residents_returning,1988-10,188380.0
st_residents_returning,1988-11,128640.0
st_residents_returning,1988-12,101200.0
st_residents_returning,1989-01,222180.0
st_residents_returning,1989-02,129080.0
st_residents_returning,1989-03,132110.0
st_residents_returning,1989-04,141070.0
st_residents_returning,1989-05,121190.0
st_residents_returning,1989-06,139680.0
st_residents_returning,1989-07,197910.0
st_residents_returning,1989-08,159040.0
st_residents_returning,1989-09,187320.0
st_residents_returning,1989-10,217990.0
st_residents_returning,1989-11,151410.0
st_residents_returning,1989-12,113720.0
st_residents_returning,1990-01,252620.0
st_residents_returning,1990-02,155590.0
st_residents_returning,1990-03,137550.0
st_residents_returning,1990-04,158580.0
st_residents_returning,1990-05,144810.0
st_residents_returning,1990-06,149740.0
st_residents_returning,1990-07,211610.0
st_residents_returning,1990-08,181970.0
st_residents_returning,1990-09,205840.0
st_residents_returning,1990-10,230800.0
st_residents_returning,1990-11,157220.0
st_residents_returning,1990-12,123010.0
st_residents_returning,1991-01,260000.0
st_residents_returning,1991-02,135150.0
st_residents_returning,1991-03,141340.0
st_residents_returning,1991-04,124040.0
st_residents_returning,1991-05,131580.0
st_residents_returning,1991-06,151650.0
st_residents_returning,1991-07,196820.0
st_residents_returning,1991-08,169100.0
st_residents_returning,1991-09,184650.0
st_residents_returning,1991-10,225470.0
st_residents_returning,1991-11,164330.0
st_residents_returning,1991-12,125560.0
st_residents_returning,1992-01,256870.0
st_residents_returning,1992-02,146570.0
st_residents_returning,1992-03,141860.0
st_residents_returning,1992-04,158860.0
st_residents_returning,1992-05,152300.0
st_residents_returning,1992-06,150020.0
st_residents_returning,1992-07,222440.0
st_residents_returning,1992-08,188140.0
st_residents_returning,1992-09,202780.0
st_residents_returning,1992-10,246490.0
st_residents_returning,1992-11,169670.0
st_residents_returning,1992-12,130330.0
st_residents_returning,1993-01,273790.0
st_residents_returning,1993-02,161790.0
st_residents_returning,1993-03,143150.0
st_residents_returning,1993-04,165840.0
st_residents_returning,1993-05,154110.0
st_residents_returning,1993-06,159950.0
st_residents_returning,1993-07,227790.0
st_residents_returning,1993-08,182550.0
st_residents_returning,1993-09,200550.0
st_residents_returning,1993-10,252390.0
st_residents_returning,1993-11,162860.0
st_residents_returning,1993-12,130390.0
st_residents_returning,1994-01,275010.0
st_residents_returning,1994-02,159570.0
st_residents_returning,1994-03,158240.0
st_residents_returning,1994-04,170690.0
st_residents_returning,1994-05,157810.0
st_residents_returning,1994-06,167710.0
st_residents_returning,1994-07,240750.0
st_residents_returning,1994-08,190420.0
st_residents_returning,1994-09,214800.0
st_residents_returning,1994-10,254180.0
st_residents_returning,1994-11,173090.0
st_residents_returning,1994-12,140280.0
st_residents_returning,1995-01,285140.0
st_residents_returning,1995-02,175190.0
st_residents_returning,1995-03,167640.0
st_residents_returning,1995-04,186670.0
st_residents_returning,1995-05,175120.0
st_residents_returning,1995-06,183680.0
st_residents_returning,1995-07,247170.0
st_residents_returning,1995-08,202270.0
st_residents_returning,1995-09,232690.0
st_residents_returning,1995-10,272650.0
st_residents_returning,1995-11,187590.0
st_residents_returning,1995-12,155020.0
st_residents_returning,1996-01,312870.0
st_residents_returning,1996-02,184470.0
st_residents_returning,1996-03,185860.0
st_residents_returning,1996-04,208360.0
st_residents_returning,1996-05,179740.0
st_residents_returning,1996-06,200650.0
st_residents_returning,1996-07,261300.0
st_residents_returning,1996-08,226290.0
st_residents_returning,1996-09,251080.0
st_residents_returning,1996-10,302050.0
st_residents_returning,1996-11,214120.0
st_residents_returning,1996-12,168740.0
st_residents_returning,1997-01,330830.0
st_residents_returning,1997-02,194770.0
st_residents_returning,1997-03,208200.0
st_residents_returning,1997-04,209200.0
st_residents_returning,1997-05,197480.0
st_residents_returning,1997-06,221980.0
st_residents_returning,1997-07,285080.0
st_residents_returning,1997-08,244210.0
st_residents_returning,1997-09,270560.0
st_residents_returning,1997-10,324170.0
