as_of,what,target_quarter,w0_basis,w0,days_elapsed,days_in_quarter,elapsed_frac,fx_determined_share,volume_determined_share
2026-08-06,5 Aug letter / 6 Aug guide date for 3Q26,3Q26,lo_of_CS,0.147,36,92,0.3913,0.9105,1.0
2026-08-06,5 Aug letter / 6 Aug guide date for 3Q26,3Q26,point_estimate,0.5654,36,92,0.3913,0.6558,1.0
2026-08-06,5 Aug letter / 6 Aug guide date for 3Q26,3Q26,hi_of_CS,0.972,36,92,0.3913,0.4083,1.0
2026-08-06,5 Aug letter / 6 Aug guide date for 3Q26,3Q26,M6_lambda_0.75,0.75,36,92,0.3913,0.5435,1.0
2026-08-06,5 Aug letter / 6 Aug guide date for 3Q26,3Q26,architect_w0_zero,0.0,36,92,0.3913,1.0,1.0
2026-09-11,today (pitch build date),3Q26,lo_of_CS,0.147,72,92,0.7826,0.968,1.0
2026-09-11,today (pitch build date),3Q26,point_estimate,0.5654,72,92,0.7826,0.8771,1.0
2026-09-11,today (pitch build date),3Q26,hi_of_CS,0.972,72,92,0.7826,0.7887,1.0
2026-09-11,today (pitch build date),3Q26,M6_lambda_0.75,0.75,72,92,0.7826,0.837,1.0
2026-09-11,today (pitch build date),3Q26,architect_w0_zero,0.0,72,92,0.7826,1.0,1.0
2026-10-02,memo due / pitch date,4Q26,lo_of_CS,0.147,1,92,0.0109,0.8546,0.3333
2026-10-02,memo due / pitch date,4Q26,point_estimate,0.5654,1,92,0.0109,0.4407,0.3333
2026-10-02,memo due / pitch date,4Q26,hi_of_CS,0.972,1,92,0.0109,0.0386,0.3333
2026-10-02,memo due / pitch date,4Q26,M6_lambda_0.75,0.75,1,92,0.0109,0.2582,0.3333
2026-10-02,memo due / pitch date,4Q26,architect_w0_zero,0.0,1,92,0.0109,1.0,0.3333
2026-10-23,finals (NYC),4Q26,lo_of_CS,0.147,22,92,0.2391,0.8882,0.3333
2026-10-23,finals (NYC),4Q26,point_estimate,0.5654,22,92,0.2391,0.5698,0.3333
2026-10-23,finals (NYC),4Q26,hi_of_CS,0.972,22,92,0.2391,0.2604,0.3333
2026-10-23,finals (NYC),4Q26,M6_lambda_0.75,0.75,22,92,0.2391,0.4293,0.3333
2026-10-23,finals (NYC),4Q26,architect_w0_zero,0.0,22,92,0.2391,1.0,0.3333
2026-11-05,Q3 print + 4Q26 guide date,4Q26,lo_of_CS,0.147,35,92,0.3804,0.9089,1.0
2026-11-05,Q3 print + 4Q26 guide date,4Q26,point_estimate,0.5654,35,92,0.3804,0.6497,1.0
2026-11-05,Q3 print + 4Q26 guide date,4Q26,hi_of_CS,0.972,35,92,0.3804,0.3978,1.0
2026-11-05,Q3 print + 4Q26 guide date,4Q26,M6_lambda_0.75,0.75,35,92,0.3804,0.5353,1.0
2026-11-05,Q3 print + 4Q26 guide date,4Q26,architect_w0_zero,0.0,35,92,0.3804,1.0,1.0
2027-02-11,Q4 print + 1Q27 and FY27 guide (assumed date),1Q27,lo_of_CS,0.147,41,90,0.4556,0.92,1.0
2027-02-11,Q4 print + 1Q27 and FY27 guide (assumed date),1Q27,point_estimate,0.5654,41,90,0.4556,0.6922,1.0
2027-02-11,Q4 print + 1Q27 and FY27 guide (assumed date),1Q27,hi_of_CS,0.972,41,90,0.4556,0.4708,1.0
2027-02-11,Q4 print + 1Q27 and FY27 guide (assumed date),1Q27,M6_lambda_0.75,0.75,41,90,0.4556,0.5917,1.0
2027-02-11,Q4 print + 1Q27 and FY27 guide (assumed date),1Q27,architect_w0_zero,0.0,41,90,0.4556,1.0,1.0
