target,spec,n,coef,sigma,loglik,aic,in_sample_rmse,in_sample_interval_rmse,loo_rmse,loo_mae,loo_interval_rmse,se_of_rmse_approx,n_params
stated,H0_contemporaneous,14,[0.718],1.3039,-23.92,51.84,1.3361,0.9282,1.4682,1.2724,1.0582,0.2775,2
stated,H1_repo_eur_mean_t1_t2,14,"[0.2458, 0.269]",1.5001,-25.794,57.59,1.5272,1.186,1.7344,1.3593,1.3738,0.3278,3
stated,H2_phi_adrfx,14,[0.5849],1.6333,-26.945,57.89,1.6579,1.3293,1.7363,1.3125,1.3947,0.3281,2
stated,H2b_phi_basket,14,[0.653],1.4915,-25.714,55.43,1.5184,1.1866,1.5856,1.2027,1.2377,0.2997,2
stated,H3_free_weights,14,"[0.4471, 0.3639, 0.0302]",1.0273,-20.78,49.56,1.0676,0.69,1.3649,1.1343,0.9792,0.2579,4
stated,H3b_free_lags123,14,"[0.6672, 0.0, 0.0]",1.3125,-23.995,55.99,1.3428,1.0244,1.4203,1.0654,1.0939,0.2684,4
stated,H4_free_adrfx_lags012,14,"[0.4925, 0.3647, 0.0]",1.1948,-22.753,53.51,1.2291,0.8703,1.5151,1.1936,1.1589,0.2863,4
stated,BASE_naive_last_fx_pp,13,[],,,,2.1122,1.7596,2.1122,1.5385,1.7596,,0
stated,BASE_zero,14,[],,,,2.2678,1.9272,2.2678,1.5714,1.9272,,0
gross_ex_hedge,H0_contemporaneous,14,[0.8368],1.2142,-22.97,49.94,1.2484,0.8515,1.364,1.184,0.9623,0.2578,2
gross_ex_hedge,H1_repo_eur_mean_t1_t2,14,"[0.4481, 0.2982]",1.5258,-26.025,58.05,1.5526,1.2164,1.7561,1.3553,1.4016,0.3319,3
gross_ex_hedge,H2_phi_adrfx,14,[0.6612],1.7254,-27.692,59.38,1.7489,1.4063,1.8376,1.3875,1.4889,0.3473,2
gross_ex_hedge,H2b_phi_basket,14,[0.7207],1.6063,-26.721,57.44,1.6317,1.2622,1.7074,1.4009,1.3242,0.3227,2
gross_ex_hedge,H3_free_weights,14,"[0.538, 0.4135, 0.0]",0.8783,-18.777,45.55,0.9254,0.5599,1.1552,0.929,0.7878,0.2183,4
gross_ex_hedge,H3b_free_lags123,14,"[0.7515, 0.0, 0.0]",1.3418,-24.292,56.58,1.3717,1.0534,1.4275,1.0814,1.0974,0.2698,4
gross_ex_hedge,H4_free_adrfx_lags012,14,"[0.6018, 0.4002, 0.0]",1.0529,-21.091,50.18,1.0914,0.7411,1.3667,1.0552,1.0256,0.2583,4
gross_ex_hedge,BASE_naive_last_fx_pp,13,[],,,,2.1088,1.7476,2.1088,1.5854,1.7476,,0
gross_ex_hedge,BASE_zero,14,[],,,,2.4734,2.1141,2.4734,1.8093,2.1141,,0
