guide_date,target_quarter,spec,prior_basis,n_train,n_train_pit,coef,point,sigma,actual,b0_pit,b0_elapsed_frac,n_params,in_W1,in_W2
2022-08-02,3Q22,H0_contemporaneous,PIT,5,5,[1.2864],-6.9308,1.1376,-7.0,-5.3875,0.318,2,False,False
2022-08-02,3Q22,H1_repo_eur_mean_t1_t2,PIT,5,5,"[-2.8783, 0.6128]",-8.5598,0.6379,-7.0,-5.3875,0.318,3,False,False
2022-08-02,3Q22,H2b_phi_basket,PIT,5,5,[0.7289],-2.5697,3.0937,-7.0,-5.3875,0.318,2,False,False
2022-08-02,3Q22,H3_free_weights,PIT,5,5,"[1.1421, 0.2323, 0.0]",-7.1274,1.0138,-7.0,-5.3875,0.318,4,False,False
2022-08-02,3Q22,H3b_free_lags123,PIT,5,5,"[0.8895, 0.0, 0.0]",-3.7306,2.6497,-7.0,-5.3875,0.318,4,False,False
2022-11-01,4Q22,H0_contemporaneous,PIT,6,6,[1.2545],-7.2136,1.0377,-7.0,-5.75,0.308,2,False,False
2022-11-01,4Q22,H1_repo_eur_mean_t1_t2,PIT,6,6,"[-2.5743, 0.5551]",-9.8567,0.7123,-7.0,-5.75,0.308,3,False,False
2022-11-01,4Q22,H2b_phi_basket,PIT,6,6,[1.0699],-5.5883,3.2164,-7.0,-5.75,0.308,2,False,False
2022-11-01,4Q22,H3_free_weights,PIT,6,6,"[1.1027, 0.2254, 0.0]",-7.6337,0.9307,-7.0,-5.75,0.308,4,False,False
2022-11-01,4Q22,H3b_free_lags123,PIT,6,6,"[1.1339, 0.0, 0.0]",-6.5059,2.657,-7.0,-5.75,0.308,4,False,False
2023-02-14,1Q23,H0_contemporaneous,PIT,7,7,[1.3311],-2.9385,1.0848,-4.0,-2.2076,0.446,2,True,False
2023-02-14,1Q23,H1_repo_eur_mean_t1_t2,PIT,7,7,"[-2.2623, 0.4771]",-8.2824,1.0227,-4.0,-2.2076,0.446,3,True,False
2023-02-14,1Q23,H2b_phi_basket,PIT,7,7,[1.1708],-5.636,3.0056,-4.0,-2.2076,0.446,2,True,False
2023-02-14,1Q23,H3_free_weights,PIT,7,7,"[1.0954, 0.2897, 0.0]",-3.6789,0.8969,-4.0,-2.2076,0.446,4,True,False
2023-02-14,1Q23,H3b_free_lags123,PIT,7,7,"[1.1657, 0.0, 0.0]",-5.0729,2.462,-4.0,-2.2076,0.446,4,True,False
2023-05-09,2Q23,H0_contemporaneous,PIT,8,8,[1.3561],1.0338,1.0713,-1.0,0.7623,0.4,2,True,False
2023-05-09,2Q23,H1_repo_eur_mean_t1_t2,PIT,8,8,"[-1.9346, 0.3993]",-4.9273,1.5811,-1.0,0.7623,0.4,3,True,False
2023-05-09,2Q23,H2b_phi_basket,PIT,8,8,[1.089],-3.1931,2.8545,-1.0,0.7623,0.4,2,True,False
2023-05-09,2Q23,H3_free_weights,PIT,8,8,"[1.0853, 0.3095, 0.0]",0.1395,0.8386,-1.0,0.7623,0.4,4,True,False
2023-05-09,2Q23,H3b_free_lags123,PIT,8,8,"[1.1225, 0.0, 0.0]",-2.4946,2.3263,-1.0,0.7623,0.4,4,True,False
2023-08-03,3Q23,H0_contemporaneous,PIT,9,9,[1.3495],5.7739,1.1281,4.0,4.2785,0.338,2,True,False
2023-08-03,3Q23,H1_repo_eur_mean_t1_t2,PIT,9,9,"[-1.5933, 0.3696]",-1.9736,1.9186,4.0,4.2785,0.338,3,True,False
2023-08-03,3Q23,H2b_phi_basket,PIT,9,9,[1.0277],-0.4892,2.7792,4.0,4.2785,0.338,2,True,False
2023-08-03,3Q23,H3_free_weights,PIT,9,9,"[1.0447, 0.3529, 0.0]",4.6099,0.8167,4.0,4.2785,0.338,4,True,False
2023-08-03,3Q23,H3b_free_lags123,PIT,9,9,"[1.0931, 0.0, 0.0]",0.4342,2.2446,4.0,4.2785,0.338,4,True,False
2023-11-01,4Q23,H0_contemporaneous,PIT,10,10,[1.3272],1.5805,1.0849,3.0,1.1909,0.323,2,True,False
2023-11-01,4Q23,H1_repo_eur_mean_t1_t2,PIT,10,10,"[-0.9349, 0.3901]",1.0954,2.5481,3.0,1.1909,0.323,3,True,False
