gbv_3Q26_musd,gbv_basis,kernel_base_3Q26_musd,kernel_base_4Q26_musd,kernel_base_yoy_3Q26_pct,kernel_base_yoy_4Q26_pct,gbv_base_growth_step_pp,fx_reading,fx_step_pp,exfx_acceleration_pp
26185.0,frozen card 20_frozen_q3_2026,27867.0,26523.0,16.9,14.8,-2.1,A_disclosed_ADR_FX_through_Phi,-1.9,-0.2
26185.0,frozen card 20_frozen_q3_2026,27867.0,26523.0,16.9,14.8,-2.1,B_basket_x_0.56_through_Phi,-1.3,-0.8
26185.0,frozen card 20_frozen_q3_2026,27867.0,26523.0,16.9,14.8,-2.1,C_objectA_weights_applied_to_basket,-0.5,-1.6
26300.0,architect central,27867.0,26600.0,16.9,15.2,-1.8,A_disclosed_ADR_FX_through_Phi,-1.9,0.1
26300.0,architect central,27867.0,26600.0,16.9,15.2,-1.8,B_basket_x_0.56_through_Phi,-1.3,-0.5
26300.0,architect central,27867.0,26600.0,16.9,15.2,-1.8,C_objectA_weights_applied_to_basket,-0.5,-1.3
25800.0,low,27867.0,26267.0,16.9,13.7,-3.2,A_disclosed_ADR_FX_through_Phi,-1.9,-1.3
25800.0,low,27867.0,26267.0,16.9,13.7,-3.2,B_basket_x_0.56_through_Phi,-1.3,-1.9
25800.0,low,27867.0,26267.0,16.9,13.7,-3.2,C_objectA_weights_applied_to_basket,-0.5,-2.7
26800.0,high,27867.0,26933.0,16.9,16.6,-0.3,A_disclosed_ADR_FX_through_Phi,-1.9,1.6
26800.0,high,27867.0,26933.0,16.9,16.6,-0.3,B_basket_x_0.56_through_Phi,-1.3,1.0
26800.0,high,27867.0,26933.0,16.9,16.6,-0.3,C_objectA_weights_applied_to_basket,-0.5,0.2
