target,param,n_rep,mean,p2.5,p50,p97.5
gross_fx_ex_hedge_pp,a0,400,0.6292,0.3171,0.6172,1.0086
gross_fx_ex_hedge_pp,a1,400,0.2374,0.0,0.2163,0.5226
gross_fx_ex_hedge_pp,a2,400,0.021,0.0,0.0,0.1497
gross_fx_ex_hedge_pp,scale,400,0.8875,0.558,0.8956,1.252
gross_fx_ex_hedge_pp,eff_lag_q,400,0.3093,0.0,0.2961,0.6626
stated_revenue_fx_pp,a0,400,0.5528,0.1802,0.517,1.0208
stated_revenue_fx_pp,a1,400,0.1881,0.0,0.1718,0.4875
stated_revenue_fx_pp,a2,400,0.0673,0.0,0.0122,0.272
stated_revenue_fx_pp,scale,400,0.8081,0.4654,0.7807,1.2432
stated_revenue_fx_pp,eff_lag_q,400,0.4116,0.0,0.3867,0.8973
