sample,wedge,convention,n,slope,se,t,p,r,iv_slope,iv_sigma,interval_half_width_pp,abs_t_under_2
n12_3Q23_2Q26,remeas_wedge,lam_season_demeaned ~ wedge_season_demeaned,12,0.0297,0.028,1.0619,0.3132,0.3183,,,,True
n12_3Q23_2Q26,remeas_wedge,lam_season_demeaned ~ wedge_raw,12,0.024,0.0254,0.9428,0.368,0.2857,,,,True
n12_3Q23_2Q26,remeas_wedge,lam_raw ~ wedge_season_demeaned,12,0.0297,0.3161,0.0941,0.9269,0.0297,,,,True
n12_3Q23_2Q26,remeas_wedge,lam_raw ~ wedge_raw,12,0.3378,0.263,1.2846,0.2279,0.3764,,,,True
n12_3Q23_2Q26,remeas_wedge,HEADLINE lam_season_demeaned ~ wedge_season_demeaned,12,0.0297,0.028,1.0619,0.3132,0.3183,0.0297,0.1782,0.0334,True
n12_3Q23_2Q26,remeas_wedge_adr,lam_season_demeaned ~ wedge_season_demeaned,12,0.0303,0.0302,1.0021,0.3399,0.3021,,,,True
n12_3Q23_2Q26,remeas_wedge_adr,lam_season_demeaned ~ wedge_raw,12,0.0242,0.0273,0.8861,0.3964,0.2698,,,,True
n12_3Q23_2Q26,remeas_wedge_adr,lam_raw ~ wedge_season_demeaned,12,0.0303,0.339,0.0893,0.9306,0.0282,,,,True
n12_3Q23_2Q26,remeas_wedge_adr,lam_raw ~ wedge_raw,12,0.3885,0.2769,1.403,0.1909,0.4056,,,,True
n12_3Q23_2Q26,remeas_wedge_adr,HEADLINE lam_season_demeaned ~ wedge_season_demeaned,12,0.0303,0.0302,1.0021,0.3399,0.3021,0.0303,0.1792,0.0334,True
n14_1Q23_2Q26,remeas_wedge,lam_season_demeaned ~ wedge_season_demeaned,14,0.0273,0.0222,1.2294,0.2425,0.3345,,,,True
n14_1Q23_2Q26,remeas_wedge,lam_season_demeaned ~ wedge_raw,14,0.0251,0.0214,1.1731,0.2635,0.3207,,,,True
n14_1Q23_2Q26,remeas_wedge,lam_raw ~ wedge_season_demeaned,14,0.0273,0.2502,0.1091,0.915,0.0315,,,,True
n14_1Q23_2Q26,remeas_wedge,lam_raw ~ wedge_raw,14,0.2486,0.229,1.0854,0.2991,0.299,,,,True
n14_1Q23_2Q26,remeas_wedge,HEADLINE lam_season_demeaned ~ wedge_season_demeaned,14,0.0273,0.0222,1.2294,0.2425,0.3345,0.0273,0.1668,0.0346,True
n14_1Q23_2Q26,remeas_wedge_adr,lam_season_demeaned ~ wedge_season_demeaned,14,0.0279,0.0233,1.1957,0.2549,0.3263,,,,True
n14_1Q23_2Q26,remeas_wedge_adr,lam_season_demeaned ~ wedge_raw,14,0.0254,0.0224,1.1361,0.2781,0.3116,,,,True
n14_1Q23_2Q26,remeas_wedge_adr,lam_raw ~ wedge_season_demeaned,14,0.0279,0.2618,0.1064,0.917,0.0307,,,,True
n14_1Q23_2Q26,remeas_wedge_adr,lam_raw ~ wedge_raw,14,0.2637,0.2384,1.1065,0.2902,0.3043,,,,True
n14_1Q23_2Q26,remeas_wedge_adr,HEADLINE lam_season_demeaned ~ wedge_season_demeaned,14,0.0279,0.0233,1.1957,0.2549,0.3263,0.0279,0.1673,0.0346,True
