quarter,metric,value,units,published_at,timestamp_precision,publication_display,source_reference,source_sha256,retrieved_at,source_row,column_selection,evidence_status
2015Q1,passenger_ticket_revenue_usd_m,670.483,USD million,2015-05-07T07:00:00-04:00,issuer_clock_timezone,"May 07, 2015 7:00am EDT",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results,4cb1a7e8048c5548de29f0d3e51ad7a3e857d04860dbd8c9b74eb2224575387d,2026-09-13T23:04:38.539226+00:00,"Passenger ticket | $ 670,483 | $ 448,580",first numeric value in current-quarter row,original_quarter_issuer_release_retrieved_2026
2015Q1,onboard_other_revenue_usd_m,267.699,USD million,2015-05-07T07:00:00-04:00,issuer_clock_timezone,"May 07, 2015 7:00am EDT",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results,4cb1a7e8048c5548de29f0d3e51ad7a3e857d04860dbd8c9b74eb2224575387d,2026-09-13T23:04:38.539226+00:00,"Onboard and other | 267,699 | 215,448",first numeric value in current-quarter row,original_quarter_issuer_release_retrieved_2026
2015Q1,total_revenue_usd_m,938.182,USD million,2015-05-07T07:00:00-04:00,issuer_clock_timezone,"May 07, 2015 7:00am EDT",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results,4cb1a7e8048c5548de29f0d3e51ad7a3e857d04860dbd8c9b74eb2224575387d,2026-09-13T23:04:38.539226+00:00,"Total revenue | 938,182 | 664,028",first numeric value in current-quarter row,original_quarter_issuer_release_retrieved_2026
2015Q1,advance_ticket_sales_current_usd_m,1056.625,USD million,2015-05-07T07:00:00-04:00,issuer_clock_timezone,"May 07, 2015 7:00am EDT",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results,4cb1a7e8048c5548de29f0d3e51ad7a3e857d04860dbd8c9b74eb2224575387d,2026-09-13T23:04:38.539226+00:00,"Advance ticket sales | 1,056,625 | 817,207",first numeric value in current-quarter row,original_quarter_issuer_release_retrieved_2026
2015Q1,capacity_days,3556468.0,days,2015-05-07T07:00:00-04:00,issuer_clock_timezone,"May 07, 2015 7:00am EDT",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results,4cb1a7e8048c5548de29f0d3e51ad7a3e857d04860dbd8c9b74eb2224575387d,2026-09-13T23:04:38.539226+00:00,"Capacity Days | 3,556,468 | 2,895,984",first numeric value in current-quarter row,original_quarter_issuer_release_retrieved_2026
2015Q1,occupancy_pct,106.0,percent,2015-05-07T07:00:00-04:00,issuer_clock_timezone,"May 07, 2015 7:00am EDT",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results,4cb1a7e8048c5548de29f0d3e51ad7a3e857d04860dbd8c9b74eb2224575387d,2026-09-13T23:04:38.539226+00:00,Occupancy Percentage | 106.0% | 106.2%,first numeric value in current-quarter row,original_quarter_issuer_release_retrieved_2026
2015Q1,net_yield_usd_per_capacity_day,198.99,USD per capacity day,2015-05-07T07:00:00-04:00,issuer_clock_timezone,"May 07, 2015 7:00am EDT",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results,4cb1a7e8048c5548de29f0d3e51ad7a3e857d04860dbd8c9b74eb2224575387d,2026-09-13T23:04:38.539226+00:00,Net Yield | $ 198.99 | $ 200.75 | $ 172.41,first numeric value in current-quarter row,original_quarter_issuer_release_retrieved_2026
2015Q2,passenger_ticket_revenue_usd_m,787.991,USD million,2015-08-04T07:00:00-04:00,issuer_clock_timezone,"August 04, 2015 7:00am EDT",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results,16b4c380e0651771c56e21bea925507143eb01e7cd02f4fe8b409fc72bb56229,2026-09-13T23:04:39.113714+00:00,"Passenger ticket | $ 787,991 | $ 528,782 | $ 1,458,474 | $ 977,362",first numeric value in current-quarter row,original_quarter_issuer_release_retrieved_2026
2015Q2,onboard_other_revenue_usd_m,297.442,USD million,2015-08-04T07:00:00-04:00,issuer_clock_timezone,"August 04, 2015 7:00am EDT",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results,16b4c380e0651771c56e21bea925507143eb01e7cd02f4fe8b409fc72bb56229,2026-09-13T23:04:39.113714+00:00,"Onboard and other | 297,442 | 237,145 | 565,141 | 452,593",first numeric value in current-quarter row,original_quarter_issuer_release_retrieved_2026
2015Q2,total_revenue_usd_m,1085.433,USD million,2015-08-04T07:00:00-04:00,issuer_clock_timezone,"August 04, 2015 7:00am EDT",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results,16b4c380e0651771c56e21bea925507143eb01e7cd02f4fe8b409fc72bb56229,2026-09-13T23:04:39.113714+00:00,"Total revenue | 1,085,433 | 765,927 | 2,023,615 | 1,429,955",first numeric value in current-quarter row,original_quarter_issuer_release_retrieved_2026
2015Q2,advance_ticket_sales_current_usd_m,1213.199,USD million,2015-08-04T07:00:00-04:00,issuer_clock_timezone,"August 04, 2015 7:00am EDT",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results,16b4c380e0651771c56e21bea925507143eb01e7cd02f4fe8b409fc72bb56229,2026-09-13T23:04:39.113714+00:00,"Advance ticket sales | 1,213,199 | 817,207",first numeric value in current-quarter row,original_quarter_issuer_release_retrieved_2026
2015Q2,capacity_days,3634143.0,days,2015-08-04T07:00:00-04:00,issuer_clock_timezone,"August 04, 2015 7:00am EDT",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results,16b4c380e0651771c56e21bea925507143eb01e7cd02f4fe8b409fc72bb56229,2026-09-13T23:04:39.113714+00:00,"Capacity Days | 3,634,143 | 3,074,415 | 7,190,611 | 5,970,399",first numeric value in current-quarter row,original_quarter_issuer_release_retrieved_2026
