source_id,terms_url,terms_status,robots_url,robots_status,licence_or_use_evidence,automation_decision,redistribution_decision,credential_status,reviewed_at_utc,failure_reason,citations
SCW-001,https://data.austintexas.gov/stories/s/City-of-Austin-Open-Data-Terms-of-Use/ranj-cccq/,allowed,https://data.austintexas.gov/robots.txt,unclear,"Official terms: data free and without restriction/public domain unless noted; attribution and no re-identification.",blocked,potentially_allowed,none,2026-09-03T06:33:17Z,"Robots allowance for exact story/API paths unverified.","https://data.austintexas.gov/stories/s/City-of-Austin-Open-Data-Terms-of-Use/ranj-cccq/"
SCW-002,https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,unclear,https://data.nola.gov/robots.txt,unclear,"Official portal describes bulk download and API connections but dataset licence field is blank in indexed metadata.",blocked,unclear,none,2026-09-03T06:33:17Z,"No affirmative automation terms and robots evidence.","https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/ | https://catalog-old.data.gov/dataset/short-term-rental-permit-applications"
SCW-003,https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,unclear,https://data.nola.gov/robots.txt,unclear,"Official portal offers SODA/OData/exports; exact automation licence not established.",blocked,unclear,none,2026-09-03T06:33:17Z,"No affirmative automation terms and robots evidence.","https://data.nola.gov/Housing-Land-Use-and-Blight/Adjudication-Enforcement-Detailed-Hearings-Data-fo/uzyk-jrck"
SCW-004,https://vancouver.ca/your-government/terms-of-use.aspx,allowed,https://opendata.vancouver.ca/robots.txt,unclear,"Official Open Government Licence–Vancouver applies to Open Data; indexed API page documents queries.",blocked,allowed_with_attribution,none,2026-09-03T06:33:17Z,"Exact API path not proven allowed by robots.","https://vancouver.ca/your-government/terms-of-use.aspx | https://opendata.vancouver.ca/explore/dataset/business-licences/api/"
SCW-005,https://www.nyc.gov/home/terms-of-use.page,unclear,https://www.nyc.gov/robots.txt,unclear,"Law mandates public data and official page provides dated downloads; no automation permission established.",blocked,unclear,none,2026-09-03T06:33:17Z,"Terms and robots do not affirm exact automated paths.","https://www.nyc.gov/site/specialenforcement/registration-law/registration-and-listing-data.page | https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=584F2A6A-6793-480E-A315-F0C8BDA98092&ID=4950986"
SCW-006,,unclear,https://www.occompt.com/robots.txt,unclear,"Official PDFs and XLSX links are public, but no exact licence/terms page was located.",blocked,unclear,none,2026-09-03T06:33:17Z,"Missing affirmative terms and robots evidence.","https://www.occompt.com/quicklinks.aspx?CID=39"
SCW-007,https://ets.hawaii.gov/soh-terms-of-use/,prohibited,https://tax.hawaii.gov/robots.txt,unclear,"State terms explicitly prohibit automated means and commercial use without separate written agreement.",blocked,prohibited_for_commercial_use,none,2026-09-03T06:33:17Z,"Explicit automation and commercial-use prohibition.","https://ets.hawaii.gov/soh-terms-of-use/"
SCW-008,https://data.sandiego.gov/help/guides/terms/,allowed,https://data.sandiego.gov/robots.txt,unclear,"Official FAQ says no limits on usage or redistribution; open-data policy allows lawful/commercial applications.",blocked,allowed,none,2026-09-03T06:33:17Z,"Robots allowance for dataset/CSV path unverified.","https://data.sandiego.gov/help/guides/faq/ | https://data.sandiego.gov/help/guides/terms/ | https://www.sandiego.gov/sites/default/files/open-data-policy.pdf"
SCW-009,,unclear,https://www.recreation.gov/robots.txt,unclear,"Official RIDB API documents metadata but not reservation availability; observed availability route is undocumented.",blocked,unclear,none,2026-09-03T06:33:17Z,"No exact Terms of Service evidence affirming automated availability collection; robots unresolved.","https://ridb.recreation.gov/docs | https://www.recreation.gov/site-map"
SCW-010,https://www.nyc.gov/home/terms-of-use.page,unclear,https://www.nyc.gov/robots.txt,unclear,"Official OSE page says annual reports are available for public and research use; automation permission unresolved.",blocked,public_research_use_stated,none,2026-09-03T06:33:17Z,"Terms and robots do not affirm exact automated report paths.","https://www.nyc.gov/site/specialenforcement/about/data-reports.page"
