rank,source_id,dataset,provider,economic_mechanism,predicted_direction,potential_abnb_target,why_underused,measure_type,geographic_coverage,plausible_abnb_materiality,unit,granularity,frequency,history,publication_schedule_and_lag,earliest_verifiable_public_availability,record_behavior,real_vintage_support,access_method,exact_source_url,terms_url,robots_url,license,collection_and_redistribution_restrictions,credential_requirement,required_environment_variables,free_tier_and_cost,methodology_outage_survivorship_risks,point_in_time_leakage_risk,leakage_mitigation,historical_cutoff_coverage,smallest_lawful_validation_sample,status,citations,primary_feature_formula_if_selected,sensitivity_formula_if_selected,biggest_failure_reason,collection_timestamp_utc
1,SCW-005,"Short-Term Rental Registration annual reports and dated registration datasets","NYC Mayor's Office of Special Enforcement","Registrations granted less refusals/revocations measure legally executable host supply under Local Law 18.","More active registrations/net approvals should raise legal supply and potential nights; more revocations/refusals should lower it.","nights booked; revenue; geographic mix; next-quarter guidance","Registration determinations and processing friction are hard to normalize and arrive outside standard hotel/airline datasets.",supply,"New York City; annual council-district aggregates and registration-level snapshots","NYC is a major global destination, though Local Law 18 sharply changed the addressable STR market.","registration/application/renewal or annual aggregate count","registration record and fiscal-year council district",annual_reports_plus_irregular_snapshots,"FY23 onward; registration regime opened March 2023; dated snapshot verified Jan. 7 2026","Annual report due around Sep. 1 for year ended June 30; dated snapshot publication schedule appears irregular.",2023-09-15,"Annual append-only reports; downloaded registration files are dated snapshots.",yes,"Official report PDFs and dated downloadable datasets; aggregate before retention.",https://www.nyc.gov/site/specialenforcement/registration-law/registration-and-listing-data.page,https://www.nyc.gov/home/terms-of-use.page,https://www.nyc.gov/robots.txt,"Public government records; exact automation licence not established","No direct request until terms and robots affirm intended paths; do not retain address/unit/listing URL or host information; retain borough/council-district aggregates only.",none,,free,"Major policy regime break in Sep. 2023; short history; status definitions and renewal wave change in Oct. 2026.","Current status snapshots can overwrite historical states; treating 2026 file as 2023 supply would leak.","Use only a dated snapshot/report actually published before cutoff; never infer pre-regime observations; keep annual and snapshot series separate.","Approximately 11 of 23 guidance events have post-regime context; high-frequency snapshots only verified in 2026.","After permission resolution: one annual report plus one dated snapshot; retain only aggregate counts and release metadata.",pending_permission,"https://www.nyc.gov/site/specialenforcement/registration-law/registration-and-listing-data.page | https://www.nyc.gov/site/specialenforcement/about/data-reports.page | https://www.nyc.gov/site/specialenforcement/registration-law/enforcement.page | https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=584F2A6A-6793-480E-A315-F0C8BDA98092&ID=4950986","For latest two annual reports r and r-1 both released strictly before cutoff: active_supply_growth = active_registrations_r / active_registrations_(r-1) - 1.","net_approval_pressure = (registrations_granted + renewals_granted - refused - revoked) / (applications + renewals), latest report strictly before cutoff.","The regime is too new and NYC's legal home-share segment may be too small to explain consolidated ABNB.",2026-09-03T06:33:17Z
2,SCW-006,"Tourist Development Tax monthly collections","Orange County Comptroller, Florida","Tax remittances capture realized paid transient-lodging receipts in Orlando before many conventional annual statistics.","Higher year-on-year TDT receipts imply stronger realized destination lodging demand and potentially higher ABNB revenue/nights.","quarterly revenue; nights booked; U.S. leisure demand; guidance direction","Release-specific county tax receipts are scattered across dated PDFs and require vintage-safe parsing; often omitted from national tourism models.",realized_travel_and_price,"Orange County/Orlando, Florida","Orlando is a very large leisure destination with meaningful STR and theme-park demand, but one county cannot represent consolidated ABNB.","USD TDT collections per collection month","county-month",monthly,"Official indexed PDFs verified from at least Apr. 2019 through Oct. 2025/2026 reporting cycle","Typically roughly 1-2 months after collection month; many PDFs include exact FOR RELEASE ON time.",2019-04,"Separate release PDFs; some later reports contain historical comparisons but the original files remain available.",yes,"Official monthly PDF archive/quick links and fiscal-year XLSX remittance files.",https://www.occompt.com/quicklinks.aspx?CID=39,,https://www.occompt.com/robots.txt,"Public official reports; exact site licence/automation terms not located","No automated request until exact terms and robots allow; cache original PDFs; redistribution terms unresolved.",none,,free,"Tax rate/budget changes; late or amended remittances; platform tax-collection policy; hotel-heavy mix; hurricanes/theme-park closures; collection-month versus booking-month lag.","Using a later cumulative table or current workbook could silently include revisions; using collection month before release leaks.","Use the original report release timestamp, not file metadata; latest release must be strictly before cutoff; prefer monthly actual, not cumulative restatement.","Likely 23/23 events have at least one prior monthly release; exact event-level audit remains required.","After permission resolution: quick-links index plus one monthly PDF with explicit release timestamp; cache and checksum both.",pending_permission,"https://www.occompt.com/quicklinks.aspx?CID=39 | https://www.occompt.com/DocumentCenter/View/19761/2019-04-April-TDT_Collection-PDF | https://www.occompt.com/DocumentCenter/View/19745/2020-05-May-TDT_Collection-PDF | https://www.occompt.com/DocumentCenter/View/19735/2021-12-December-TDT_Collection-PDF","For latest collection month m whose original report was released strictly before cutoff: tdt_yoy = ln(TDT_m) - ln(TDT_(m-12)).","tdt_yoy_3m = ln(sum(TDT_(m-2:m))) - ln(sum(TDT_(m-14:m-12))), using only released original monthly values.","TDT is a lagging all-lodging/price signal dominated by hotels and theme parks rather than an early Airbnb-specific signal.",2026-09-03T06:33:17Z
3,SCW-004,"Business licences filtered to Short-term Rental Operator","City of Vancouver Open Data Portal","Licence issuance, expiry and non-renewal measure legal active host supply and regulatory attrition.","Faster net issuance or renewal survival should increase legal supply/nights; expiry attrition should reduce them.","active host supply; nights booked; geographic mix; revenue","Annual folder years, licence revisions and local-area detail are operational records that require careful event reconstruction and privacy aggregation.",supply,"Vancouver, British Columbia; local area","Major international urban destination, but one Canadian city is a limited share of ABNB.","licence record","licence-local-area-year with issue/expiry timestamps",continuous_extract_with_annual_folderyear,"Folder years visible at least 2024-2025; full API may contain additional years but was not requested.","Current extract refreshed periodically; exact lag from licence system to portal unverified.",unverified,"Current extract contains historical event dates and licence revision numbers but extractdate is 2026.",partial,"OpenDataSoft Explore API filter on businesstype; no-key.",https://opendata.vancouver.ca/explore/dataset/business-licences/api/,https://vancouver.ca/your-government/terms-of-use.aspx,https://opendata.vancouver.ca/robots.txt,"Open Government Licence – Vancouver","Terms permit Open Data use; exact robots allowance for API path is unresolved; collect only licence type/status/dates/local area and exclude names/addresses.",none,,free,"Annual licence-type taxonomy changes; business-type consolidation; revisions; current extract survivorship; non-renewal may reflect data cleanup.","A 2026 extract can revise or omit licences that existed at historical cutoffs.","Require archived extracts or provider confirmation that issue/expiry events are append-only; otherwise prospective snapshots only.","0/23 verified from current extract; event dates span the cohort in principle.","After robots resolution: one API call limit=2 filtered to Short-term Rental Operator, excluding personal/address fields.",pending_permission,"https://opendata.vancouver.ca/explore/dataset/business-licences/api/ | https://vancouver.ca/your-government/terms-of-use.aspx | https://council.vancouver.ca/20230510/documents/cfsc3_000.pdf",,,"Historical status survivorship cannot be ruled out from the present extract.",2026-09-03T06:33:17Z
4,SCW-010,"Annual Reports of Short-Term Rental Enforcement","NYC Mayor's Office of Special Enforcement","Complaints, inspections, summonses and violations measure regulatory friction and forced supply withdrawal.","Higher enforcement intensity should reduce illegal active supply and potential nights, conditional on reporting and policy changes.","nights booked; revenue; active supply; geographic mix","Municipal enforcement intensity is policy-specific, annual, and rarely standardized in travel-demand models.",supply_withdrawal_and_regulatory_friction,"New York City; borough/city aggregates", "NYC is globally important but its post-2023 legal market is unusually constrained.","annual complaint/inspection/summons/violation count","city or borough-year",annual,"Official page lists annual enforcement reports 2016-2024; FY26 release announced separately.","Annual; exact publication date varies and must be verified per report.",2016,"Separate annual report PDFs retained by the agency.",yes,"Official annual report PDF downloads.",https://www.nyc.gov/site/specialenforcement/about/data-reports.page,https://www.nyc.gov/home/terms-of-use.page,https://www.nyc.gov/robots.txt,"Official page states materials are available for public and research use; automation terms unresolved","No direct automated request until terms and robots resolve; aggregate only; no respondent or address data.",none,,free,"Enforcement priorities, complaint channels, staffing and Local Law 18 create structural breaks; annual frequency.","Later reports may restate earlier totals; report-year values are not available until publication.","Use the first published annual report strictly before cutoff; preserve report version; do not backdate report-year totals.","All 23 events have some previously published annual enforcement context in principle; exact release calendar audit required.","After permission resolution: report index plus one annual report PDF; cache and checksum.",pending_permission,"https://www.nyc.gov/site/specialenforcement/about/data-reports.page | https://www.nyc.gov/site/specialenforcement/news/new-yorkers-registered-to-host-surpassed-3500-for-first-time.page","For latest two annual reports y and y-1 released strictly before cutoff: enforcement_intensity_yoy = ln(1 + STR_summonses_y) - ln(1 + STR_summonses_(y-1)).","complaint_conversion = STR_summonses_y / STR_complaints_y, latest report strictly before cutoff.","Annual policy-driven counts may measure enforcement effort rather than economically material supply removal.",2026-09-03T06:33:17Z
5,SCW-007,"Transient Accommodation Tax Liability by District monthly reports","State of Hawaiʻi Department of Taxation","Reported TAT liability and tax base capture realized lodging receipts by island district.","Higher year-on-year district TAT base implies stronger realized lodging demand and ABNB revenue/nights in Hawaiʻi.","revenue; nights booked; U.S. leisure geographic mix","District-level tax-liability vintages are unusually granular and archived back decades, but licensing restrictions dominate usability.",realized_travel_and_price,"Oʻahu, Maui, Hawaiʻi, Kauaʻi districts","Hawaiʻi is a high-ADR leisure market but still a small share of consolidated ABNB.","USD tax liability and taxable accommodation base","district-month",monthly,"Official archive lists 1997-2025 and current 2026 releases.","Monthly report date printed in PDF, generally several months after filing period; named revisions are shown on archive.",1997,"Separate monthly PDFs/XLSX with revision labels.",yes,"Official archive and individual report PDFs/XLSX.",https://tax.hawaii.gov/stats/a5_3txcolrptarchive/,https://ets.hawaii.gov/soh-terms-of-use/,https://tax.hawaii.gov/robots.txt,"State website terms","Terms prohibit automated means and commercial use absent separate written agreement; do not collect under this run.",none,,free_monetary_but_legally_unusable,"Tax-law/rate changes; filing-frequency mix; timeshare separation; disasters; named revisions.","Timing is excellent but unusable rights cannot be cured by public visibility.","Reject automation/commercial use unless separate written State permission is obtained; do not substitute search-index values for dataset collection.","23/23 events have historical releases in principle, but 0 eligible under current rights.","None; terms gate fails.",rejected,"https://tax.hawaii.gov/stats/a5_3txcolrptarchive/ | https://tax.hawaii.gov/stats/a5_3txcolrpt/ | https://files.hawaii.gov/tax/stats/monthly/202508liab-by-d_tat.pdf | https://ets.hawaii.gov/soh-terms-of-use/",,,"Explicit automation and commercial-use prohibitions make the otherwise excellent archive unusable.",2026-09-03T06:33:17Z
6,SCW-002,"Short-Term Rental Permit Applications","City of New Orleans Department of Safety and Permits","Applications, approvals, expirations and denials map the legal STR supply pipeline.","Rising net issuance and renewal survival should increase active supply/nights; denials and expirations should reduce them.","active supply; nights booked; revenue; U.S. geographic mix","Application workflow events are city operational exhaust and require de-duplication of reapplications and conservative availability rules.",supply,"New Orleans, Louisiana","A material event/leisure market, but small relative to consolidated ABNB and highly seasonal.","permit application","permit-event date; aggregate to quarter/city",near_daily_current_portal,"Applications shown from May 2017 onward.","Current portal refreshed frequently; exact event-to-publication lag unverified.",2017-05-04,"Application/issue/expiration dates plus overwritten current status; no changelog archive.",partial,"Socrata SODA API view en36-xvxg and CSV export.",https://data.nola.gov/Housing-Land-Use-and-Blight/Map-of-Short-Term-Rental-License-Applications/j5u3-2ueh,https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,https://data.nola.gov/robots.txt,"Portal marks public access; exact dataset licence/automation terms unresolved","No direct request until terms and robots allow; exclude owner/operator/contact/address fields; aggregate by quarter and permit type.",none,,free,"Duplicate/re-filed applications, policy changes in 2023, corrected permit types, overwritten status, missing expiry/issue dates.","Current statuses and disappeared rows can create survivorship; event dates do not prove public availability on those dates.","Use application/issue dates only after prompt publication or archived snapshots are proven; never reconstruct historical active stock from current status.","Event dates cover 23/23 in principle; 0/23 publication timing verified.","After permission resolution: one two-row SODA projection containing only permit type/status and event dates.",pending_permission,"https://data.nola.gov/Housing-Land-Use-and-Blight/Map-of-Short-Term-Rental-License-Applications/j5u3-2ueh | https://data.nola.gov/w/en36-xvxg/szxj-vdyi | https://data.nola.gov/stories/s/Examining-Short-Term-Rentals-in-New-Orleans/6kd7-6nca/",,,"A present extract may not preserve the historical state or prove when each event was public.",2026-09-03T06:33:17Z
7,SCW-001,"Active Short-Term Rentals and Active STR Count by Date","City of Austin","Daily active licence counts could measure legal supply and renewal attrition.","Higher active counts should increase supply capacity and potential nights; declines should constrain them.","active supply; nights booked; U.S. geographic mix","A municipal daily licence stock is closer to usable supply than annual tourism statistics and difficult to standardize.",supply,"Austin, Texas","Large U.S. event/business-leisure market but limited consolidated share.","active licence count and licence record","city/day and council-district current rows",daily_claimed,"Unknown; official story exposes a chart labelled Active STR Count by Date.","Official story says current data update daily; historical chart source lag unknown.",unverified,"Current rows are snapshot; historical chart's underlying query may be broken/deleted.",no,"Official Socrata story and unidentified underlying SODA view.",https://data.austintexas.gov/stories/s/Active-Short-Term-Rentals/majh-96w2/,https://data.austintexas.gov/stories/s/City-of-Austin-Open-Data-Terms-of-Use/ranj-cccq/,https://data.austintexas.gov/robots.txt,"Public domain unless otherwise noted; attribution and no re-identification","Robots unresolved; do not collect address-level records; underlying historical dataset ID unresolved.",none,,free,"Broken/deleted query, licensing-rule changes, renewals, geocoding/coverage changes, possible chart reconstruction from current snapshot.","Chart labels alone do not prove archived daily observations existed at each cutoff.","Require stable source ID, schema, and publication semantics; aggregate only; otherwise reject historical use.","0/23 verified.","None until source ID and robots status resolve.",inconclusive,"https://data.austintexas.gov/stories/s/Active-Short-Term-Rentals/majh-96w2/ | https://data.austintexas.gov/stories/s/City-of-Austin-Open-Data-Terms-of-Use/ranj-cccq/",,,"The underlying historical series may no longer exist or may not be a true vintage series.",2026-09-03T06:33:17Z
8,SCW-003,"Adjudication Enforcement Detailed Hearings Data for OBES","City of New Orleans","STR hearing establishment, hearing and violation counts measure enforcement intensity and regulatory friction.","More hearings/violations per licensed permit should reduce active supply or raise host friction.","active supply; nights booked; revenue","Parcel-level adjudication workflow is nonstandard administrative exhaust requiring category mapping and vintage controls.",supply_withdrawal_and_regulatory_friction,"New Orleans, Louisiana","Strong local mechanism in an event-driven STR market; limited consolidated scale.","hearing/case","case/hearing event; aggregate to quarter/city",frequent_current_portal,"All hearings from Jan. 1 2018; portal created Aug. 17 2022.","Current portal updated periodically; exact event-to-publication lag unverified.",2022-08-17,"Event dates plus current/open violation and judgment fields that may revise.",partial,"Socrata SODA API view uzyk-jrck and CSV export.",https://data.nola.gov/Housing-Land-Use-and-Blight/Adjudication-Enforcement-Detailed-Hearings-Data-fo/uzyk-jrck,https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,https://data.nola.gov/robots.txt,"Portal marks public access; exact dataset licence/automation terms unresolved","No direct request until terms and robots allow; filter agency/case type to STR; exclude address and incident identifiers.",none,,free,"Case backfill before portal creation, rescheduled hearings, changing agency/case codes, duplicated events, revised judgments.","Pre-2022 event rows may have been backfilled; current open violations/judgment are later states.","Start no earlier than portal creation unless historical release evidence exists; use only immutable event dates proven promptly published.","Potentially ~16/23 post-portal events; currently 0 verified.","After permission resolution: one two-row SODA projection with agency/type/event dates/counts only.",pending_permission,"https://data.nola.gov/Housing-Land-Use-and-Blight/Adjudication-Enforcement-Detailed-Hearings-Data-fo/uzyk-jrck",,,"Enforcement activity may be policy effort and backfilled workflow data rather than timely supply removal.",2026-09-03T06:33:17Z
9,SCW-008,"Active licenses for Short-Term Residential Occupancy","City of San Diego Office of the City Treasurer","Active STRO licence counts by tier and planning area measure legal host capacity under a capped/licensed regime.","More active licences should increase supply capacity; expiry clustering may foreshadow attrition.","active supply; nights booked; U.S. geographic mix","Tier caps, Mission Beach carve-out and licence expirations create municipal supply signals not in broad travel datasets.",supply,"San Diego, California; planning area/tier","Large coastal leisure/convention market but one city remains a limited ABNB share.","active licence","licence-tier-planning-area snapshot",frequent_current_snapshot,"Dataset issued Jan. 19 2023; current active file updated Sep. 1 2026.","Portal updates current active file; exact frequency blank in indexed metadata.",2023-01-19,"Overwritten active-only CSV; expiration date present; issue date absent.",no,"Official CSV download offered on data portal; MapServer also available.",https://data.sandiego.gov/datasets/stro-licenses/,https://data.sandiego.gov/help/guides/terms/,https://data.sandiego.gov/robots.txt,"City terms; FAQ says no restrictions on usage/redistribution","Robots unresolved; source includes names, phones, addresses and tax IDs that must never be collected or retained; project only tier/planning area/expiration.",none,,free,"Active-only survivorship, renewal/expiry cycles, tier lotteries, policy caps, blank update-frequency metadata.","Today's active list cannot reconstruct historical active licences; expiration date is not issue date.","Prospective timestamped snapshots only; aggregate on ingest and discard row-level payload; never backfill history.","0/23 historical events; prospective only after permission.","After robots resolution: one CSV or MapServer query returning only tier, planning area and expiration for at most two records.",prospective_only,"https://data.sandiego.gov/datasets/stro-licenses/ | https://webmaps.sandiego.gov/arcgis/rest/services/Treasurer/STRO_ACTIVE_LICENSES/MapServer | https://data.sandiego.gov/help/guides/faq/ | https://data.sandiego.gov/help/guides/terms/",,,"The active-only snapshot has no defensible historical reconstruction and contains avoidable personal data fields.",2026-09-03T06:33:17Z
10,SCW-009,"Federal reservation availability calendars","Recreation.gov / participating federal agencies","Future campground/permit/timed-entry scarcity could reveal destination demand and accommodation spillover before travel occurs.","More future sell-outs and shorter first-available-weekend lead should imply stronger forward leisure demand and nearby lodging scarcity.","next-quarter revenue guidance; nights booked; U.S. leisure demand","A normalized multi-park lead-time scarcity panel would be operationally difficult and likely absent from sell-side models.",booking_intent_and_capacity_scarcity,"Nationwide federal recreation facilities; candidate leisure gateways","Potentially broad if a stable panel spans many material park/resort gateways.","facility-date availability state or reservable unit count","facility-date-lead-time",daily_prospective,"No genuine historical availability snapshots established.","Dynamic; release windows vary by facility; publication is effectively real time when calendar changes.",unverified,"Overwritten dynamic state; search-index captures are not a complete or controlled archive.",no,"Official interactive availability pages; RIDB official API covers metadata/events/campsites but not documented reservation availability.",https://www.recreation.gov/permits/4675337/registration/detailed-availability,,https://www.recreation.gov/robots.txt,"Unverified for availability reuse","Do not use undocumented internal endpoints; no request until exact Terms of Service and robots affirm automation; no authenticated flows or reservation/user data.",none,,unknown_free_public_view,"Facility release-window changes, closures, inventory blocks, lottery versus first-come states, caching, false sell-outs, heterogeneous rules.","Today's calendar cannot reconstruct yesterday's availability; search-index snapshots are not systematic vintages.","Prospective-only collector with fixed facility panel, fixed lead times, timestamped cached responses and rule-change ledger, only if explicit permission is obtained.","0/23.","None; interface and rights fail current gate.",pending_permission,"https://www.recreation.gov/permits/4675337/registration/detailed-availability | https://ridb.recreation.gov/docs | https://www.recreation.gov/site-map",,,"No documented public availability API or affirmative automation permission was established.",2026-09-03T06:33:17Z
