source_id,source_domain,exact_source_url,proposed_paths,terms_url,terms_status,terms_evidence,robots_url,robots_status,public_access,authenticated,paywalled,captcha_required,access_control_bypass,personal_data_in_proposed_sample,airbnb_controlled,requests_per_minute,cache_responses,user_agent,decision,decision_reasons,reviewed_at_utc,direct_requests_made
SCW-001,data.austintexas.gov,https://data.austintexas.gov/stories/s/Active-Short-Term-Rentals/majh-96w2/,"/stories/s/Active-Short-Term-Rentals/majh-96w2/ | /resource/<underlying-active-str-dataset-id>.json?$limit=2",https://data.austintexas.gov/stories/s/City-of-Austin-Open-Data-Terms-of-Use/ranj-cccq/,allowed,"Indexed official terms say portal data are free and without restriction/public domain; attribution requested; re-identification prohibited.",https://data.austintexas.gov/robots.txt,unclear,true,false,false,false,false,false,false,6,true,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",blocked,"robots guidance does not clearly allow the intended paths",2026-09-03T06:33:17Z,false
SCW-002,data.nola.gov,https://data.nola.gov/Housing-Land-Use-and-Blight/Map-of-Short-Term-Rental-License-Applications/j5u3-2ueh,"/resource/en36-xvxg.json?$limit=2&$select=permit_number,permit_type,current_status,expiration_date,application_date,issue_date",https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,unclear,"Official indexed portal materials describe bulk download and API use but no exact automation terms were established.",https://data.nola.gov/robots.txt,unclear,true,false,false,false,false,false,false,6,true,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",blocked,"terms do not clearly permit automation | robots guidance does not clearly allow the intended paths",2026-09-03T06:33:17Z,false
SCW-003,data.nola.gov,https://data.nola.gov/Housing-Land-Use-and-Blight/Adjudication-Enforcement-Detailed-Hearings-Data-fo/uzyk-jrck,"/resource/uzyk-jrck.json?$limit=2&$select=agency,case_type,hearing_date,case_established,violation_count",https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,unclear,"Official indexed portal materials describe bulk download and API use but no exact automation terms were established.",https://data.nola.gov/robots.txt,unclear,true,false,false,false,false,false,false,6,true,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",blocked,"terms do not clearly permit automation | robots guidance does not clearly allow the intended paths",2026-09-03T06:33:17Z,false
SCW-004,opendata.vancouver.ca,https://opendata.vancouver.ca/explore/dataset/business-licences/api/,"/api/explore/v2.1/catalog/datasets/business-licences/records?limit=2&refine=businesstype:%22Short-term%20Rental%20Operator%22",https://vancouver.ca/your-government/terms-of-use.aspx,allowed,"Official terms say Open Data is published under the Open Government Licence–Vancouver; indexed API page explicitly documents parameterized record queries.",https://opendata.vancouver.ca/robots.txt,unclear,true,false,false,false,false,false,false,6,true,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",blocked,"robots guidance does not clearly allow the intended API path",2026-09-03T06:33:17Z,false
SCW-005,www.nyc.gov,https://www.nyc.gov/site/specialenforcement/registration-law/registration-and-listing-data.page,"/site/specialenforcement/registration-law/registration-and-listing-data.page | /assets/specialenforcement/downloads/pdfs/<dated-registration-dataset>.csv",https://www.nyc.gov/home/terms-of-use.page,unclear,"Official registration law requires publication and the page supplies dated public downloads; automation permission was not established.",https://www.nyc.gov/robots.txt,unclear,true,false,false,false,false,false,false,6,true,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",blocked,"terms do not clearly permit automation | robots guidance does not clearly allow the intended paths",2026-09-03T06:33:17Z,false
SCW-006,www.occompt.com,https://www.occompt.com/quicklinks.aspx?CID=39,"/quicklinks.aspx?CID=39 | /DocumentCenter/View/<monthly-report-id>/<YYYY-MM-Month-TDT-Collection-PDF>",,unclear,"No exact site terms URL affirmatively allowing automated report retrieval was located in search-index reconnaissance.",https://www.occompt.com/robots.txt,unclear,true,false,false,false,false,false,false,6,true,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",blocked,"terms URL is missing | terms do not clearly permit automation | robots guidance does not clearly allow the intended paths",2026-09-03T06:33:17Z,false
SCW-007,tax.hawaii.gov,https://tax.hawaii.gov/stats/a5_3txcolrptarchive/,"/stats/a5_3txcolrptarchive/ | https://files.hawaii.gov/tax/stats/monthly/<YYYYMM>liab-by-d_tat.pdf",https://ets.hawaii.gov/soh-terms-of-use/,prohibited,"State terms explicitly prohibit automated means and commercial use absent separate written agreement.",https://tax.hawaii.gov/robots.txt,unclear,true,false,false,false,false,false,false,6,true,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",blocked,"terms prohibit automated collection | robots guidance does not clearly allow the intended paths",2026-09-03T06:33:17Z,false
SCW-008,data.sandiego.gov,https://data.sandiego.gov/datasets/stro-licenses/,"/datasets/stro-licenses/ | /downloads/stro-licenses/<documented-stro-csv>",https://data.sandiego.gov/help/guides/terms/,allowed,"Official FAQ says portal data are free with no restrictions on usage or redistribution and the dataset is offered as CSV; terms accept data downloads.",https://data.sandiego.gov/robots.txt,unclear,true,false,false,false,false,false,false,6,true,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",blocked,"robots guidance does not clearly allow the intended paths",2026-09-03T06:33:17Z,false
SCW-009,www.recreation.gov,https://www.recreation.gov/permits/4675337/registration/detailed-availability,"/api/camps/availability/campground/<facility-id>/month?start_date=<ISO-UTC>",,unclear,"The official RIDB API documents facilities/campsites/events but not reservation availability; the observed availability route is undocumented for public reuse.",https://www.recreation.gov/robots.txt,unclear,true,false,false,false,false,false,false,6,true,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",blocked,"terms URL is missing | terms do not clearly permit automation | robots guidance does not clearly allow the intended path",2026-09-03T06:33:17Z,false
SCW-010,www.nyc.gov,https://www.nyc.gov/site/specialenforcement/about/data-reports.page,"/site/specialenforcement/about/data-reports.page | /assets/specialenforcement/downloads/pdfs/<annual-enforcement-report>.pdf",https://www.nyc.gov/home/terms-of-use.page,unclear,"Official page says reports are available for public and research use but automation permission was not established.",https://www.nyc.gov/robots.txt,unclear,true,false,false,false,false,false,false,6,true,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",blocked,"terms do not clearly permit automation | robots guidance does not clearly allow the intended paths",2026-09-03T06:33:17Z,false
