source_id,history_claim,earliest_verifiable_public_availability,archive_or_vintage_evidence,record_behavior,real_vintage_support,historical_guidance_cutoff_coverage_estimate,strict_cutoff_eligible_now,reason
SCW-001,"Current active table plus chart labelled Active STR Count by Date",unverified,"Official indexed story exposes a historical-count visualization but says the table query may be broken or its underlying dataset deleted/unpublished.",snapshot_or_unknown,no,"0/23 verified; possible historical aggregate requires recovery of underlying table and publication semantics",false,"No stable dataset ID or release/vintage evidence"
SCW-002,"Application records beginning May 2017 with application/issue/expiration dates",2017-05-04,"Official portal examples show dated 2017 applications; no dataset changelog archive.",event_dates_plus_overwritten_status,partial,"0/23 publication-timing verified; event dates span all 23 guidance events in principle",false,"Event occurrence is known but historical public availability at each ABNB cutoff is unverified"
SCW-003,"All adjudication hearings from 2018 to current",2022-08-17,"Portal creation date Aug. 17 2022; hearing and case-established dates begin Jan. 2018; no vintage archive established.",event_dates_plus_revised_case_state,partial,"Approximately 16/23 events after portal creation may have usable prior-event counts if append-only timing is proven; currently 0 verified",false,"Need confirmation that historical hearing rows were published promptly and not backfilled"
SCW-004,"Annual folder years with licence issue/expiry dates and revision numbers",unverified,"API example contains folderyear=24 and issue/expiry timestamps but current extractdate is 2026-07-01.",current_extract_with_historical_events,partial,"0/23 verified from current extract; full 2020Q4-2026Q2 span exists only as event dates",false,"Present extract is not a historical vintage and status revisions may create survivorship"
SCW-005,"FY23-FY26 annual registration reports plus dated downloadable registration snapshots in 2026",2023-09-15,"NYC official required-report catalog starts Sep. 15 2023; OSE page lists FY23-FY25 reports and a Jan. 7 2026 dated snapshot.",annual_append_only_reports_plus_dated_snapshots,yes,"Roughly 11/23 events from 2023Q3 onward have some regime context; high-frequency supply snapshots only in 2026",false,"Automation permission unresolved; pre-2023 regime does not exist"
SCW-006,"Monthly Orange County TDT releases with separate dated PDFs",2019-04,"Indexed official PDFs exist for Apr. 2019, May/Jun/Jul 2020, Dec. 2021, Dec. 2022 and Oct. 2025; releases show explicit FOR RELEASE ON timestamps in many files.",append_only_release_files,yes,"23/23 guidance events likely have at least one previously released monthly observation; exact event-by-event audit still required",false,"Collection permission unresolved; publication lag must be applied from each PDF release timestamp"
SCW-007,"Monthly Hawaiʻi TAT district-liability archive 1997-2026",1997,"Official archive lists 1997-2025 by year; individual PDFs carry report dates and revised labels.",append_only_release_files_with_named_revisions,yes,"23/23 events have historical releases in principle",false,"Explicit terms prohibit automated and commercial use without written agreement"
SCW-008,"Active STRO licence file from Jan. 19 2023 onward",2023-01-19,"Portal issues a repeatedly replaced active-only CSV; no dated snapshots or issue-date field established.",overwritten_active_snapshot,no,"0/23 verified; current data may support prospective collection only",false,"Current active list cannot reconstruct prior supply"
SCW-009,"Dynamic future availability calendar only",unverified,"Search-indexed pages expose current/future availability states; RIDB docs do not include reservation availability and no archived snapshots were found.",dynamic_overwritten_snapshot,no,"0/23",false,"No historical snapshots and no authorized public availability interface"
SCW-010,"Annual STR enforcement reports 2016-2024 and annual registration reports separately",2016,"Official OSE reports page lists annual enforcement PDFs for 2016 through 2024 and describes public/research use.",append_only_annual_reports,yes,"All 23 events have at least one prior annual report in principle, but only annual cadence",false,"Automation permission unresolved and report publication timestamp must precede each cutoff"
