rank,source_id,causal_proximity_20,point_in_time_vintage_20,differentiation_underuse_15,geographic_relevance_scale_15,frequency_lead_time_10,permission_license_clarity_10,operational_reliability_5,free_low_cost_5,total_100,score_rationale,status
1,SCW-005,19,17,13,8,5,2,5,5,74,"Direct legally active host-supply and regulatory-friction measures; annual official reports and dated 2026 snapshots are real vintages. Short regime history and one-city coverage cap scale.",pending_permission
2,SCW-006,15,19,11,10,6,2,5,5,73,"Direct realized lodging-tax receipt proxy in a globally material leisure market; exact release timestamps and separate monthly PDFs create unusually defensible vintages. Lag and hotel-heavy composition limit lead value.",pending_permission
3,SCW-004,19,10,13,6,8,7,4,5,72,"Licence issuance/expiry/revision events are close to active supply and difficult to standardize across jurisdictions. Current 2026 extract can encode status survivorship; robots path remains unresolved.",pending_permission
4,SCW-010,15,19,12,8,2,2,5,5,68,"Annual point-in-time enforcement reports from 2016 onward provide a defensible regulation-intensity history, but annual cadence and policy endogeneity reduce forecast lead.",pending_permission
5,SCW-007,13,20,10,9,6,0,5,5,68,"Monthly district-level TAT liabilities have excellent dated archives and revisions, but explicit State terms prohibit automated and commercial use absent written agreement.",rejected
6,SCW-002,19,9,13,6,8,2,4,5,66,"Applications and issue/expiration dates map directly to supply pipeline. Present extract and overwritten current status are not historical vintages; source permission evidence is incomplete.",pending_permission
7,SCW-001,19,4,13,6,10,7,2,5,66,"A daily active-licence aggregate would be close to supply and underused, but the indexed page reports a broken/deleted underlying query and historical/vintage semantics are unresolved.",inconclusive
8,SCW-003,17,9,14,6,7,2,4,5,64,"STR hearing/case dates provide non-obvious enforcement friction at event level. Current judgment/open-violation fields can revise and one-city materiality is limited.",pending_permission
9,SCW-008,18,3,11,6,8,8,4,5,63,"Daily active STRO licences are close to supply and openly licensed, but the file is an active-only snapshot with no issue date; historical backfill would be leakage.",prospective_only
10,SCW-009,16,0,15,15,10,0,2,5,63,"Nationwide federal reservation scarcity could lead leisure demand, but no authorized public availability API or historical snapshots were established; the observed route is undocumented.",pending_permission
