variant,p_true_ge25,p_true_21_24,p_true_le20,a_flat70,b_flat70,c_flat70,d_flat70,a_level,b_level,c_level,d_level
v2 base,0.3891,0.606,0.0049,0.2315,0.2045,0.264,0.3,0.2481,0.2,0.2585,0.2934
v2 expansion Exp(1.4) only,0.3208,0.6735,0.0057,0.1909,0.2234,0.2857,0.3,0.2045,0.2181,0.2791,0.2983
v2 expansion Exp(3.5) only (large),0.5925,0.4051,0.0024,0.3525,0.1483,0.1991,0.3,0.3777,0.1462,0.1973,0.2788
v2 no July expansion,0.0435,0.9211,0.0354,0.0259,0.2917,0.3824,0.3,0.0277,0.2835,0.3672,0.3216
v2 no residual ramp,0.2868,0.7022,0.011,0.1706,0.2312,0.2981,0.3,0.1828,0.2256,0.2902,0.3014
v2 full residual ramp (0-100% of Q2 step),0.4933,0.5039,0.0028,0.2935,0.176,0.2305,0.3,0.3145,0.1727,0.227,0.2858
"v2 with rev-1 directional penalty U(-2,0)",0.2344,0.711,0.0546,0.1395,0.2322,0.3284,0.3,0.1494,0.2264,0.3135,0.3107
v2 s2 capped at 22.5 ('over 20%' read narrowly),0.2862,0.7067,0.0071,0.1703,0.2326,0.2971,0.3,0.1824,0.227,0.2897,0.3009
"audit no-season benchmark (rev-1 inputs, no penalty)",0.4001,0.5999,0.0,0.2381,0.203,0.259,0.3,0.2551,0.1986,0.2544,0.292
rev-1 as published,0.2156,0.7693,0.0151,0.1283,0.2499,0.3219,0.3,0.1374,0.2435,0.3122,0.3069
inputs,"see docstring: s1 U(19,21); d12 U(0.5,3.5) with s2 in [20.5,23.5]; ramp U(0,0.5)*d12; exp 0.75*Exp(1.4)+0.25*Exp(3.5) cap 8; mix U(-1,1); N=200000 seed 7; level gate (0.75,0.68,0.55)"
