quarter,adr_global_usd,nights_global_m,seasonal_index,adr_na_usd,adr_na_usd_anchored,adr_yoy_na_pct,adr_yoy_exfx_na_pct,fx_pp_na,nights_share_na_pct,basis_adr_na,adr_emea_usd,adr_emea_usd_anchored,adr_yoy_emea_pct,adr_yoy_exfx_emea_pct,fx_pp_emea,nights_share_emea_pct,basis_adr_emea,adr_latam_usd,adr_latam_usd_anchored,adr_yoy_latam_pct,adr_yoy_exfx_latam_pct,fx_pp_latam,nights_share_latam_pct,basis_adr_latam,adr_apac_usd,adr_apac_usd_anchored,adr_yoy_apac_pct,adr_yoy_exfx_apac_pct,fx_pp_apac,nights_share_apac_pct,basis_adr_apac
1Q21,159.82,64.4,1.025,227.4643,227.4632,,,0.4528,37.9242,modelled,126.8007,126.8001,,,8.8098,39.2881,modelled,97.8039,97.8034,,,-6.9752,12.9075,modelled,112.4919,112.4914,,,9.3705,9.8802,modelled
2Q21,161.45,83.1,1.0354,229.7842,229.7831,,,1.3486,37.9242,modelled,128.0939,128.0933,,,10.1067,39.2881,modelled,98.8014,98.8009,,,4.3628,12.9075,modelled,113.6392,113.6387,,,8.6922,9.8802,modelled
3Q21,149.15,79.7,0.9566,212.2782,212.2771,,,0.6626,37.9242,modelled,118.3351,118.3346,,,2.2474,39.2881,modelled,91.2743,91.2738,,,3.3731,12.9075,modelled,104.9817,104.9811,,,0.8571,9.8802,modelled
4Q21,153.61,73.4,0.9852,218.6259,218.6248,,,0.253,37.9242,modelled,121.8737,121.8731,,,-2.431,39.2881,modelled,94.0036,94.0032,,,-1.3908,12.9075,modelled,108.1209,108.1204,,,-2.0913,9.8802,modelled
1Q22,168.07,102.1,1.0562,253.7855,253.3054,11.5716,11.5896,-0.018,32.7439,modelled,135.1784,134.4856,6.607,12.3514,-5.7444,44.7265,modelled,98.107,97.8747,0.3099,-1.3044,1.6143,13.2349,modelled,124.0042,124.0208,10.2338,15.5147,-5.2808,9.2947,modelled
2Q22,163.74,103.7,1.029,247.2473,246.7795,7.5998,7.9044,-0.3046,32.7439,modelled,131.6958,131.0208,2.8119,13.9368,-11.1249,44.7265,modelled,95.5795,95.3532,-3.261,-5.784,2.523,13.2349,modelled,120.8094,120.8256,6.3096,13.6209,-7.3113,9.2947,modelled
3Q22,156.44,99.7,0.9685,232.715,232.2748,9.6274,9.9274,-0.3,35.199,modelled,123.9552,123.3199,4.7493,19.1621,-14.4128,39.4323,modelled,89.9617,89.7487,-1.438,-1.1104,-0.3277,13.4677,modelled,113.7087,113.724,8.313,16.694,-8.381,11.901,modelled
4Q22,152.81,88.2,0.9506,228.4205,227.9884,4.4801,4.9463,-0.4662,34.488,modelled,121.6678,121.0442,-0.169,10.9226,-11.0916,41.3956,modelled,88.3016,88.0925,-6.0658,-9.5057,3.4399,13.9399,modelled,111.6104,111.6253,3.2274,12.8483,-9.6209,10.1765,modelled
1Q23,168.43,121.1,1.0371,248.1962,249.401,-2.2024,-1.8904,-0.312,31.2658,modelled,145.9926,144.7715,8.0,13.5905,-5.5905,43.2854,disclosed-chained,98.1014,98.2327,-0.0058,-2.4615,2.4557,13.7389,modelled,122.3349,122.4291,-1.3462,4.4372,-5.7834,11.71,modelled
2Q23,166.01,115.1,1.0174,244.7748,245.963,-1.0,-0.871,-0.129,31.825,disclosed-chained,142.2314,141.0418,8.0,6.4312,1.5688,44.0596,disclosed-chained,96.2407,96.3695,0.6918,-2.2174,2.9092,14.1288,modelled,120.0146,120.107,-0.6579,4.0923,-4.7503,9.9865,modelled
