window,candidate,baseline,n,n_year_clusters,rmse_ratio,paired_draws,ratio_p05,ratio_p95,worst_deletion_ratio,any_deletion_reversal
W1,joint_flight,joint_noflight,9,3,1.1963923217596208,2000,1.0131160032716489,1.4255299668952222,1.4137597932370518,True
W1,joint_flight,guide_growth,9,3,1.2642910959270803,2000,0.9656343864529696,1.4708520621800758,1.4619178305543294,True
W1,joint_flight,revenue_growth,9,3,0.6146873073678907,2000,0.44613883293096934,0.7454848182082341,0.7416690340428543,False
W1,fixed_flight,fixed_noflight,9,3,0.9602643980779334,2000,0.8690695293466266,1.1159322368911355,1.0205248192046121,True
W1,fixed_flight,guide_growth,9,3,1.1914894133585263,2000,0.9846402165554919,1.4163973153400207,1.4202253102479658,True
W1,fixed_flight,revenue_growth,9,3,0.5792917640677128,2000,0.4817672445772635,0.6830573873141919,0.6737474888113733,False
W2,joint_flight,joint_noflight,9,3,1.1963923217596208,2000,1.0131160032716489,1.4255299668952222,1.4137597932370518,True
W2,joint_flight,guide_growth,9,3,1.2642910959270803,2000,0.9656343864529696,1.4708520621800758,1.4619178305543294,True
W2,joint_flight,revenue_growth,9,3,0.6146873073678907,2000,0.44613883293096934,0.7454848182082341,0.7416690340428543,False
W2,fixed_flight,fixed_noflight,9,3,0.9602643980779334,2000,0.8690695293466266,1.1159322368911355,1.0205248192046121,True
W2,fixed_flight,guide_growth,9,3,1.1914894133585263,2000,0.9846402165554919,1.4163973153400207,1.4202253102479658,True
W2,fixed_flight,revenue_growth,9,3,0.5792917640677128,2000,0.4817672445772635,0.6830573873141919,0.6737474888113733,False
