window,candidate,baseline,deletion_kind,excluded,n,rmse_ratio
W1,joint_flight,joint_noflight,year,2024,6,1.1952432297865683
W1,joint_flight,joint_noflight,year,2025,5,1.4137597932370518
W1,joint_flight,joint_noflight,year,2026,7,1.022444028777848
W1,joint_flight,joint_noflight,quarter,2024Q2,8,1.2214285297935026
W1,joint_flight,joint_noflight,quarter,2024Q3,8,1.1760770202842388
W1,joint_flight,joint_noflight,quarter,2024Q4,8,1.1911661923898518
W1,joint_flight,joint_noflight,quarter,2025Q1,8,1.195660305430145
W1,joint_flight,joint_noflight,quarter,2025Q2,8,1.222894647457282
W1,joint_flight,joint_noflight,quarter,2025Q3,8,1.367025306412846
W1,joint_flight,joint_noflight,quarter,2025Q4,8,1.186608615176158
W1,joint_flight,joint_noflight,quarter,2026Q1,8,1.158192799861694
W1,joint_flight,joint_noflight,quarter,2026Q2,8,1.0972952521268946
W1,joint_flight,guide_growth,year,2024,6,1.4619178305543294
W1,joint_flight,guide_growth,year,2025,5,1.1592362224305277
W1,joint_flight,guide_growth,year,2026,7,1.1197606417352761
W1,joint_flight,guide_growth,quarter,2024Q2,8,1.301110250076201
W1,joint_flight,guide_growth,quarter,2024Q3,8,1.377796453041232
W1,joint_flight,guide_growth,quarter,2024Q4,8,1.2844160741746005
W1,joint_flight,guide_growth,quarter,2025Q1,8,1.3140470786742606
W1,joint_flight,guide_growth,quarter,2025Q2,8,1.3018185638752693
W1,joint_flight,guide_growth,quarter,2025Q3,8,1.0533410862888033
W1,joint_flight,guide_growth,quarter,2025Q4,8,1.2825707042704384
W1,joint_flight,guide_growth,quarter,2026Q1,8,1.4110140291231206
W1,joint_flight,guide_growth,quarter,2026Q2,8,1.0274604298043708
W1,joint_flight,revenue_growth,year,2024,6,0.7416690340428543
W1,joint_flight,revenue_growth,year,2025,5,0.5551982259557593
W1,joint_flight,revenue_growth,year,2026,7,0.5282838563801494
W1,joint_flight,revenue_growth,quarter,2024Q2,8,0.6410361114041929
W1,joint_flight,revenue_growth,quarter,2024Q3,8,0.7027464535505829
W1,joint_flight,revenue_growth,quarter,2024Q4,8,0.611466789147748
W1,joint_flight,revenue_growth,quarter,2025Q1,8,0.6182041518347046
W1,joint_flight,revenue_growth,quarter,2025Q2,8,0.6153342495525729
W1,joint_flight,revenue_growth,quarter,2025Q3,8,0.5531719240382363
W1,joint_flight,revenue_growth,quarter,2025Q4,8,0.6135802217984995
W1,joint_flight,revenue_growth,quarter,2026Q1,8,0.6374632596814888
W1,joint_flight,revenue_growth,quarter,2026Q2,8,0.5224528666985232
W1,fixed_flight,fixed_noflight,year,2024,6,1.0197892078115982
W1,fixed_flight,fixed_noflight,year,2025,5,1.0195955209511447
W1,fixed_flight,fixed_noflight,year,2026,7,0.880472408918056
W1,fixed_flight,fixed_noflight,quarter,2024Q2,8,1.0205248192046121
W1,fixed_flight,fixed_noflight,quarter,2024Q3,8,0.9614450874974597
W1,fixed_flight,fixed_noflight,quarter,2024Q4,8,0.9582481133150533
W1,fixed_flight,fixed_noflight,quarter,2025Q1,8,0.9690134606893521
W1,fixed_flight,fixed_noflight,quarter,2025Q2,8,1.0191838578328263
W1,fixed_flight,fixed_noflight,quarter,2025Q3,8,0.9383557008106607
W1,fixed_flight,fixed_noflight,quarter,2025Q4,8,0.9485648284567573
W1,fixed_flight,fixed_noflight,quarter,2026Q1,8,0.963136474680343
W1,fixed_flight,fixed_noflight,quarter,2026Q2,8,0.8776153395218615
W1,fixed_flight,guide_growth,year,2024,6,1.2111750279736428
W1,fixed_flight,guide_growth,year,2025,5,1.0190348144514374
W1,fixed_flight,guide_growth,year,2026,7,1.3526340852691514
W1,fixed_flight,guide_growth,quarter,2024Q2,8,1.055405436440242
W1,fixed_flight,guide_growth,quarter,2024Q3,8,1.3209414229550862
W1,fixed_flight,guide_growth,quarter,2024Q4,8,1.2163708933788082
