evaluation_target,evaluation_origin,target,feature_origin,latest_company_quarter,outcome_publication,flight_quarter,flight_commit_utc,flight_commit_full,x,y
2024Q2,2024-03-16,2022Q3,2022-09-15,2022Q2,2022-11-01,2022Q3,2022-09-14T06:03:44+00:00,55f13a3f26556fed0aec6d315c72daaa6dc51679,0.1238324260499426,0.04226765332998861
2024Q2,2024-03-16,2022Q4,2022-12-16,2022Q3,2023-02-14,2022Q4,2022-12-15T07:03:28+00:00,14d3f98f26414a4a46c9826fb24b8a6c66583586,-0.08962162249485539,-0.11623410426117342
2024Q2,2024-03-16,2023Q1,2023-03-16,2022Q4,2023-05-09,2022Q4,2022-12-15T07:03:28+00:00,14d3f98f26414a4a46c9826fb24b8a6c66583586,0.02661248176631803,-0.008643753858818659
2024Q2,2024-03-16,2023Q2,2023-06-15,2023Q1,2023-08-03,2023Q1,2023-03-17T07:02:57+00:00,1d85aa6c938c4a0b5c95028bcf9ce7d86b623a38,0.1018844040193303,-0.0625170998632012
2024Q2,2024-03-16,2023Q3,2023-09-15,2023Q2,2023-11-01,2023Q3,2023-09-14T06:04:32+00:00,0b189dd87cf0cf33a542d8695dea486a7038dad7,-0.04570814627220754,0.04954751131221724
2024Q2,2024-03-16,2023Q4,2023-12-16,2023Q3,2024-02-13,2023Q4,2023-12-15T07:02:46+00:00,b184f11994c6345c0056acb989056bf927f86c40,-0.08556703536596699,-0.024928774928774988
2024Q3,2024-06-15,2022Q3,2022-09-15,2022Q2,2022-11-01,2022Q3,2022-09-14T06:03:44+00:00,55f13a3f26556fed0aec6d315c72daaa6dc51679,0.1238324260499426,0.04226765332998861
2024Q3,2024-06-15,2022Q4,2022-12-16,2022Q3,2023-02-14,2022Q4,2022-12-15T07:03:28+00:00,14d3f98f26414a4a46c9826fb24b8a6c66583586,-0.08962162249485539,-0.11623410426117342
2024Q3,2024-06-15,2023Q1,2023-03-16,2022Q4,2023-05-09,2022Q4,2022-12-15T07:03:28+00:00,14d3f98f26414a4a46c9826fb24b8a6c66583586,0.02661248176631803,-0.008643753858818659
2024Q3,2024-06-15,2023Q2,2023-06-15,2023Q1,2023-08-03,2023Q1,2023-03-17T07:02:57+00:00,1d85aa6c938c4a0b5c95028bcf9ce7d86b623a38,0.1018844040193303,-0.0625170998632012
2024Q3,2024-06-15,2023Q3,2023-09-15,2023Q2,2023-11-01,2023Q3,2023-09-14T06:04:32+00:00,0b189dd87cf0cf33a542d8695dea486a7038dad7,-0.04570814627220754,0.04954751131221724
2024Q3,2024-06-15,2023Q4,2023-12-16,2023Q3,2024-02-13,2023Q4,2023-12-15T07:02:46+00:00,b184f11994c6345c0056acb989056bf927f86c40,-0.08556703536596699,-0.024928774928774988
2024Q3,2024-06-15,2024Q1,2024-03-16,2023Q4,2024-05-08,2023Q4,2023-12-15T07:02:46+00:00,b184f11994c6345c0056acb989056bf927f86c40,-0.060638260437192004,-0.025599128540304994
2024Q4,2024-09-15,2022Q3,2022-09-15,2022Q2,2022-11-01,2022Q3,2022-09-14T06:03:44+00:00,55f13a3f26556fed0aec6d315c72daaa6dc51679,0.1238324260499426,0.04226765332998861
2024Q4,2024-09-15,2022Q4,2022-12-16,2022Q3,2023-02-14,2022Q4,2022-12-15T07:03:28+00:00,14d3f98f26414a4a46c9826fb24b8a6c66583586,-0.08962162249485539,-0.11623410426117342
2024Q4,2024-09-15,2023Q1,2023-03-16,2022Q4,2023-05-09,2022Q4,2022-12-15T07:03:28+00:00,14d3f98f26414a4a46c9826fb24b8a6c66583586,0.02661248176631803,-0.008643753858818659
2024Q4,2024-09-15,2023Q2,2023-06-15,2023Q1,2023-08-03,2023Q1,2023-03-17T07:02:57+00:00,1d85aa6c938c4a0b5c95028bcf9ce7d86b623a38,0.1018844040193303,-0.0625170998632012
2024Q4,2024-09-15,2023Q3,2023-09-15,2023Q2,2023-11-01,2023Q3,2023-09-14T06:04:32+00:00,0b189dd87cf0cf33a542d8695dea486a7038dad7,-0.04570814627220754,0.04954751131221724
2024Q4,2024-09-15,2023Q4,2023-12-16,2023Q3,2024-02-13,2023Q4,2023-12-15T07:02:46+00:00,b184f11994c6345c0056acb989056bf927f86c40,-0.08556703536596699,-0.024928774928774988
2024Q4,2024-09-15,2024Q1,2024-03-16,2023Q4,2024-05-08,2023Q4,2023-12-15T07:02:46+00:00,b184f11994c6345c0056acb989056bf927f86c40,-0.060638260437192004,-0.025599128540304994
2024Q4,2024-09-15,2024Q2,2024-06-15,2024Q1,2024-08-06,2024Q1,2024-03-16T07:03:26+00:00,e52e4f1e697ec0d613d0f6380192c47fdb9ce04a,-0.05872325483299945,-0.012601375628785494
2025Q1,2024-12-16,2022Q3,2022-09-15,2022Q2,2022-11-01,2022Q3,2022-09-14T06:03:44+00:00,55f13a3f26556fed0aec6d315c72daaa6dc51679,0.1238324260499426,0.04226765332998861
2025Q1,2024-12-16,2022Q4,2022-12-16,2022Q3,2023-02-14,2022Q4,2022-12-15T07:03:28+00:00,14d3f98f26414a4a46c9826fb24b8a6c66583586,-0.08962162249485539,-0.11623410426117342
2025Q1,2024-12-16,2023Q1,2023-03-16,2022Q4,2023-05-09,2022Q4,2022-12-15T07:03:28+00:00,14d3f98f26414a4a46c9826fb24b8a6c66583586,0.02661248176631803,-0.008643753858818659
2025Q1,2024-12-16,2023Q2,2023-06-15,2023Q1,2023-08-03,2023Q1,2023-03-17T07:02:57+00:00,1d85aa6c938c4a0b5c95028bcf9ce7d86b623a38,0.1018844040193303,-0.0625170998632012
2025Q1,2024-12-16,2023Q3,2023-09-15,2023Q2,2023-11-01,2023Q3,2023-09-14T06:04:32+00:00,0b189dd87cf0cf33a542d8695dea486a7038dad7,-0.04570814627220754,0.04954751131221724
2025Q1,2024-12-16,2023Q4,2023-12-16,2023Q3,2024-02-13,2023Q4,2023-12-15T07:02:46+00:00,b184f11994c6345c0056acb989056bf927f86c40,-0.08556703536596699,-0.024928774928774988
2025Q1,2024-12-16,2024Q1,2024-03-16,2023Q4,2024-05-08,2023Q4,2023-12-15T07:02:46+00:00,b184f11994c6345c0056acb989056bf927f86c40,-0.060638260437192004,-0.025599128540304994
2025Q1,2024-12-16,2024Q2,2024-06-15,2024Q1,2024-08-06,2024Q1,2024-03-16T07:03:26+00:00,e52e4f1e697ec0d613d0f6380192c47fdb9ce04a,-0.05872325483299945,-0.012601375628785494
2025Q1,2024-12-16,2024Q3,2024-09-15,2024Q2,2024-11-07,2024Q2,2024-06-15T06:04:04+00:00,0d5ae5a1012fa721bd77a44fbcd40bb5d542ef94,-0.03403030563699838,-0.011586988241352625
2025Q2,2025-03-16,2022Q3,2022-09-15,2022Q2,2022-11-01,2022Q3,2022-09-14T06:03:44+00:00,55f13a3f26556fed0aec6d315c72daaa6dc51679,0.1238324260499426,0.04226765332998861
2025Q2,2025-03-16,2022Q4,2022-12-16,2022Q3,2023-02-14,2022Q4,2022-12-15T07:03:28+00:00,14d3f98f26414a4a46c9826fb24b8a6c66583586,-0.08962162249485539,-0.11623410426117342
