check,pass,detail
PR60 is ancestor of reviewed checkout,True,dd3aa1440b152b46fdee8c094875d178b802d74a
source hash: data/processed/forecast_methods/kernel_leadtime_v2/K2_recommended_prior.csv,True,
source hash: data/processed/forecast_methods/kernel_leadtime_v2/K2_leadtime_by_stay_month.csv,True,
source hash: data/processed/forecast_methods/kernel_leadtime_v2/K2_booked_date_coverage_by_month.csv,True,
source hash: data/processed/forecast_methods/kernel_leadtime_v2/K2_truncation_validation.csv,True,
source hash: data/processed/overnight/02_kpi_panel_quarterly.csv,True,
source hash: data/processed/overnight2/A/A2_market_interval_table.csv,True,
source hash: data/processed/overnight2/D/D1_cohort_matrix_stay.csv,True,
source hash: data/processed/overnight2/D/D1_rnpl_parameters.csv,True,
source hash: data/processed/govdata_v2/qtd75_pit.csv,True,
source hash: data/processed/govdata_v2/C_feature_panel.csv,True,
source hash: data/processed/q3nowcast_v2/E/market_vintage_monthly.csv,True,
source hash: data/processed/q3nowcast_v2/E/raw_manifest_vintage2023.csv,True,
source hash: data/processed/github_altdata/samples/hf-buenosaires-airbnb-reviews/buenos_aires_reviews_head_2023-03_dump.csv,True,
source hash: data/processed/github_altdata/samples/hf-buenosaires-airbnb-reviews/manifest.json,True,
source hash: data/processed/github_altdata/samples/bookingcom-multi-destination-trip-wsdm2021/manifest.json,True,
source hash: data/processed/github_altdata/samples/bookingcom-rectour24-accommodation-reviews/manifest.json,True,
source hash: data/processed/github_altdata/samples/brightdata-booking-listings-sample-1001/manifest.json,True,
source hash: data/processed/github_altdata/samples/sideye-boston-occupancy-tax-imputed-nights/long_date_booked.csv,True,
source hash: data/processed/github_altdata/samples/sideye-boston-occupancy-tax-imputed-nights/manifest.json,True,
source hash: data/processed/github_altdata/samples/sideye-boston-occupancy-tax-imputed-nights/long_reservation_date_by_month.csv,True,
source hash: data/processed/github_altdata/samples/pixelcrash-sync-rentals-ical-merger/allservices_events.csv,True,
source hash: data/processed/github_altdata/samples/pixelcrash-sync-rentals-ical-merger/manifest.json,True,
source hash: data/processed/github_altdata/samples/opportunity-insights-tracker/Affinity - National - Daily.csv,True,
source hash: data/processed/github_altdata/samples/opportunity-insights-tracker/manifest.json,True,
source hash: data/processed/github_altdata/samples/augustliu-bnpl-merchant-dataset/BNPL_Merchant_Adoption_Date.csv,True,
source hash: data/processed/github_altdata/samples/augustliu-bnpl-merchant-dataset/manifest.json,True,
source hash: data/processed/github_altdata/samples/augustliu-bnpl-merchant-dataset/public_company_panel_data_2015-2026.csv,True,
source hash: data/processed/github_altdata/samples/texas-comptroller-hotel-occupancy-tax/hotel_history_long.csv,True,
source hash: data/processed/github_altdata/samples/texas-comptroller-hotel-occupancy-tax/manifest.json,True,
source hash: data/processed/github_altdata/samples/aarushisingh-pead-investor-attention/manifest.json,True,
source hash: data/processed/github_altdata/samples/abhi2303shek-oyo-mumbai-price-snapshot/manifest.json,True,
source hash: data/processed/github_altdata/samples/airbnb-github-org/manifest.json,True,
source hash: data/processed/github_altdata/samples/asifmehdiyev-booking-reviews-timeseries-nb/manifest.json,True,
source hash: data/processed/github_altdata/samples/boston-str-monitor-2015-2019/manifest.json,True,
source hash: data/processed/github_altdata/samples/brightdata-booking-listings-hf/manifest.json,True,
source hash: data/processed/github_altdata/samples/bts-canada-border-crossings-plus-intercept-survey/manifest.json,True,
source hash: data/processed/github_altdata/samples/chicagoboothml-insideairbnb-2015-30cities/manifest.json,True,
source hash: data/processed/github_altdata/samples/crux-top-lists-monthly-csv/manifest.json,True,
source hash: data/processed/github_altdata/samples/databnb-10city-zillow-panel/manifest.json,True,
source hash: data/processed/github_altdata/samples/defeatbeta-api-yahoo-finance-hf/manifest.json,True,
source hash: data/processed/github_altdata/samples/dgunning-edgartools/manifest.json,True,
source hash: data/processed/github_altdata/samples/dolthub-post-no-preference-earnings-consensus-vintages/manifest.json,True,
source hash: data/processed/github_altdata/samples/dubai-det-tourism-csvs/manifest.json,True,
source hash: data/processed/github_altdata/samples/dwh-global-tourism-project/manifest.json,True,
source hash: data/processed/github_altdata/samples/ectsum-earnings-call-bullet-summaries/manifest.json,True,
source hash: data/processed/github_altdata/samples/edgar-corpus-10k-sections-1993-2020/manifest.json,True,
source hash: data/processed/github_altdata/samples/edgar-crawler-edgar-corpus/manifest.json,True,
source hash: data/processed/github_altdata/samples/edgar-crawler-item-section-extractor/manifest.json,True,
source hash: data/processed/github_altdata/samples/efebiskin-sec-form4-parser/manifest.json,True,
source hash: data/processed/github_altdata/samples/eurocontrol-daio-daily-flights/manifest.json,True,
source hash: data/processed/github_altdata/samples/fawazahmed0-fx-git-vintages/manifest.json,True,
source hash: data/processed/github_altdata/samples/fifa-wc2026-schedule-venues/manifest.json,True,
source hash: data/processed/github_altdata/samples/fifa-world-cup-2026-schedule/manifest.json,True,
source hash: data/processed/github_altdata/samples/gharchive-org-github-event-archive/manifest.json,True,
source hash: data/processed/github_altdata/samples/hf-bookingcom-accommodation-reviews/manifest.json,True,
source hash: data/processed/github_altdata/samples/istanbul-str-licensing-h3-2025/manifest.json,True,
source hash: data/processed/github_altdata/samples/joeydejager-nyc-2015/manifest.json,True,
source hash: data/processed/github_altdata/samples/lamini-earnings-calls-transcripts-2018-2023/manifest.json,True,
source hash: data/processed/github_altdata/samples/maec-multimodal-earnings-call-corpus/manifest.json,True,
source hash: data/processed/github_altdata/samples/montera34-barcelona-insideairbnb-2015-2019/manifest.json,True,
source hash: data/processed/github_altdata/samples/neshitov-la-inside-airbnb-2018/manifest.json,True,
source hash: data/processed/github_altdata/samples/nyc-airbnb-listings-2024-01-05/manifest.json,True,
source hash: data/processed/github_altdata/samples/opendigger-github-org-monthly-metrics/manifest.json,True,
source hash: data/processed/github_altdata/samples/pchitral-etl-sec-edgar-10k-mda-corpus/manifest.json,True,
source hash: data/processed/github_altdata/samples/pit-fundamentals-pit-harness/manifest.json,True,
source hash: data/processed/github_altdata/samples/python-edgar-full-index-stitcher/manifest.json,True,
source hash: data/processed/github_altdata/samples/qin-yang-earningscall-multimodal-2017/manifest.json,True,
source hash: data/processed/github_altdata/samples/sec-cik-mapper-cik-ticker-crosswalk/manifest.json,True,
source hash: data/processed/github_altdata/samples/sec-data-xbrl-quarterly-segment-builder/manifest.json,True,
source hash: data/processed/github_altdata/samples/secfsdstools-sec-financial-statement-datasets/manifest.json,True,
source hash: data/processed/github_altdata/samples/sumaksharikaa-earnings-call-finbert-sentiment/manifest.json,True,
source hash: data/processed/github_altdata/samples/talsan-ishares-etf-holdings-history/manifest.json,True,
source hash: data/processed/github_altdata/samples/tmasjc-vienna-berlin-2017-plus-downloader/manifest.json,True,
source hash: data/processed/github_altdata/samples/toronto-str-registration-git-scrape/manifest.json,True,
source hash: data/processed/github_altdata/samples/trade-copier-13f-berkshire-panel/manifest.json,True,
source hash: data/processed/github_altdata/samples/upgo-vancouver-str-compliance/manifest.json,True,
source hash: data/processed/github_altdata/samples/usamaislam70-viator-gyg-activity-data/manifest.json,True,
source hash: data/processed/github_altdata/samples/wikimedia-pageviews-attractions/manifest.json,True,
source hash: data/processed/github_altdata/samples/zenodo-gyodi-eu-airbnb-hotel-prices/manifest.json,True,
source hash: research/notes/github_altdata/catalog.csv,True,
