end,val,accn,fy,fp,form,filed,frame,unit,tag,entity
2017-12-31,1303498000,0001144204-19-010508,2018.0,FY,10-K,2019-02-27,CY2017Q4I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2018-12-31,1593219000,0001144204-19-010508,2018.0,FY,10-K,2019-02-27,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2018-12-31,1593219000,0001144204-19-025197,2019.0,Q1,10-Q,2019-05-10,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2018-12-31,1593219000,0001558370-19-007736,2019.0,Q2,10-Q,2019-08-08,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2018-12-31,1593219000,0001558370-19-010568,2019.0,Q3,10-Q,2019-11-08,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2018-12-31,1593219000,0001558370-20-001661,2019.0,FY,10-K,2020-02-27,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2018-12-31,1593219000,0001104659-20-056537,,,8-K,2020-05-05,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2018-12-31,1593219000,0001558370-20-008069,,,8-K,2020-07-08,CY2018Q4I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2019-03-31,2023227000,0001144204-19-025197,2019.0,Q1,10-Q,2019-05-10,CY2019Q1I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2019-06-30,2167271000,0001558370-19-007736,2019.0,Q2,10-Q,2019-08-08,CY2019Q2I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2019-09-30,1861636000,0001558370-19-010568,2019.0,Q3,10-Q,2019-11-08,CY2019Q3I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2019-12-31,1954980000,0001558370-20-001661,2019.0,FY,10-K,2020-02-27,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2019-12-31,1954980000,0001104659-20-056537,,,8-K,2020-05-05,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2019-12-31,1954980000,0001558370-20-006750,2020.0,Q1,10-Q,2020-05-15,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2019-12-31,1954980000,0001558370-20-008069,,,8-K,2020-07-08,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2019-12-31,1954980000,0001558370-20-010131,2020.0,Q2,10-Q,2020-08-10,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2019-12-31,1954980000,0001558370-20-013385,2020.0,Q3,10-Q,2020-11-09,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2019-12-31,1954980000,0001558370-21-001998,2020.0,FY,10-K,2021-02-26,CY2019Q4I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2020-03-31,1659527000,0001558370-20-006750,2020.0,Q1,10-Q,2020-05-15,CY2020Q1I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2020-06-30,1113374000,0001558370-20-010131,2020.0,Q2,10-Q,2020-08-10,CY2020Q2I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2020-09-30,1115632000,0001558370-20-013385,2020.0,Q3,10-Q,2020-11-09,CY2020Q3I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
