registry: 4109 rows across 69 objects
scoreboard: 276 rows -> scoreboard.csv, scoreboard.md
                             object       target window prior_basis  n        rmse  rmse_ratio_to_naive  cov_empirical  survives_both_windows
      mix_revenue_musd_parsimonious revenue_musd     W1         PIT 14   33.884250             0.360353       0.928571                   True
                      guide_cushion revenue_musd     W1         PIT 14   35.456508             0.377073       0.642857                   True
                   print_from_guide revenue_musd     W1         PIT 14   35.617155             0.378782       0.857143                   True
                 gbm_surprise_guide revenue_musd     W1         PIT 10   36.766172             0.339084       0.300000                   True
               mix_revenue_musd_all revenue_musd     W1         PIT 14   40.599855             0.431772       1.000000                   True
revenue_level_next_q_last3_ex_covid revenue_musd     W1         PIT 14   52.207377             0.555216       0.642857                   True
      revenue_level_next_q_ex_covid revenue_musd     W1         PIT 14   53.138808             0.565121       0.642857                   True
           mix_revenue_musd_noguide revenue_musd     W1         PIT 14   66.770818             0.710095       0.928571                   True
                print_kernel_policy revenue_musd     W1         PIT 14   72.005587             0.765766       1.000000                   True
         revenue_level_next_q_last3 revenue_musd     W1         PIT 14   72.005587             0.765766       0.785714                   True
               revenue_level_next_q revenue_musd     W1         PIT 14   78.126859             0.830865       0.785714                   True
                              naive revenue_musd     W1         PIT 14   94.030774             1.000000       0.928571                  False
                        gbm_revenue revenue_musd     W1         PIT 10  100.491318             0.926804       0.600000                   True
                             street revenue_musd     W1         PIT 14  100.903773             1.073093       0.785714                  False
                                ar1 revenue_musd     W1         PIT 14  103.541872             1.101149       0.285714                  False
                   revenue_level_h1 revenue_musd     W1         PIT 14  109.916910             1.168946       0.857143                  False
          revenue_level_next_q_w038 revenue_musd     W1         PIT 14  134.762673             1.433176       0.928571                  False
          revenue_level_next_q_w033 revenue_musd     W1         PIT 14  148.933759             1.583883       0.928571                  False
                          trailing4 revenue_musd     W1         PIT 14  169.849458             1.806318       0.857143                  False
                     naive_seasonal revenue_musd     W1         PIT 14  352.947183             3.753528       0.714286                  False
            revenue_contemporaneous revenue_musd     W1         PIT 10 1229.357287            11.338027       0.700000                  False
                print_kernel_policy revenue_musd     W1 full_sample 14   33.586203             0.357183       1.000000                   True
         revenue_level_next_q_last3 revenue_musd     W1 full_sample 14   33.586203             0.357183       1.000000                   True
revenue_level_next_q_last3_ex_covid revenue_musd     W1 full_sample 14   33.586203             0.357183       0.857143                   True
               mix_revenue_musd_all revenue_musd     W1 full_sample 14   34.527829             0.367197       1.000000                   True
                      guide_cushion revenue_musd     W1 full_sample 14   35.251553             0.374894       0.785714                   True
                   print_from_guide revenue_musd     W1 full_sample 14   35.627432             0.378891       1.000000                   True
           mix_revenue_musd_noguide revenue_musd     W1 full_sample 14   35.968990             0.382524       1.000000                   True
                 gbm_surprise_guide revenue_musd     W1 full_sample 14   36.419335             0.387313       0.214286                   True
      revenue_level_next_q_ex_covid revenue_musd     W1 full_sample 14   36.588704             0.389114       0.928571                   True
      mix_revenue_musd_parsimonious revenue_musd     W1 full_sample 14   38.675722             0.411309       1.000000                   True
               revenue_level_next_q revenue_musd     W1 full_sample 14   50.108182             0.532891       0.928571                   True
                        gbm_revenue revenue_musd     W1 full_sample 14   73.037172             0.776737       0.428571                   True
          revenue_level_next_q_w038 revenue_musd     W1 full_sample 14   77.793113             0.827315       1.000000                   True
                   revenue_level_h1 revenue_musd     W1 full_sample 14   80.817914             0.859484       0.857143                   True
                                ar1 revenue_musd     W1 full_sample 14   84.618274             0.899900       0.714286                   True
          revenue_level_next_q_w033 revenue_musd     W1 full_sample 14   85.462312             0.908876       1.000000                   True
                              naive revenue_musd     W1 full_sample 14   94.030774             1.000000       0.714286                  False
                             street revenue_musd     W1 full_sample 14  100.903773             1.073093       0.928571                  False
                          trailing4 revenue_musd     W1 full_sample 14  169.849458             1.806318       0.642857                  False
                     naive_seasonal revenue_musd     W1 full_sample 14  352.947183             3.753528       0.000000                  False
            revenue_contemporaneous revenue_musd     W1 full_sample 14 1027.448826            10.926729       0.642857                  False
               mix_revenue_musd_all revenue_musd     W2         PIT 10   33.922215             0.312855       1.000000                   True
                      guide_cushion revenue_musd     W2         PIT 10   34.596343             0.319073       0.600000                   True
                   print_from_guide revenue_musd     W2         PIT 10   35.864834             0.330772       0.800000                   True
      mix_revenue_musd_parsimonious revenue_musd     W2         PIT 10   36.037233             0.332362       0.900000                   True
                 gbm_surprise_guide revenue_musd     W2         PIT 10   36.766172             0.339084       0.300000                   True
revenue_level_next_q_last3_ex_covid revenue_musd     W2         PIT 10   51.188606             0.472099       0.700000                   True
      revenue_level_next_q_ex_covid revenue_musd     W2         PIT 10   52.513286             0.484316       0.700000                   True
           mix_revenue_musd_noguide revenue_musd     W2         PIT 10   63.596465             0.586533       0.900000                   True
                print_kernel_policy revenue_musd     W2         PIT 10   70.187013             0.647316       1.000000                   True
         revenue_level_next_q_last3 revenue_musd     W2         PIT 10   70.187013             0.647316       0.800000                   True
               revenue_level_next_q revenue_musd     W2         PIT 10   78.821437             0.726949       0.800000                   True
                             street revenue_musd     W2         PIT 10   94.492857             0.871482       0.700000                  False
                   revenue_level_h1 revenue_musd     W2         PIT 10   96.039609             0.885747       0.900000                  False
                        gbm_revenue revenue_musd     W2         PIT 10  100.491318             0.926804       0.600000                   True
                              naive revenue_musd     W2         PIT 10  108.427801             1.000000       0.900000                  False
                                ar1 revenue_musd     W2         PIT 10  109.443798             1.009370       0.400000                  False
                          trailing4 revenue_musd     W2         PIT 10  119.361993             1.100843       1.000000                  False
          revenue_level_next_q_w038 revenue_musd     W2         PIT 10  129.678946             1.195994       0.900000                  False
          revenue_level_next_q_w033 revenue_musd     W2         PIT 10  142.184303             1.311327       0.900000                  False
                     naive_seasonal revenue_musd     W2         PIT 10  337.801421             3.115450       0.600000                  False
            revenue_contemporaneous revenue_musd     W2         PIT 10 1229.357287            11.338027       0.700000                  False
           mix_revenue_musd_noguide revenue_musd     W2 full_sample 10   35.350821             0.326031       1.000000                   True
                print_kernel_policy revenue_musd     W2 full_sample 10   37.741245             0.348077       1.000000                   True
         revenue_level_next_q_last3 revenue_musd     W2 full_sample 10   37.741245             0.348077       1.000000                   True
revenue_level_next_q_last3_ex_covid revenue_musd     W2 full_sample 10   37.741245             0.348077       0.800000                   True
               mix_revenue_musd_all revenue_musd     W2 full_sample 10   38.180823             0.352131       1.000000                   True
