method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
gbv-joint-cohort-v1,primary-revenue,revenue_musd,2023Q4,2023-08-03,1,2149.610857977976,2149.610857977976,W1,PIT,7,8,,,,,,,,,,,,,,,2023-08-03,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-revenue,revenue_musd,2024Q1,2023-11-01,1,2127.0278874689525,2127.0278874689525,W1,PIT,7,9,,,,,,,,,,,,,,,2023-11-01,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-revenue,revenue_musd,2024Q1,2023-11-01,1,2127.0278874689525,2127.0278874689525,W2,PIT,7,9,,,,,,,,,,,,,,,2023-11-01,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-revenue,revenue_musd,2024Q2,2024-02-13,1,2823.6515057127376,2823.6515057127376,W1,PIT,7,10,,,,,,,,,,,,,,,2024-02-13,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-revenue,revenue_musd,2024Q2,2024-02-13,1,2823.6515057127376,2823.6515057127376,W2,PIT,7,10,,,,,,,,,,,,,,,2024-02-13,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-revenue,revenue_musd,2024Q3,2024-05-08,1,3785.895281059204,3785.895281059204,W1,PIT,7,11,,,,,,,,,,,,,,,2024-05-08,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-revenue,revenue_musd,2024Q3,2024-05-08,1,3785.895281059204,3785.895281059204,W2,PIT,7,11,,,,,,,,,,,,,,,2024-05-08,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-revenue,revenue_musd,2024Q4,2024-08-06,1,2463.2069226796666,2463.2069226796666,W1,PIT,7,12,,,,,,,,,,,,,,,2024-08-06,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-revenue,revenue_musd,2024Q4,2024-08-06,1,2463.2069226796666,2463.2069226796666,W2,PIT,7,12,,,,,,,,,,,,,,,2024-08-06,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-revenue,revenue_musd,2025Q1,2024-11-07,1,2313.127306070741,2313.127306070741,W1,PIT,7,13,,,,,,,,,,,,,,,2024-11-07,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-revenue,revenue_musd,2025Q1,2024-11-07,1,2313.127306070741,2313.127306070741,W2,PIT,7,13,,,,,,,,,,,,,,,2024-11-07,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-revenue,revenue_musd,2025Q2,2025-02-13,1,3136.028300906772,3136.028300906772,W1,PIT,7,14,,,,,,,,,,,,,,,2025-02-13,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-revenue,revenue_musd,2025Q2,2025-02-13,1,3136.028300906772,3136.028300906772,W2,PIT,7,14,,,,,,,,,,,,,,,2025-02-13,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-revenue,revenue_musd,2025Q3,2025-05-01,1,4004.2966822483327,4004.2966822483327,W1,PIT,7,15,,,,,,,,,,,,,,,2025-05-01,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
