metric,scenario,quarter,vintage,phi1,phi2,phi3,lambda1,lambda2,lambda3,lambda4,training_loss,train_n,train_quarters,free_parameters
passenger_ticket_revenue_usd_m,primary_include_2022,2023Q1,2023-02-28T12:00:00+00:00,0.1,0.4,0.5,0.603328722414,0.758748142985,0.875512445267,0.550501336074,0.00790285679919,18,2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2022Q4,6
passenger_ticket_revenue_usd_m,primary_include_2022,2023Q2,2023-05-01T11:30:00+00:00,0,0.1,0.9,0.559899030363,0.763773612572,0.965520215091,0.574042919452,0.00798008964667,19,2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2022Q4;2023Q1,6
passenger_ticket_revenue_usd_m,primary_include_2022,2023Q3,2023-08-01T11:30:00+00:00,0,0,1,0.553915116107,0.737717401499,0.987267809884,0.582151867319,0.00876971103936,20,2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2022Q4;2023Q1;2023Q2,6
passenger_ticket_revenue_usd_m,primary_include_2022,2023Q4,2023-11-01T11:30:00+00:00,0,0,1,0.553915116107,0.737717401499,0.927591282154,0.582151867319,0.014489208944,21,2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2022Q4;2023Q1;2023Q2;2023Q3,6
passenger_ticket_revenue_usd_m,primary_include_2022,2024Q1,2024-02-27T12:30:00+00:00,0.1,0,0.9,0.560516768062,0.722017571687,0.894038986458,0.558692272155,0.0185322379786,22,2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4,6
passenger_ticket_revenue_usd_m,primary_include_2022,2024Q2,2024-05-01T11:30:00+00:00,0.1,0,0.9,0.540441741794,0.722017571687,0.894038986458,0.558692272155,0.0200856347758,23,2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1,6
passenger_ticket_revenue_usd_m,primary_include_2022,2024Q3,2024-07-31T11:30:00+00:00,0.1,0,0.9,0.540441741794,0.689754228369,0.894038986458,0.558692272155,0.023284621669,24,2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2,6
passenger_ticket_revenue_usd_m,primary_include_2022,2024Q4,2024-10-31T11:00:00+00:00,0.3,0,0.7,0.55339477981,0.661859828679,0.793853897412,0.558396355707,0.0267283927564,25,2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3,6
passenger_ticket_revenue_usd_m,primary_include_2022,2025Q1,2025-02-27T11:30:00+00:00,0.5,0,0.5,0.567357600725,0.636543150224,0.746029794776,0.540526585566,0.0289391570458,26,2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4,6
passenger_ticket_revenue_usd_m,primary_include_2022,2025Q2,2025-04-30T10:30:00+00:00,0.7,0,0.3,0.560496792231,0.613429911007,0.703799500893,0.542194581091,0.0312400102541,27,2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1,6
