issuer,metric,quarter,season,lambda_pct,phi1,phi2,phi3,weight_fit_cutoff,weight_train_n,evidence_status
NCLH,passenger_ticket_revenue_usd_m,2023Q1,1,48.0361975918,1,0,0,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,passenger_ticket_revenue_usd_m,2023Q2,2,46.5364148735,1,0,0,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,passenger_ticket_revenue_usd_m,2023Q3,3,51.8145465599,1,0,0,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,passenger_ticket_revenue_usd_m,2023Q4,4,44.9555185345,1,0,0,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,passenger_ticket_revenue_usd_m,2024Q1,1,47.6959589841,1,0,0,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,passenger_ticket_revenue_usd_m,2024Q2,2,44.1378877138,1,0,0,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,passenger_ticket_revenue_usd_m,2024Q3,3,51.4649313769,1,0,0,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,passenger_ticket_revenue_usd_m,2024Q4,4,44.7987111817,1,0,0,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,passenger_ticket_revenue_usd_m,2025Q1,1,45.6761250291,1,0,0,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,passenger_ticket_revenue_usd_m,2025Q2,2,45.424474039,1,0,0,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,passenger_ticket_revenue_usd_m,2025Q3,3,53.4710305117,1,0,0,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,passenger_ticket_revenue_usd_m,2025Q4,4,47.9854420378,1,0,0,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,total_revenue_usd_m,2023Q1,1,72.9362240637,0.9,0,0.1,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,total_revenue_usd_m,2023Q2,2,71.4101389101,0.9,0,0.1,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,total_revenue_usd_m,2023Q3,3,77.7247776356,0.9,0,0.1,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,total_revenue_usd_m,2023Q4,4,66.5155264708,0.9,0,0.1,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,total_revenue_usd_m,2024Q1,1,70.9320197058,0.9,0,0.1,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,total_revenue_usd_m,2024Q2,2,66.5819821449,0.9,0,0.1,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,total_revenue_usd_m,2024Q3,3,75.7046343786,0.9,0,0.1,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,total_revenue_usd_m,2024Q4,4,66.0601689626,0.9,0,0.1,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,total_revenue_usd_m,2025Q1,1,67.0458747803,0.9,0,0.1,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,total_revenue_usd_m,2025Q2,2,68.0314682735,0.9,0,0.1,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,total_revenue_usd_m,2025Q3,3,78.1214242331,0.9,0,0.1,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
NCLH,total_revenue_usd_m,2025Q4,4,69.953703203,0.9,0,0.1,2023-01-01T00:00:00+00:00,17,realized_full_sample_diagnostic_frozen_pre2023_weights
