ticker,exchange,q,date,call_date,transcript_chars
BILI,NASDAQ: BILI,2020-Q2,"Aug 27, 2020, 9:00 p.m. ET",2020-08-27,35736
GFF,NYSE: GFF,2020-Q3,"Jul 30, 2020, 4:30 p.m. ET",2020-07-30,29761
LRCX,NASDAQ: LRCX,2020-Q1,"Oct 23, 2019, 5:00 p.m. ET",2019-10-23,53094
BBSI,NASDAQ: BBSI,2019-Q3,"Nov 6, 2019, 12:00 p.m. ET",2019-11-06,47532
CSTE,NASDAQ: CSTE,2019-Q2,"Aug 7, 2019, 8:30 a.m. ET",2019-08-07,27273
GDOT,NYSE: GDOT,2020-Q3,"Nov 4, 2020, 5:00 p.m. ET",2020-11-04,49767
KAR,NYSE: KAR,2020-Q2,"Aug 5, 2020, 8:30 a.m. ET",2020-08-05,63292
EPAC,NYSE: EPAC,2021-Q2,"Mar 24, 2021, 11:00 a.m. ET",2021-03-24,55857
ABM,NYSE: ABM,2021-Q2,"Jun 9, 2021, 8:30 a.m. ET",2021-06-09,55654
SGHC,NYSE: SGHC,2022-Q2,"Aug 11, 2022, 8:30 a.m. ET",2022-08-11,31834
WDR,NYSE: WDR,2020-Q2,"Jul 28, 2020, 10:00 a.m. ET",2020-07-28,53130
SJM,NYSE: SJM,2022-Q1,"Aug 26, 2021, 9:00 a.m. ET",2021-08-26,36852
URBN,NASDAQ: URBN,2022-Q3,"Nov 22, 2021, 5:15 p.m. ET",2021-11-22,44211
HESM,NYSE: HESM,2019-Q3,"Oct 30, 2019, 12:00 p.m. ET",2019-10-30,19488
SPOK,NASDAQ: SPOK,2020-Q2,"Jul 30, 2020, 10:00 a.m. ET",2020-07-30,48995
TSM,NYSE: TSM,2020-Q4,"Jan 14, 2021, 1:00 a.m. ET",2021-01-14,72998
MYOV,NYSE: MYOV,2020-Q3,"Feb 11, 2021, 8:30 a.m. ET",2021-02-11,58455
GNW,NYSE: GNW,2020-Q4,"Feb 17, 2021, 9:00 a.m. ET",2021-02-17,51368
WPP,NYSE: WPP,2022-Q1,"Apr 27, 2022, 4:30 a.m. ET",2022-04-27,66680
DXCM,NASDAQ: DXCM,2019-Q3,"Nov 06, 2019, 4:30 p.m. ET",2019-11-06,51584
