quarter,region,backout_musd,q3_musd,q4_over_q3,within_40pct_of_q3,region_mean_q4_over_q3,rel_dev_from_region_mean,within_15pct_of_region_mean
4Q22,apac,193.0,156.0,1.2372,True,1.2411,-0.0032,True
4Q22,emea,556.0,1263.0,0.4402,False,0.4545,-0.0315,True
4Q22,latam,189.0,139.0,1.3597,True,1.4109,-0.0363,True
4Q22,na,964.0,1326.0,0.727,True,0.7118,0.0214,True
4Q23,apac,244.0,208.0,1.1731,True,1.2411,-0.0548,True
4Q23,emea,683.0,1533.0,0.4455,False,0.4545,-0.0198,True
4Q23,latam,248.0,178.0,1.3933,True,1.4109,-0.0125,True
4Q23,na,1043.0,1478.0,0.7057,True,0.7118,-0.0086,True
4Q24,apac,297.0,235.0,1.2638,True,1.2411,0.0183,True
4Q24,emea,794.0,1726.0,0.46,False,0.4545,0.0121,True
4Q24,latam,278.0,199.0,1.397,True,1.4109,-0.0099,True
4Q24,na,1111.0,1572.0,0.7067,True,0.7118,-0.0072,True
4Q25,apac,351.0,272.0,1.2904,True,1.2411,0.0397,True
4Q25,emea,930.0,1969.0,0.4723,False,0.4545,0.0392,True
4Q25,latam,351.0,235.0,1.4936,False,1.4109,0.0586,True
4Q25,na,1146.0,1619.0,0.7078,True,0.7118,-0.0056,True
