# L0_vintage_register.csv -- NEW consensus value register (Card 0 file 3).
# This does NOT replace data/processed/overnight/20_vintage_register.csv, which is a
# series-lineage register with an incompatible schema and is left untouched.
# HARD RULE: the 6 Aug 2026 pre-guide 3Q26 Street is LSEG $4,610M (role=pre_guide).
# Zacks $4,740M is a 2026-09-04 vintage and must never be used as the 6 Aug pre-guide value.
# pit_usable == False means vintage_unknown or value missing: excluded from every PIT use.
register_id,vendor,period,metric,value,unit,n_estimates,as_of_timestamp,url,source_path,role,pit_usable,vendor_attributed,note
AP-2020Q4-revenue,Yahoo/unattributed,2020Q4,revenue,739.7,musd,,2021-02-25,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,False,consensus quoted on the print-day article; confidence=medium
AP-2020Q4-eps_adj,vendor_not_recorded,2020Q4,eps_adj,-8.4,usd,,2021-02-25,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=medium
AP-2020Q4-adj_ebitda,vendor_not_recorded,2020Q4,adj_ebitda,-132.8,musd,,2021-02-25,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=medium
AP-2021Q1-revenue,Refinitiv,2021Q1,revenue,714.4,musd,,2021-05-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2021Q1-eps_adj,vendor_not_recorded,2021Q1,eps_adj,-1.07,usd,,2021-05-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2021Q1-nights,vendor_not_recorded,2021Q1,nights,62.5,m_nights,,2021-05-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2021Q1-gbv,vendor_not_recorded,2021Q1,gbv,7.87,busd,,2021-05-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2021Q2-revenue,Refinitiv,2021Q2,revenue,1260.0,musd,,2021-08-12,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2021Q2-eps_adj,vendor_not_recorded,2021Q2,eps_adj,-0.41,usd,,2021-08-12,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2021Q2-nights,vendor_not_recorded,2021Q2,nights,79.2,m_nights,,2021-08-12,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2021Q2-gbv,vendor_not_recorded,2021Q2,gbv,11.56,busd,,2021-08-12,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2021Q3-revenue,Refinitiv,2021Q3,revenue,2050.0,musd,,2021-11-04,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2021Q3-nights,vendor_not_recorded,2021Q3,nights,80.8,m_nights,,2021-11-04,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2021Q3-gbv,vendor_not_recorded,2021Q3,gbv,12.31,busd,,2021-11-04,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2021Q4-revenue,,2021Q4,revenue,,musd,,,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,False,False,vintage_unknown: no contemporaneous next-quarter consensus retrievable; excluded from PIT use
AP-2021Q4-revenue,Refinitiv,2021Q4,revenue,1460.0,musd,,2022-02-15,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=medium
AP-2021Q4-eps_adj,vendor_not_recorded,2021Q4,eps_adj,0.03,usd,,2022-02-15,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=medium
AP-2021Q4-nights,vendor_not_recorded,2021Q4,nights,74.96,m_nights,,2022-02-15,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=medium
AP-2021Q4-gbv,vendor_not_recorded,2021Q4,gbv,11.08,busd,,2022-02-15,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=medium
PG-2022Q1-revenue,CNBC unattributed,2022Q1,revenue,1240.0,musd,,2022-02-15,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,False,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2022Q1-revenue,Refinitiv,2022Q1,revenue,1450.0,musd,,2022-05-03,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2022Q1-eps_adj,vendor_not_recorded,2022Q1,eps_adj,-0.29,usd,,2022-05-03,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2022Q1-nights,vendor_not_recorded,2022Q1,nights,100.87,m_nights,,2022-05-03,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2022Q1-gbv,vendor_not_recorded,2022Q1,gbv,16.54,busd,,2022-05-03,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2022Q2-revenue,CNBC unattributed,2022Q2,revenue,1960.0,musd,,2022-05-03,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,False,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2022Q2-revenue,Refinitiv,2022Q2,revenue,2110.0,musd,,2022-08-02,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2022Q2-eps_adj,vendor_not_recorded,2022Q2,eps_adj,0.43,usd,,2022-08-02,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2022Q2-nights,vendor_not_recorded,2022Q2,nights,106.4,m_nights,,2022-08-02,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2022Q3-revenue,StreetAccount,2022Q3,revenue,2770.0,musd,,2022-08-02,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2022Q3-revenue,Refinitiv,2022Q3,revenue,2800.0,musd,,2022-11-01,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=medium
AP-2022Q3-eps_adj,vendor_not_recorded,2022Q3,eps_adj,1.4229,usd,,2022-11-01,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=medium
PG-2022Q4-revenue,Refinitiv,2022Q4,revenue,1850.0,musd,,2022-11-01,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2022Q4-revenue,Refinitiv,2022Q4,revenue,1860.0,musd,,2023-02-14,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2022Q4-eps_adj,vendor_not_recorded,2022Q4,eps_adj,0.25,usd,,2023-02-14,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2022Q4-adj_ebitda,vendor_not_recorded,2022Q4,adj_ebitda,432.0,musd,,2023-02-14,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2022Q4-nights,vendor_not_recorded,2022Q4,nights,89.7,m_nights,,2023-02-14,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
PG-2023Q1-revenue,Refinitiv,2023Q1,revenue,1690.0,musd,,2023-02-14,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
AP-2023Q1-revenue,Refinitiv,2023Q1,revenue,1790.0,musd,,2023-05-09,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
AP-2023Q1-eps_adj,vendor_not_recorded,2023Q1,eps_adj,0.09,usd,,2023-05-09,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high
