# L0_interval_observations.csv -- HARD RULES
# 1. basis == 'derived' rows (included == False) are EXCLUDED from every likelihood, in every package. They are a residual-to-total construction, not a disclosure.
# 2. Every row is an INTERVAL [lo, hi]. Never enter a band as its midpoint: the nights band-midpoint bias measured here is 0.1689pp on average and 0.9092pp over the last two quarters.
# 3. Letter integers are scored on [x-0.5, x+0.5]; the 22 stated-integer regional nights cells are rounding intervals, not equalities.
# 4. scoreable == False marks LIVE guides (3Q26 / FY2026) which enter no metric or gate.
obs_id,quarter_or_year,region,metric,lo,hi,unit,basis,phrase_kind,included,scoreable,point_reported,source_path,source_quote_id,knowable_from,note
B3-3Q22-na-nights_yoy_pct,3Q22,na,nights_yoy_pct,19.5,20.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,3Q22:na_phrase,2022-11-01,increasing 20% above the level achieved in the same quarter of 2021
B3-3Q22-emea-nights_yoy_pct,3Q22,emea,nights_yoy_pct,19.5,20.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,3Q22:emea_phrase,2022-11-01,grew 20% compared to Q3 2021
B3-3Q22-latam-nights_yoy_pct,3Q22,latam,nights_yoy_pct,32.5,33.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,3Q22:latam_phrase,2022-11-01,33% higher than Q3 2021
B3-3Q22-apac-nights_yoy_pct,3Q22,apac,nights_yoy_pct,64.5,65.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,3Q22:apac_phrase,2022-11-01,APAC increased the most with 65% more Nights
B2-4Q22-na-nights_yoy_pct,4Q22,na,nights_yoy_pct,5.2783,9.2783,pct,derived,derived_residual,False,True,,data/processed/overnight/10_regional_panel_quarterly.csv,4Q22:na_phrase,2023-02-14,remained strong with continued growth; cross-border to NA +35%
B3-4Q22-emea-nights_yoy_pct,4Q22,emea,nights_yoy_pct,24.5,25.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,4Q22:emea_phrase,2023-02-14,grew 25% compared to Q4 2021
B3-4Q22-latam-nights_yoy_pct,4Q22,latam,nights_yoy_pct,22.5,23.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,4Q22:latam_phrase,2023-02-14,23% higher than Q4 2021
B3-4Q22-apac-nights_yoy_pct,4Q22,apac,nights_yoy_pct,39.5,40.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,4Q22:apac_phrase,2023-02-14,40% growth compared to a year ago
B2-1Q23-na-nights_yoy_pct,1Q23,na,nights_yoy_pct,1.7694,5.7694,pct,derived,derived_residual,False,True,,data/processed/overnight/10_regional_panel_quarterly.csv,1Q23:na_phrase,2023-05-09,stable growth compared to the prior quarter; cross-border to NA +34%
B3-1Q23-emea-nights_yoy_pct,1Q23,emea,nights_yoy_pct,20.5,21.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,1Q23:emea_phrase,2023-05-09,grew 21% compared to Q1 2022; ADR +8%
B3-1Q23-latam-nights_yoy_pct,1Q23,latam,nights_yoy_pct,21.5,22.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,1Q23:latam_phrase,2023-05-09,22% higher than Q1 2022
B3-1Q23-apac-nights_yoy_pct,1Q23,apac,nights_yoy_pct,47.5,48.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,1Q23:apac_phrase,2023-05-09,Asia Pacific once again increased the most with 48% growth
B2-2Q23-na-nights_yoy_pct,2Q23,na,nights_yoy_pct,-1.0498,2.9502,pct,derived,derived_residual,False,True,,data/processed/overnight/10_regional_panel_quarterly.csv,2Q23:na_phrase,2023-08-03,acceleration in y/y growth compared to the prior quarter; ADR -1%
B2-2Q23-emea-nights_yoy_pct,2Q23,emea,nights_yoy_pct,9.9402,13.9402,pct,derived,derived_residual,False,True,,data/processed/overnight/10_regional_panel_quarterly.csv,2Q23:emea_phrase,2023-08-03,"hard comparison, deceleration relative to Q1 2023; ADR +8%"
B3-2Q23-latam-nights_yoy_pct,2Q23,latam,nights_yoy_pct,21.5,22.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,2Q23:latam_phrase,2023-08-03,22% higher than Q2 2022
B3-2Q23-apac-nights_yoy_pct,2Q23,apac,nights_yoy_pct,23.5,24.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,2Q23:apac_phrase,2023-08-03,24% year-over-year growth
B2-3Q23-na-nights_yoy_pct,3Q23,na,nights_yoy_pct,5.6239,9.6239,pct,derived,derived_residual,False,True,,data/processed/overnight/10_regional_panel_quarterly.csv,3Q23:na_phrase,2023-11-01,modest acceleration compared to the prior quarter; ADR -1%
B2-3Q23-emea-nights_yoy_pct,3Q23,emea,nights_yoy_pct,8.5439,12.5439,pct,derived,derived_residual,False,True,,data/processed/overnight/10_regional_panel_quarterly.csv,3Q23:emea_phrase,2023-11-01,sequential improvement in the y/y growth rate; ADR ex-FX +6%
B3-3Q23-latam-nights_yoy_pct,3Q23,latam,nights_yoy_pct,23.5,24.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,3Q23:latam_phrase,2023-11-01,24% higher than Q3 2022
B3-3Q23-apac-nights_yoy_pct,3Q23,apac,nights_yoy_pct,26.5,27.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,3Q23:apac_phrase,2023-11-01,sequential acceleration in y/y growth of 27%
B2-4Q23-na-nights_yoy_pct,4Q23,na,nights_yoy_pct,1.6542,5.6542,pct,derived,derived_residual,False,True,,data/processed/overnight/10_regional_panel_quarterly.csv,4Q23:na_phrase,2024-02-13,continued solid growth; ADR flat (-2% ex-FX and mix)
B2-4Q23-emea-nights_yoy_pct,4Q23,emea,nights_yoy_pct,10.2942,14.2942,pct,derived,derived_residual,False,True,,data/processed/overnight/10_regional_panel_quarterly.csv,4Q23:emea_phrase,2024-02-13,stable growth compared to the prior quarter; ADR ex-FX +6%
B3-4Q23-latam-nights_yoy_pct,4Q23,latam,nights_yoy_pct,21.5,22.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,4Q23:latam_phrase,2024-02-13,22% higher than Q4 2022
B3-4Q23-apac-nights_yoy_pct,4Q23,apac,nights_yoy_pct,21.5,22.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,4Q23:apac_phrase,2024-02-13,increased 22% on a year-over-year basis
B2-1Q24-na-nights_yoy_pct,1Q24,na,nights_yoy_pct,-2.0671,1.9329,pct,derived,derived_residual,False,True,,data/processed/overnight/10_regional_panel_quarterly.csv,1Q24:na_phrase,2024-05-08,domestic travel was stable; ADR +3% (flat ex-FX and mix)
B2-1Q24-emea-nights_yoy_pct,1Q24,emea,nights_yoy_pct,8.0029,12.0029,pct,derived,derived_residual,False,True,,data/processed/overnight/10_regional_panel_quarterly.csv,1Q24:emea_phrase,2024-05-08,relative strength in non-urban and group; ADR +7% (+4% ex-FX and mix)
B3-1Q24-latam-nights_yoy_pct,1Q24,latam,nights_yoy_pct,18.5,19.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,1Q24:latam_phrase,2024-05-08,grew 19% in Q1 2024
B3-1Q24-apac-nights_yoy_pct,1Q24,apac,nights_yoy_pct,20.5,21.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,1Q24:apac_phrase,2024-05-08,increased 21% on a year-over-year basis
B2-2Q24-na-nights_yoy_pct,2Q24,na,nights_yoy_pct,2.1208,6.1208,pct,derived,derived_residual,False,True,,data/processed/overnight/10_regional_panel_quarterly.csv,2Q24:na_phrase,2024-08-06,slight acceleration of y/y growth relative to Q1 2024; ADR +4% (+1% ex-FX and mix)
B2-2Q24-emea-nights_yoy_pct,2Q24,emea,nights_yoy_pct,3.7608,7.7608,pct,derived,derived_residual,False,True,,data/processed/overnight/10_regional_panel_quarterly.csv,2Q24:emea_phrase,2024-08-06,relatively stable y/y growth compared to the prior quarter; ADR +4% (+3%)
B3-2Q24-latam-nights_yoy_pct,2Q24,latam,nights_yoy_pct,16.5,17.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,2Q24:latam_phrase,2024-08-06,grew 17% in Q2 2024
B3-2Q24-apac-nights_yoy_pct,2Q24,apac,nights_yoy_pct,18.5,19.5,pct,letter_integer,stated_integer_rounding,True,True,,data/processed/overnight/10_regional_panel_quarterly.csv,2Q24:apac_phrase,2024-08-06,increased 19% on a year-over-year basis
B2-3Q24-na-nights_yoy_pct,3Q24,na,nights_yoy_pct,1.3468,5.3468,pct,derived,derived_residual,False,True,,data/processed/overnight/10_regional_panel_quarterly.csv,3Q24:na_phrase,2024-11-07,continued growth on a y/y basis; ADR +3% (+1% ex-FX and mix)
B2-3Q24-emea-nights_yoy_pct,3Q24,emea,nights_yoy_pct,4.5768,8.5768,pct,derived,derived_residual,False,True,,data/processed/overnight/10_regional_panel_quarterly.csv,3Q24:emea_phrase,2024-11-07,"slight acceleration compared to the prior quarter, buoyed by the Paris Games; ADR +6% (+3%)"
