w,season,lambda_pct,n_cells
0.2,1,11.899471644945102,4
0.2,2,16.367697422150115,4
0.2,3,16.75377884099457,3
0.2,4,11.804465780170089,3
0.33,1,12.110405107210056,4
0.33,2,15.529642033560645,4
0.33,3,16.886121192044477,3
0.33,4,11.866317523279372,3
0.38,1,12.19357168902782,4
0.38,2,15.229886724925514,4
0.38,3,16.93761242790701,3
0.38,4,11.890292917190413,3
0.5,1,12.397991745816954,4
0.5,2,14.555898208305333,4
0.5,3,17.062556689342404,3
0.5,4,11.948261909301204,3
0.6667,1,12.693760461377732,4
0.6667,2,13.713589209498897,4
0.6667,3,17.239361851242432,3
0.6667,4,12.029792635176292,3
0.8,1,12.940928144498239,4
0.8,2,13.107190017008314,4
0.8,3,17.38362463614771,3
0.8,4,12.095886499700631,3
