q,season,fx_pts_revenue,fx_pts_adr,adr_fx_l1,adr_fx_l2,wedge,lam,lam_dev_pct
2021Q1,1,2.0,,,,,13.411825187619387,4.090547118985066
2021Q2,2,,,,,,15.109957480843743,8.216677389660877
2021Q3,3,3.0,,,,,18.088948787061994,4.312613742978999
2021Q4,4,-1.0,,,,,12.35483870967742,2.47469059756964
2022Q1,1,-4.0,,,,,13.121739130434783,1.839159557521164
2022Q2,2,-6.0,-5.6,,,,13.811816192560176,-1.0805385143865864
2022Q3,3,-7.0,-7.1,-5.6,,,16.898437500000004,-2.55264667131202
2022Q4,4,-7.0,-5.5,-7.1,-5.6,-0.40000000000000036,11.83817427385892,-1.8106772204494859
2023Q1,1,-4.0,-2.8,-5.5,-7.1,2.033333333333333,12.80281690140845,-0.6360284831343099
2023Q2,2,-1.0,-0.6,-2.8,-5.5,2.7,13.723756906077348,-1.7112142398846508
2023Q3,3,4.0,2.7,-0.6,-2.8,5.333333333333333,17.390784982935156,0.2865483211286657
2023Q4,4,3.0,2.1,2.7,-0.6,1.4,11.946140035906643,-0.9151772207364184
2024Q1,1,0.0,0.6,2.1,2.7,-2.3,13.03448275862069,1.1619539307932802
2024Q2,2,0.0,-0.9,0.6,2.1,-1.1,13.448613376835237,-3.681776935219494
2024Q3,3,0.0,-0.6,-0.9,0.6,0.39999999999999997,17.145482388973967,-1.128025573421032
2024Q4,4,0.0,-1.1,-0.6,-0.9,0.7,12.117263843648209,0.5041743114255759
2025Q1,1,-2.0,-1.9,-1.1,-0.6,-1.0666666666666667,12.325497287522605,-4.340554829471166
2025Q2,2,0.0,1.9,-1.9,-1.1,1.6333333333333333,13.945945945945946,-0.11990866027187241
2025Q3,3,0.0,2.7,1.9,-1.9,-0.6333333333333332,17.18181818181818,-0.9184898193746571
2025Q4,4,1.0,2.9,2.7,1.9,-1.4333333333333336,12.025974025974026,-0.2530104678093559
2026Q1,1,3.0,5.0,2.9,2.7,0.16666666666666696,12.612244897959183,-2.1150772946940344
2026Q2,2,4.0,1.3,5.0,2.9,-0.2999999999999998,13.736040609137056,-1.6232390398982721
