symbol,report_date,open,close,high,low
AED=X,2023-01-02,3.6721,3.6721,3.6721,3.6704
AED=X,2023-01-03,3.6717,3.6717,3.6728,3.6715
AED=X,2023-01-04,3.672,3.672,3.6728,3.6712
AED=X,2023-01-05,3.672,3.672,3.6729,3.6718
AED=X,2023-01-06,3.672,3.672,3.6729,3.6718
AED=X,2023-01-09,3.6724,3.6724,3.6729,3.6713
AED=X,2023-01-10,3.672,3.672,3.6726,3.6718
AED=X,2023-01-11,3.6719,3.6719,3.6729,3.6719
AED=X,2023-01-12,3.6719,3.6719,3.6729,3.672
AED=X,2023-01-13,3.672,3.672,3.6729,3.6719
AED=X,2023-01-16,3.6726,3.6726,3.6726,3.672
AED=X,2023-01-17,3.6721,3.6721,3.6729,3.672
AED=X,2023-01-18,3.6728,3.6728,3.6729,3.6719
AED=X,2023-01-19,3.6721,3.6721,3.6729,3.672
AED=X,2023-01-20,3.6721,3.6721,3.6726,3.672
AED=X,2023-01-23,3.6726,3.6726,3.6729,3.6719
AED=X,2023-01-24,3.6721,3.6721,3.6729,3.6719
AED=X,2023-01-25,3.6721,3.6721,3.6729,3.672
AED=X,2023-01-26,3.6721,3.6721,3.6729,3.672
AED=X,2023-01-27,3.6721,3.6721,3.6729,3.672
AED=X,2023-01-30,3.6725,3.6725,3.6729,3.6719
AED=X,2023-01-31,3.6721,3.6721,3.6729,3.672
AED=X,2023-02-01,3.6721,3.6721,3.6729,3.672
AED=X,2023-02-02,3.6721,3.6721,3.6729,3.672
AED=X,2023-02-03,3.6721,3.6721,3.6729,3.6719
AED=X,2023-02-06,3.6726,3.6726,3.6729,3.6719
AED=X,2023-02-07,3.6721,3.6721,3.6729,3.6721
AED=X,2023-02-08,3.6721,3.6721,3.6729,3.672
AED=X,2023-02-09,3.6729,3.6729,3.6729,3.6721
AED=X,2023-02-10,3.6721,3.6721,3.6729,3.6719
AED=X,2023-02-13,3.6726,3.6726,3.6729,3.6719
AED=X,2023-02-14,3.6721,3.6721,3.6729,3.672
AED=X,2023-02-15,3.6729,3.6729,3.6729,3.6721
AED=X,2023-02-16,3.6721,3.6721,3.6729,3.672
AED=X,2023-02-17,3.6728,3.6728,3.6729,3.6721
AED=X,2023-02-20,3.672,3.672,3.6725,3.672
AED=X,2023-02-21,3.6721,3.6721,3.6729,3.672
AED=X,2023-02-22,3.6721,3.6721,3.6729,3.672
AED=X,2023-02-23,3.6721,3.6721,3.6726,3.6721
AED=X,2023-02-24,3.6721,3.6721,3.6729,3.6719
AED=X,2023-02-27,3.6725,3.6725,3.6729,3.6719
AED=X,2023-02-28,3.6721,3.6721,3.6728,3.6718
AED=X,2023-03-01,3.6721,3.6721,3.6729,3.6718
AED=X,2023-03-02,3.6721,3.6721,3.6729,3.6719
AED=X,2023-03-03,3.6721,3.6721,3.6729,3.6718
AED=X,2023-03-06,3.6725,3.6725,3.6725,3.6718
AED=X,2023-03-07,3.6721,3.6721,3.6729,3.6718
AED=X,2023-03-08,3.6721,3.6721,3.6729,3.6716
AED=X,2023-03-09,3.6721,3.6721,3.6729,3.6716
AED=X,2023-03-10,3.6721,3.6721,3.6729,3.6716
AED=X,2023-03-13,3.6722,3.6722,3.6729,3.6717
AED=X,2023-03-14,3.672,3.672,3.6729,3.6718
AED=X,2023-03-15,3.672,3.672,3.6729,3.6717
AED=X,2023-03-16,3.672,3.672,3.6729,3.6717
