symbol,breakdown,breakdown_name,value_type,currency,series_name,period_type,report_date,value
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2021-06-30,143000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2021-09-30,138000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2021-12-31,153000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2022-03-31,141000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2022-06-30,146000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2022-09-30,139000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2022-12-31,150000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2023-03-31,146000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2023-06-30,159000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2023-09-30,146000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2023-12-31,150000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2024-03-31,150000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2024-06-30,139000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2024-09-30,128000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2024-12-31,150000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2025-03-31,137000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2025-06-30,135000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2025-09-30,132000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2025-12-31,136000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2026-03-31,130000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2026-06-30,132000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,quarterly,2026-09-30,128000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2021-06-30,555000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2021-09-30,574000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2021-12-31,576000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2022-03-31,575000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2022-06-30,578000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2022-09-30,579000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2022-12-31,576000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2023-03-31,581000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2023-06-30,594000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2023-09-30,601000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2023-12-31,601000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2024-03-31,605000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2024-06-30,585000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2024-09-30,567000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2024-12-31,567000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2025-03-31,554000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2025-06-30,550000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2025-09-30,554000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2025-12-31,540000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2026-03-31,533000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2026-06-30,530000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Academia and Government,trailing,2026-09-30,526000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2021-06-30,314000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2021-09-30,334000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2021-12-31,353000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2022-03-31,373000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2022-06-30,335000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2022-09-30,389000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2022-12-31,424000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2023-03-31,406000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2023-06-30,378000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2023-09-30,378000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2023-12-31,381000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2024-03-31,392000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2024-06-30,362000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2024-09-30,356000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2024-12-31,385000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2025-03-31,379000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2025-06-30,369000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2025-09-30,399000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2025-12-31,414000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2026-03-31,422000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2026-06-30,412000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,quarterly,2026-09-30,430000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2021-06-30,1217000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2021-09-30,1291000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2021-12-31,1329000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2022-03-31,1374000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2022-06-30,1395000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2022-09-30,1450000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2022-12-31,1521000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2023-03-31,1554000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2023-06-30,1597000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2023-09-30,1586000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2023-12-31,1543000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2024-03-31,1529000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2024-06-30,1513000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2024-09-30,1491000000
A,revenue-by-end-market,Revenue by End Market,CURRENCY,USD,Chemicals and Advanced Materials,trailing,2024-12-31,1495000000
