quarter,season,model,n_fit,w,weighted_gbv_musd,actual_musd,predicted_musd,error_musd,evidence_status
2021Q1,1,free_w,22,0.786478480785,6359.13429821,887,822.357596831,-64.6424031686,full_sample_descriptive_not_PIT
2021Q2,2,free_w,22,0.786478480785,9361.72238811,1335,1238.01593239,-96.9840676083,full_sample_descriptive_not_PIT
2021Q3,3,free_w,22,0.786478480785,12738.0832904,2237,2204.03795067,-32.9620493345,full_sample_descriptive_not_PIT
2021Q4,4,free_w,22,0.786478480785,12220.2822788,1532,1480.06661491,-51.9333850857,full_sample_descriptive_not_PIT
2022Q1,1,free_w,22,0.786478480785,11428.1129115,1509,1477.8734069,-31.1265930971,full_sample_descriptive_not_PIT
2022Q2,2,free_w,22,0.786478480785,15940.2230366,2104,2107.97215161,3.97215160802,full_sample_descriptive_not_PIT
2022Q3,3,free_w,22,0.786478480785,17042.7043038,2884,2948.85550763,64.85550763,full_sample_descriptive_not_PIT
2022Q4,4,free_w,22,0.786478480785,15898.9301269,1902,1925.60819438,23.6081943754,full_sample_descriptive_not_PIT
2023Q1,1,free_w,22,0.786478480785,13948.3951904,1818,1803.79407172,-14.2059282773,full_sample_descriptive_not_PIT
2023Q2,2,free_w,22,0.786478480785,18926.7015174,2484,2502.91100876,18.9110087623,full_sample_descriptive_not_PIT
2023Q3,3,free_w,22,0.786478480785,19377.577975,3397,3352.85272321,-44.1472767872,full_sample_descriptive_not_PIT
2023Q4,4,free_w,22,0.786478480785,18470.8172154,2218,2237.10379899,19.1037989877,full_sample_descriptive_not_PIT
2024Q1,1,free_w,22,0.786478480785,16097.8602538,2142,2081.76098375,-60.2390162479,full_sample_descriptive_not_PIT
2024Q2,2,free_w,22,0.786478480785,21319.9407578,2748,2819.39852963,71.3985296263,full_sample_descriptive_not_PIT
2024Q3,3,free_w,22,0.786478480785,21562.9865827,3732,3730.9883814,-1.01161860153,full_sample_descriptive_not_PIT
2024Q4,4,free_w,22,0.786478480785,20334.8736711,2480,2462.87008372,-17.1299162781,full_sample_descriptive_not_PIT
2025Q1,1,free_w,22,0.786478480785,18133.803798,2272,2345.04739379,73.0473937897,full_sample_descriptive_not_PIT
2025Q2,2,free_w,22,0.786478480785,23026.7015174,3096,3045.10454029,-50.8954597085,full_sample_descriptive_not_PIT
2025Q3,3,free_w,22,0.786478480785,23713.5215192,4095,4103.08993752,8.08993752086,full_sample_descriptive_not_PIT
2025Q4,4,free_w,22,0.786478480785,23028.1129115,2778,2789.06332499,11.0633249852,full_sample_descriptive_not_PIT
2026Q1,1,free_w,22,0.786478480785,20933.803798,2678,2707.14090576,29.1409057599,full_sample_descriptive_not_PIT
2026Q2,2,free_w,22,0.786478480785,27321.0106309,3608,3612.99396071,4.99396071137,full_sample_descriptive_not_PIT
2021Q1,1,fixed_2_3,22,0.666666666667,6613.56666667,887,841.35546077,-45.6445392298,full_sample_descriptive_not_PIT
2021Q2,2,fixed_2_3,22,0.666666666667,8835.23333333,1335,1217.72689631,-117.273103691,full_sample_descriptive_not_PIT
2021Q3,3,fixed_2_3,22,0.666666666667,12366.6666667,2237,2132.67870527,-104.321294729,full_sample_descriptive_not_PIT
2021Q4,4,fixed_2_3,22,0.666666666667,12400,1532,1492.1499881,-39.850011897,full_sample_descriptive_not_PIT
2022Q1,1,fixed_2_3,22,0.666666666667,11500,1509,1462.99089229,-46.0091077143,full_sample_descriptive_not_PIT
2022Q2,2,fixed_2_3,22,0.666666666667,15233.3333333,2104,2099.55289471,-4.44710529056,full_sample_descriptive_not_PIT
2022Q3,3,fixed_2_3,22,0.666666666667,17066.6666667,2884,2943.21158248,59.2115824764,full_sample_descriptive_not_PIT
2022Q4,4,fixed_2_3,22,0.666666666667,16066.6666667,1902,1933.37713512,31.3771351227,full_sample_descriptive_not_PIT
2023Q1,1,fixed_2_3,22,0.666666666667,14200,1818,1806.47571047,-11.5242895255,full_sample_descriptive_not_PIT
2023Q2,2,fixed_2_3,22,0.666666666667,18100,2484,2494.65475236,10.6547523572,full_sample_descriptive_not_PIT
2023Q3,3,fixed_2_3,22,0.666666666667,19533.3333333,3397,3368.59763151,-28.4023684939,full_sample_descriptive_not_PIT
2023Q4,4,fixed_2_3,22,0.666666666667,18566.6666667,2218,2234.21382627,16.2138262725,full_sample_descriptive_not_PIT
2024Q1,1,fixed_2_3,22,0.666666666667,16433.3333333,2142,2090.59278231,-51.4072176903,full_sample_descriptive_not_PIT
2024Q2,2,fixed_2_3,22,0.666666666667,20433.3333333,2748,2816.24928765,68.2492876518,full_sample_descriptive_not_PIT
2024Q3,3,fixed_2_3,22,0.666666666667,21766.6666667,3732,3753.74445968,21.7444596818,full_sample_descriptive_not_PIT
2024Q4,4,fixed_2_3,22,0.666666666667,20466.6666667,2480,2462.84971155,-17.1502884537,full_sample_descriptive_not_PIT
2025Q1,1,fixed_2_3,22,0.666666666667,18433.3333333,2272,2345.02598097,73.0259809681,full_sample_descriptive_not_PIT
2025Q2,2,fixed_2_3,22,0.666666666667,22200,3096,3059.74229295,-36.2577070536,full_sample_descriptive_not_PIT
2025Q3,3,fixed_2_3,22,0.666666666667,23833.3333333,4095,4110.14898725,15.1489872473,full_sample_descriptive_not_PIT
2025Q4,4,fixed_2_3,22,0.666666666667,23100,2778,2779.73102622,1.73102622412,full_sample_descriptive_not_PIT
2026Q1,1,fixed_2_3,22,0.666666666667,21233.3333333,2678,2701.23245909,23.2324590898,full_sample_descriptive_not_PIT
2026Q2,2,fixed_2_3,22,0.666666666667,26266.6666667,3608,3620.23562589,12.2356258885,full_sample_descriptive_not_PIT
