sample,model,loss,n,n_parameters,w,lambda_Q1_pct,lambda_Q2_pct,lambda_Q3_pct,lambda_Q4_pct,held_out_year,n_test,held_out_rmse_musd
leave_one_year_out,free_w,usd,18,5,0.53873054727,12.4913207244,14.3735517288,17.0562051205,11.9291483371,2021,4,123.555067628
leave_one_year_out,fixed_2_3,usd,18,4,0.666666666667,12.7000138631,13.7346529031,17.1701395954,12.0016973635,2021,4,89.1762018084
leave_one_year_out,free_w,usd,18,5,0.781912422745,12.8950918879,13.2473787201,17.371006543,12.1350683782,2022,4,44.4583044635
leave_one_year_out,fixed_2_3,usd,18,4,0.666666666667,12.6811489085,13.7792458105,17.3094889513,12.0682115787,2022,4,47.1148999038
leave_one_year_out,free_w,usd,18,5,0.805505693178,12.9487606878,13.1579414087,17.2504123488,12.1509069414,2023,4,34.9242903386
leave_one_year_out,fixed_2_3,usd,18,4,0.666666666667,12.7084273969,13.7927176614,17.2080462443,12.0555314413,2023,4,22.4838104775
leave_one_year_out,free_w,usd,18,5,0.802775042873,12.8734946163,13.228754265,17.3038127158,12.0948571456,2024,4,59.2634003445
leave_one_year_out,fixed_2_3,usd,18,4,0.666666666667,12.6493486633,13.8592259464,17.2793385873,12.0062624547,2024,4,55.7005781977
leave_one_year_out,free_w,usd,18,5,0.801976441754,13.0844298878,13.0917969538,17.3229563812,12.1461873436,2025,4,59.3977891515
leave_one_year_out,fixed_2_3,usd,18,4,0.666666666667,12.8441966191,13.7365005391,17.2731632452,12.0368693127,2025,4,54.2775463558
leave_one_year_out,free_w,usd,20,5,0.789606941007,13.0018312491,13.2180438222,17.3041972824,12.1136069745,2026,2,30.6324363161
leave_one_year_out,fixed_2_3,usd,20,4,0.666666666667,12.7716160638,13.8033833459,17.2453803661,12.033467646,2026,2,27.0002095537
