quarter,nights_m,nights_m_yoy_pct,revenue_musd,revenue_musd_yoy_pct
1Q21,64.4,,887.0,
2Q21,83.1,,1335.0,
3Q21,79.7,,2237.0,
4Q21,73.4,,1532.0,
1Q22,102.1,58.54,1509.0,70.124
2Q22,103.7,24.789,2104.0,57.603
3Q22,99.7,25.094,2884.0,28.923
4Q22,88.2,20.163,1902.0,24.151
1Q23,121.1,18.609,1818.0,20.477
2Q23,115.1,10.993,2484.0,18.061
3Q23,113.2,13.541,3397.0,17.788
4Q23,98.8,12.018,2218.0,16.614
1Q24,132.6,9.496,2142.0,17.822
2Q24,125.1,8.688,2748.0,10.628
3Q24,122.8,8.481,3732.0,9.862
4Q24,111.0,12.348,2480.0,11.812
1Q25,143.1,7.919,2272.0,6.069
2Q25,134.4,7.434,3096.0,12.664
3Q25,133.6,8.795,4095.0,9.727
4Q25,121.9,9.82,2778.0,12.016
1Q26,156.2,9.154,2678.0,17.87
2Q26,148.3,10.342,3608.0,16.537
