print_quarter,target,printed_yoy,comp_yoy,guide_type,direction,bucket_lo,bucket_hi,bucket_mid,mid_minus_printed,cls,actual,outcome
2Q22,3Q22,24.789,,directional,stable,,,,,stable,25.09,met
3Q22,4Q22,25.094,,directional,below,,,,,down,20.16,met
4Q22,1Q23,20.163,58.54,directional,approx,,,,,stable,18.61,met
1Q23,2Q23,18.609,24.789,directional,below_revenue_growth,,,,,down,10.99,met
2Q23,3Q23,10.993,25.094,directional,above,,,,,up,13.54,met
3Q23,4Q23,13.541,20.163,directional,below,,,,,down,12.02,met
4Q23,1Q24,12.018,18.609,directional,below,,,,,down,9.5,met
1Q24,2Q24,9.496,10.993,directional,stable,,,,,stable,8.69,met
2Q24,3Q24,8.688,13.541,directional,below,,,,,down,8.48,met
3Q24,4Q24,8.481,12.018,directional,above,,,,,up,12.35,met
4Q24,1Q25,12.348,9.496,directional,stable,,,,,stable,7.92,met
1Q25,2Q25,7.919,8.688,directional,below,,,,,down,7.43,met
2Q25,3Q25,7.434,8.481,directional,stable,,,,,stable,8.79,met
3Q25,4Q25,8.795,12.348,bucket,,4.0,6.0,5.0,-3.795,bucket,9.82,above_range
4Q25,1Q26,9.82,7.919,bucket,,7.0,9.0,8.0,-1.8200000000000003,bucket,9.15,above_range
1Q26,2Q26,9.154,7.434,directional,below,,,,,down,10.34,not_met
2Q26,3Q26,10.342,8.795,bucket,,10.0,12.0,11.0,0.6579999999999995,bucket,,pending
