print_quarter,target,printed_yoy,comp_yoy,guide_type,direction,bucket_lo,bucket_hi,bucket_mid,mid_minus_printed,cls,question_option,actual,outcome,note
2Q22,3Q22,24.789,,directional,stable,,,,,stable,a,25.09,met,"stable with Q2 (printed >=10 -> a)"
3Q22,4Q22,25.094,,directional,below,,,,,down,d,20.16,met,"moderate slightly (directional-down -> d)"
4Q22,1Q23,20.163,58.54,directional,approx,,,,,stable,a,18.61,met,"nearly as strong as Q4 (printed >=10 -> a)"
1Q23,2Q23,18.609,24.789,directional,below_revenue_growth,,,,,down,d,10.99,met,"lower than revenue growth; 2Q23 revenue guide top +16.4% < 18.6% printed nights, so below the printed rate (A02-02)"
2Q23,3Q23,10.993,25.094,directional,above,,,,,up,a,13.54,met,"modest sequential increase (printed >=10 -> a)"
3Q23,4Q23,13.541,20.163,directional,below,,,,,down,d,12.02,met,"moderate"
4Q23,1Q24,12.018,18.609,directional,below,,,,,down,d,9.5,met,"moderate"
1Q24,2Q24,9.496,10.993,directional,stable,,,,,stable,b,8.69,met,"relatively stable (printed <10 -> b)"
2Q24,3Q24,8.688,13.541,directional,below,,,,,down,d,8.48,met,"sequential moderation"
3Q24,4Q24,8.481,12.018,directional,above,,,,,up,b,12.35,met,"higher than Q3 (printed <10, no double-digit word -> b)"
4Q24,1Q25,12.348,9.496,directional,stable_vs_1Q24_ex_leap,,,,,down,c,7.92,met,"CORRECTED (A02-02): 'relatively stable compared to Q1 2024 after excluding Leap Day' = ~8.5%, below the 12.3% just printed; implied level high-single -> c"
1Q25,2Q25,7.919,8.688,directional,below,,,,,down,d,7.43,met,"moderate"
2Q25,3Q25,7.434,8.481,directional,stable,,,,,stable,b,8.79,met,"relatively stable (printed <10 -> b)"
3Q25,4Q25,8.795,12.348,bucket,,4.0,6.0,5.0,-3.795,down,d,9.82,above_range,"mid-single-digit"
4Q25,1Q26,9.82,7.919,bucket,,7.0,9.0,8.0,-1.82,down,c,9.15,above_range,"high-single-digit"
1Q26,2Q26,9.154,7.434,directional,below,,,,,down,d,10.34,not_met,"slightly decelerate"
2Q26,3Q26,10.342,8.795,bucket,,10.0,12.0,11.0,0.658,up,a,,pending,"INCLUDED (A02-02): descriptor is observed even though the target is pending"
