id,batch,slug,type,group,revision,final,ci,anchor,final_minus_anchor,ev_usd_per_share,material,audit_only
C01,A01,q4-revenue-guide-vs-street,binary + continuous,core,2,0.72,0.6-0.82,0.67,+0.05,,,
C02,A02,q4-nights-bucket,MC,core,2,(a) low double 0.18 / (b) around 10% 0.17 / (c) high singl 0.30 / (d) mid single 0.31 / (e) no 4Q26 ni 0.04,,0.32,,,,
C03,A02,fy26-revenue-guide-language,MC,core,2,(a) raised: po 0.36 / (b) reiterated 0.16 / (c) narrowed t 0.28 / (d) lowered or 0.08 / (e) no FY26 re 0.12,,0.38,,,,
C04,A03,fy26-margin-sentence,MC,core,2,(a) held: at l 0.33 / (b) approximat 0.30 / (c) >=36.5% 0.05 / (d) lower or s 0.27 / (e) no FY26 ma 0.05,,0.55,,,,
C09,A03,q4-margin-direction-sentence,MC,core,2,(a) down y/y 0.22 / (b) approximat 0.26 / (c) up y/y 0.47 / (d) no quarter 0.05,,0.35,,,,
C05,A04,bundle-attribution-quantified,MC,core,2,a_quantified_g 0.07 / b_quantified_1 0.11 / c_quantified_l 0.10 / d_not_quantifi 0.72,,,,,,
C06,A04,rnpl-gbv-share-disclosed,MC,core,2,a_ge_25pct 0.25 / b_21_to_24pct 0.20 / c_over_20_repe 0.26 / d_not_disclose 0.29,,,,,,
C07,A04,rnpl-negative-effect-acknowledged,binary,core,2,0.27,0.15-0.4,,,,,
C08,A05,q3-revenue-fx-integer,MC,core,2,a_ge_plus3 0.49 / b_plus2 0.28 / c_le_plus1 0.21 / d_not_stated 0.02,,"{'a': 0.22, 'b': 0.44, 'c': 0.34}",,,,
C11,A05,q3-take-rate-above-1810,binary,core,2,0.76,0.6-0.88,0.4,+0.36,,,
C12,A05,q3-unearned-fees-yoy,binary,core,2,0.43,0.28-0.6,0.45,-0.02,,,
S01,A06,day1-move-5nov,continuous,stock,2,p5/25/50/75/95 -17.1/-8.6/-2.1/4.2/14.5 percent,,"{'p50': 0.0, 'p5': -14.8, 'p95': 14.8, 'p_le_minus8': 0.19, 'p_ge_plus5': 0.29, 'sd': 9.0, 'derivation': ""options-implied event sd 9.0% (fresh chain 2026-09-17T03:09Z: 16 Oct/20 Nov pair 9.1%, 30 Oct/20 Nov 8.0%, LS 8.2%; B note 12 Sep 9.5%), symmetric normal; risk-neutral, no directional content. Revision 1's two-piece (mode -0.3, downside x1.10; median -1.5, mean -1.7) relabelled a judgement and kept only as a sensitivity (A06-03)""}",,,,
S02,A07,close-15dec-2026,continuous,stock,2,p5/25/50/75/95 121/146/166/186/221 USD,,"{'median': 169.3, 'P(<=150)': 0.28, 'P(<=143)': 0.21, 'P(>=180)': 0.35, 'median_real_world_shifted': 170.6, 'real_world_thresholds': {'P(<=150)': 0.27, 'P(<=143)': 0.21, 'P(>=180)': 0.37}, 'log_sd_pct': 19.5, 'P(<100)': 0.008}",,,,
S03,A07,close-12feb-2027,continuous,stock,2,p5/25/50/75/95 110/141/166/195/244 USD,,"{'median': 167.8, 'P(<=150)': 0.34, 'P(<=143)': 0.28, 'P(>=180)': 0.39, 'median_real_world_shifted': 169.9, 'real_world_thresholds': {'P(<=150)': 0.32, 'P(<=143)': 0.26, 'P(>=180)': 0.41}, 'log_sd_pct': 25.2, 'log_sd_pct_before_event_correction': 24.3}",,,,
S04,A07,sellside-mean-target-cut-by-15dec,binary,stock,2,0.30,0.2-0.42,0.5,-0.20,,,
F01,A08,q1-27-nights-guide-above-82,binary,feb,2,0.28,0.16-0.42,0.43,-0.15,,,
F02,A08,q1-27-revenue-guide-growth,continuous,feb,2,"p5/25/50/75/95 5.1/8.3/10.5/12.8/16.1 percent y/y on 1Q26 revenue $2,678M",,12.4,,,,
F03,A08,fy27-margin-guide,MC,feb,2,"(a) >=36.5% fl 0.02 / (b) 36.0-36.4% 0.04 / (c) 35.5-35.9% 0.10 / (d) <35.5%, do 0.36 / (e) no numeric 0.48",,0.55,,,,
F04,A08,fy27-sm-share-above-219,binary,feb,2,0.55,0.4-0.68,0.33,+0.22,,,
R01,A09,risk-q3-nights-meets-guide,binary,risk,2,0.39,0.3-0.47,0.585,-0.19,3.4,True,
R02,A09,risk-q3-nights-accelerates,binary,risk,2,0.26,0.18-0.34,0.537,-0.28,2.5,True,
R03,A09,risk-july-rnpl-expansion-offsets-lap,binary,risk,2,0.11,0.07-0.15,,,0.7,False,
R04,A10,risk-single-fee-take-rate-accretion-stated,binary,risk,2,0.52,0.38-0.66,0.5,+0.02,1.1,True,
R05,A10,risk-q3-margin-sandbagged,binary,risk,2,0.22,0.13-0.32,0.17,+0.05,0.8,False,
R07,A10,risk-adr-residual-persists,binary,risk,2,0.17,0.11-0.27,0.12,+0.05,1.7,True,
R06,A11,risk-buyback-upsize,binary,risk,2,0.46,0.3-0.6,,,0.6,False,
R08,A11,risk-new-2027-growth-lever,binary,risk,2,0.13,0.06-0.24,,,0.5,False,
R09,A11,risk-new-businesses-quantified-material,binary,risk,2,0.25,0.13-0.38,,,0.5,False,
R10,A12,risk-dollar-weakens,binary,risk,2,0.10,0.06-0.17,0.11,-0.01,0.5,False,
R11,A12,risk-q4-us-revpar-strong,binary,risk,2,0.26,0.17-0.4,0.25,+0.01,0.5,False,
R15,A12,risk-world-cup-quantified-small,binary,risk,2,0.18,0.1-0.3,,,0.18,False,
R16,A12,risk-q4-nights-print-meets-street,binary,risk,2,0.31,0.19-0.44,0.51,-0.20,3.4,True,
R12,A13,risk-sellside-upgrades,binary,risk,2,0.47,0.34-0.6,0.32,+0.15,0.7,False,
R13,A13,risk-short-interest-crowding,binary,risk,2,0.02,0.005-0.06,0.01,+0.01,0.02,False,
R14,A13,risk-feb-print-up-day,binary,risk,2,0.26,0.17-0.37,0.27,-0.01,0.4,False,
B01,A14,bonus-moderation-language,binary,bonus,2,0.33,0.23-0.45,0.31,+0.02,-1.0,False,yes
B02,A14,bonus-adr-residual-reverts,binary,bonus,2,0.12,0.07-0.2,0.07,+0.05,-1.4,True,yes
B03,A14,bonus-marketing-cut-signalled,binary,bonus,1,0.18,0.1-0.3,0.2,-0.02,-0.5,False,yes
B04,A15,bonus-host-churn-cited,binary,bonus,2,0.21,0.12-0.33,,,-0.7,False,
B05,A15,bonus-eu-regulation-hit,binary,bonus,2,0.62,0.42-0.78,,,-1.3,False,
B06,A15,bonus-geopolitical-headwind-cited,binary,bonus,2,0.32,0.2-0.45,,,-0.64,False,
B07,A15,bonus-us-inbound-falls,binary,bonus,2,0.63,0.47-0.77,,,-0.19,False,
B08,A16,bonus-ai-hosting-cost-step,binary,bonus,2,0.44,0.31-0.57,,,-1.4,True,
B09,A16,bonus-sbc-step-up,binary,bonus,2,0.08,0.04-0.14,,,-0.24,False,
B10,A16,bonus-interest-income-falls,binary,bonus,2,0.04,0.015-0.08,,,-0.08,False,
B17,A16,bonus-take-rate-guided-down,binary,bonus,2,0.41,0.28-0.55,,,-1.0,True,
B11,A17,bonus-sellside-downgrades,binary,bonus,2,0.11,0.05-0.21,0.09,+0.02,-0.2,False,
