project,article,date,access,agent,views
en.wikipedia,Airbnb,2026-06-01,all-access,user,1600
en.wikipedia,Airbnb,2026-06-02,all-access,user,1509
en.wikipedia,Airbnb,2026-06-03,all-access,user,1499
en.wikipedia,Airbnb,2026-06-04,all-access,user,1346
en.wikipedia,Airbnb,2026-06-05,all-access,user,1391
en.wikipedia,Airbnb,2026-06-06,all-access,user,1152
en.wikipedia,Airbnb,2026-06-07,all-access,user,1349
en.wikipedia,Airbnb,2026-06-08,all-access,user,1559
en.wikipedia,Airbnb,2026-06-09,all-access,user,1426
en.wikipedia,Airbnb,2026-06-10,all-access,user,1395
en.wikipedia,Airbnb,2026-06-11,all-access,user,1224
en.wikipedia,Airbnb,2026-06-12,all-access,user,1172
en.wikipedia,Airbnb,2026-06-13,all-access,user,1088
en.wikipedia,Airbnb,2026-06-14,all-access,user,1346
en.wikipedia,Airbnb,2026-06-15,all-access,user,1482
en.wikipedia,Airbnb,2026-06-16,all-access,user,1447
en.wikipedia,Airbnb,2026-06-17,all-access,user,1382
en.wikipedia,Airbnb,2026-06-18,all-access,user,1351
en.wikipedia,Airbnb,2026-06-19,all-access,user,1195
en.wikipedia,Airbnb,2026-06-20,all-access,user,1279
en.wikipedia,Airbnb,2026-06-21,all-access,user,1227
en.wikipedia,Airbnb,2026-06-22,all-access,user,1511
en.wikipedia,Airbnb,2026-06-23,all-access,user,1379
en.wikipedia,Airbnb,2026-06-24,all-access,user,1477
en.wikipedia,Airbnb,2026-06-25,all-access,user,1408
en.wikipedia,Airbnb,2026-06-26,all-access,user,1546
en.wikipedia,Airbnb,2026-06-27,all-access,user,1090
en.wikipedia,Airbnb,2026-06-28,all-access,user,1303
en.wikipedia,Airbnb,2026-06-29,all-access,user,1492
en.wikipedia,Airbnb,2026-06-30,all-access,user,1241
en.wikipedia,Airbnb,2026-07-01,all-access,user,1266
en.wikipedia,Airbnb,2026-07-02,all-access,user,1361
en.wikipedia,Airbnb,2026-07-03,all-access,user,1195
en.wikipedia,Airbnb,2026-07-04,all-access,user,1290
en.wikipedia,Airbnb,2026-07-05,all-access,user,1518
en.wikipedia,Airbnb,2026-07-06,all-access,user,1629
en.wikipedia,Airbnb,2026-07-07,all-access,user,1519
en.wikipedia,Airbnb,2026-07-08,all-access,user,1637
en.wikipedia,Airbnb,2026-07-09,all-access,user,1657
en.wikipedia,Airbnb,2026-07-10,all-access,user,1441
en.wikipedia,Airbnb,2026-07-11,all-access,user,1312
en.wikipedia,Airbnb,2026-07-12,all-access,user,1385
en.wikipedia,Airbnb,2026-07-13,all-access,user,1390
en.wikipedia,Airbnb,2026-07-14,all-access,user,1524
en.wikipedia,Airbnb,2026-07-15,all-access,user,1793
en.wikipedia,Airbnb,2026-07-16,all-access,user,1565
en.wikipedia,Airbnb,2026-07-17,all-access,user,1400
en.wikipedia,Airbnb,2026-07-18,all-access,user,1258
en.wikipedia,Airbnb,2026-07-19,all-access,user,1318
en.wikipedia,Airbnb,2026-07-20,all-access,user,1572
en.wikipedia,Airbnb,2026-07-21,all-access,user,1419
en.wikipedia,Airbnb,2026-07-22,all-access,user,1510
en.wikipedia,Airbnb,2026-07-23,all-access,user,1321
en.wikipedia,Airbnb,2026-07-24,all-access,user,1575
en.wikipedia,Airbnb,2026-07-25,all-access,user,1637
en.wikipedia,Airbnb,2026-07-26,all-access,user,1823
en.wikipedia,Airbnb,2026-07-27,all-access,user,1992
en.wikipedia,Airbnb,2026-07-28,all-access,user,1678
en.wikipedia,Airbnb,2026-07-29,all-access,user,1614
en.wikipedia,Airbnb,2026-07-30,all-access,user,1336
en.wikipedia,Airbnb,2026-07-31,all-access,user,1306
en.wikipedia,Airbnb,2026-08-01,all-access,user,1249
en.wikipedia,Airbnb,2026-08-02,all-access,user,1293
en.wikipedia,Airbnb,2026-08-03,all-access,user,1407
en.wikipedia,Airbnb,2026-08-04,all-access,user,1491
en.wikipedia,Airbnb,2026-08-05,all-access,user,1576
