quarter,variant,term,lo_pp,point_pp,hi_pp,in_point,source,label
3Q26,v3_without_K,like_for_like_pricing_residual,2.398,4.84932637648649,4.84932637648649,True,H residual history; v3 last_q rule = 2Q26 value; band K4 scenario table: mean reversion (2023-25 mean) to last_q,"assumed rule, anchored on measured residuals; the one unobserved line"
3Q26,v3_without_K,geographic_mix,-1.5709104332839452,-1.428426033774555,-0.9353181922914344,True,workstream I I_mix_terms_3q26.csv (E_aug regional split x 07/H method),measured (unvalidated mapping)
3Q26,v3_without_K,unit_size_party,0.5298648963065857,0.796671778749512,0.9984702536410068,True,"workstream I I_mix_terms_3q26.csv (booked capacity, 119 markets, x 0.592)",measured (level term)
3Q26,v3_without_K,length_of_stay_mix,-0.0810737620689109,0.0562640964166838,0.2887059735483112,True,workstream I I_mix_terms_3q26.csv (28+ share of blocked runs),"measured, unvalidated"
3Q26,v3_without_K,new_business_seats,-0.750306831909886,-0.4825701517057523,-0.2262429488181783,True,"H, 15_seats_dilution_quarterly (bull / base / bear), as J3",assumed
3Q26,v3_without_K,interaction,-0.15,-0.1,-0.05,True,"H, 07 interaction, as J3",descriptive
3Q26,v3_with_K,like_for_like_pricing_residual,2.398,4.84932637648649,4.84932637648649,True,H residual history; v3 last_q rule = 2Q26 value; band K4 scenario table: mean reversion (2023-25 mean) to last_q,"assumed rule, anchored on measured residuals; the one unobserved line"
3Q26,v3_with_K,geographic_mix,-1.5709104332839452,-1.428426033774555,-0.9353181922914344,True,workstream I I_mix_terms_3q26.csv (E_aug regional split x 07/H method),measured (unvalidated mapping)
3Q26,v3_with_K,unit_size_party,0.5298648963065857,0.796671778749512,0.9984702536410068,True,"workstream I I_mix_terms_3q26.csv (booked capacity, 119 markets, x 0.592)",measured (level term)
3Q26,v3_with_K,length_of_stay_mix,-0.0810737620689109,0.0562640964166838,0.2887059735483112,True,workstream I I_mix_terms_3q26.csv (28+ share of blocked runs),"measured, unvalidated"
3Q26,v3_with_K,new_business_seats,-0.750306831909886,-0.4825701517057523,-0.2262429488181783,True,"H, 15_seats_dilution_quarterly (bull / base / bear), as J3",assumed
3Q26,v3_with_K,interaction,-0.15,-0.1,-0.05,True,"H, 07 interaction, as J3",descriptive
3Q26,v3_with_K,fee_migration_mechanics_K,0.0,0.1715,0.9309999999999999,True,"K primary rule: 0.007 x change in y/y migrated nights share (+24.5 pp, central path); band = K2 pre-stated coefficient range 0.000 to 0.038; met the K criterion by 0.003 to 0.007 of ratio","assumed mechanics line (coefficient imposed, not estimated); K note: a nudge, not evidence"
3Q26,memo,memo_L_regional_lastq_carry_exfx,2.345033771738396,3.444000353128973,4.542966934519551,False,"L4 regional last_q aggregate (NA 6.75, EMEA 5.0, LatAm 2.0, APAC -1.35 carried; geo -1.43): ex-FX ADR y/y, L FAILED its criterion (2 of 4 vs last_q for this variant; primary L_wf 0 of 4)","descriptive, memo only"
3Q26,memo,memo_L_primary_wf_exfx_failed,-0.2340112767869272,0.5824719826526878,1.398955242092303,False,"L4 primary walk-forward model (NA on BEA lag 1): the failed model's number, should not be used","descriptive, memo only (FAIL 0 of 4)"
3Q26,memo,memo_L_emea_hicp_read,,4.6,,False,"July euro-area HICP accommodation 4.6 implies EMEA ex-FX about 4.6 for 3Q26 (L note); regional read for the letter, nothing more","descriptive, memo only"
3Q26,memo,memo_M_new_listing_premium_term,0.0201069503812029,0.0539699190257613,0.0708728809950233,False,"M6: quote-basis premium x July 2026 share change, 120 markets; M FAILED its criterion (RMSE lower on 2 of 4 checks)","descriptive, memo only (FAIL 2 of 4)"
3Q26,memo,memo_H_fee_migration_increment,-0.3,0.16,0.85,False,"H card table 2.3 increment; superseded by the K line (same mechanics, dated cohort); not added","assumed, memo only"
3Q26,memo,memo_card_v2_exfx,2.13,3.46,4.78,False,J3 card v2 ex-FX (persistence residual 4.61 + same mix and fills); comparison column,"descriptive, comparison"
3Q26,memo,memo_card_v2_reported_midpoint,1.7,3.03,4.35,False,J3 card v2 reported y/y at midpoint FX; comparison column,"descriptive, comparison"
