model,target,fx_estimator,window,n,rmse_pp,rmse_naive_pp,ratio_vs_naive,jackknife_ratio_min,jackknife_ratio_max,jackknife_below_1,ratio_below_1,jackknife_max_below_1,criterion_met,in_pass_criterion,verdict
v3_last_q_measured_mix,t2_reported_usd_yoy,eur,1Q24-2Q26,10,1.0985575506035294,1.19884558755992,0.9163461600083855,0.8711227851703462,0.9688631182720406,10,True,True,True,True,PASS
v3_last_q_measured_mix,t2_reported_usd_yoy,eur,2Q24-2Q26,9,0.9351702750398454,1.0329163412900277,0.9053688451398634,0.8256152996553161,0.9890838423327626,9,True,True,True,True,PASS
v3_last_q_measured_mix,t2_reported_usd_yoy,baskets,1Q24-2Q26,10,0.8312997662083166,0.9485339053872491,0.8764049039121374,0.7856711026392679,0.9180234624270853,10,True,True,True,True,PASS
v3_last_q_measured_mix,t2_reported_usd_yoy,baskets,2Q24-2Q26,9,0.7829013907288721,0.8984669423654158,0.8713747315707672,0.7459454629941498,0.9236529428212884,9,True,True,True,True,PASS
v3_last_q_measured_mix,t1_exfx_integer_fair,none,1Q24-2Q26,10,0.8944271909999159,0.9082951062292475,0.9847319278346619,0.9211323729436766,1.0801234497346435,8,True,False,False,False,PASS
v3_last_q_measured_mix,t2_reported_usd_yoy,midpoint,1Q24-2Q26,10,0.9320350699641158,1.043177372856859,0.8934579048734853,0.8249446414398767,0.9445747684183187,10,True,True,True,False,PASS
v3_last_q_measured_mix,t1_exfx_integer_fair,none,2Q24-2Q26,9,0.8819171036881969,0.816496580927726,1.0801234497346435,1.0,1.1832159566199232,0,False,False,False,False,PASS
v3_last_q_measured_mix,t2_reported_usd_yoy,midpoint,2Q24-2Q26,9,0.8218854265349521,0.932113805392135,0.8817436473748929,0.768315026214756,0.9552389440855495,9,True,True,True,False,PASS
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,eur,1Q24-2Q26,10,1.092851439424382,1.19884558755992,0.9115864885057683,0.8652443504665869,0.965831101060765,10,True,True,True,True,PASS
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,eur,2Q24-2Q26,9,0.9277120456323404,1.0329163412900277,0.8981482899899756,0.8154292577730794,0.9841075927975478,9,True,True,True,True,PASS
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,baskets,1Q24-2Q26,10,0.8285439882455607,0.9485339053872491,0.8734996013740792,0.7815455452747135,0.9162763568016818,10,True,True,True,True,PASS
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,baskets,2Q24-2Q26,9,0.7796487585263706,0.8984669423654158,0.8677545291469159,0.7401843922672254,0.9214397064529756,9,True,True,True,True,PASS
v3_point_last_q_plus_K_line_measured_mix,t1_exfx_integer_fair,none,1Q24-2Q26,10,0.8944271909999159,0.9082951062292475,0.9847319278346619,0.9211323729436766,1.0801234497346435,8,True,False,False,False,PASS
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,midpoint,1Q24-2Q26,10,0.9274427634926597,1.043177372856859,0.8890556751176006,0.8190830562864193,0.9418411323841014,10,True,True,True,False,PASS
v3_point_last_q_plus_K_line_measured_mix,t1_exfx_integer_fair,none,2Q24-2Q26,9,0.8819171036881969,0.816496580927726,1.0801234497346435,1.0,1.1832159566199232,0,False,False,False,False,PASS
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,midpoint,2Q24-2Q26,9,0.816092857480333,0.932113805392135,0.8755292033648266,0.7586709482841375,0.9511928224882986,9,True,True,True,False,PASS
