quarter,target,fx_estimator,fx_est_pp,naive_exfx_pp,actual,naive,prior_year,ar1,v3_last_q_measured_mix,v3_point_last_q_plus_K_line_measured_mix
1Q24,t1_exfx_integer_fair,none,,0.5,2.0,0.5,3.0,0.0,1.0,1.0
2Q24,t1_exfx_integer_fair,none,,2.0,3.0,2.0,2.0,1.0,2.0,2.0
3Q24,t1_exfx_integer_fair,none,,3.0,2.0,3.0,0.5,2.0,3.0,3.0
4Q24,t1_exfx_integer_fair,none,,2.0,2.0,2.0,0.5,2.0,1.0,1.0
1Q25,t1_exfx_integer_fair,none,,2.0,1.0,2.0,2.0,2.0,2.0,2.0
2Q25,t1_exfx_integer_fair,none,,1.0,1.0,1.0,3.0,1.0,2.0,2.0
3Q25,t1_exfx_integer_fair,none,,1.0,2.0,1.0,2.0,1.0,1.0,1.0
4Q25,t1_exfx_integer_fair,none,,2.0,3.0,2.0,2.0,2.0,2.0,2.0
1Q26,t1_exfx_integer_fair,none,,3.0,4.0,3.0,1.0,2.0,4.0,4.0
2Q26,t1_exfx_integer_fair,none,,4.0,4.0,4.0,1.0,3.0,4.0,4.0
1Q24,t2_reported_usd_yoy,eur,-0.042,0.5,2.642047141245607,0.458,0.2141964657583317,2.7039855689709773,0.5932924145842234,0.5932924145842234
2Q24,t2_reported_usd_yoy,eur,-1.076,2.0,2.120354195530405,0.9239999999999999,1.3863442042262086,2.7074837429817324,1.0025044076231429,1.0025044076231429
3Q24,t2_reported_usd_yoy,eur,-0.143,3.0,1.40042136572065,2.857,3.1577601636410213,2.4080490365124456,3.0652918270183953,3.0652918270183953
4Q24,t2_reported_usd_yoy,eur,-0.96,2.0,0.8932559178204569,1.04,2.565277141548328,2.061066374731592,0.42004831974471646,0.42004831974471646
1Q25,t2_reported_usd_yoy,eur,-1.915,2.0,-0.8907913003239232,0.08499999999999996,2.642047141245607,1.6632234885320747,-0.20785475339167658,-0.20785475339167658
2Q25,t2_reported_usd_yoy,eur,1.844,1.0,2.9198371969562764,2.8440000000000003,2.120354195530405,-0.1768721791886224,3.3480246927504576,3.3480246927504576
3Q25,t2_reported_usd_yoy,eur,2.301,1.0,4.674896113419713,3.301,1.40042136572065,1.9813176454513266,3.5626053406535707,3.564061340653571
4Q25,t2_reported_usd_yoy,eur,3.549,2.0,5.931828242585202,5.5489999999999995,0.8932559178204569,3.1652879033478962,5.850751797614764,5.936515741600031
1Q26,t2_reported_usd_yoy,eur,4.446,3.0,9.0346679117544,7.446,-0.8907913003239232,5.166274534669446,8.061937140810134,8.090917845024865
2Q26,t2_reported_usd_yoy,eur,0.586,4.0,5.30146721687299,4.586,2.9198371969562764,10.120127522713869,4.4149754835678205,4.449321330170643
1Q24,t2_reported_usd_yoy,baskets,0.826,0.5,2.642047141245607,1.326,0.2141964657583317,2.7039855689709773,1.4612924145842234,1.4612924145842234
2Q24,t2_reported_usd_yoy,baskets,-0.661,2.0,2.120354195530405,1.339,1.3863442042262086,2.7074837429817324,1.417504407623143,1.417504407623143
3Q24,t2_reported_usd_yoy,baskets,-0.213,3.0,1.40042136572065,2.787,3.1577601636410213,2.4080490365124456,2.995291827018395,2.995291827018395
4Q24,t2_reported_usd_yoy,baskets,-1.005,2.0,0.8932559178204569,0.9950000000000001,2.565277141548328,2.061066374731592,0.37504831974471653,0.37504831974471653
1Q25,t2_reported_usd_yoy,baskets,-2.439,2.0,-0.8907913003239232,-0.43900000000000006,2.642047141245607,1.6632234885320747,-0.7318547533916766,-0.7318547533916766
2Q25,t2_reported_usd_yoy,baskets,1.311,1.0,2.9198371969562764,2.311,2.120354195530405,-0.1768721791886224,2.815024692750457,2.815024692750457
3Q25,t2_reported_usd_yoy,baskets,2.026,1.0,4.674896113419713,3.026,1.40042136572065,1.9813176454513266,3.2876053406535704,3.2890613406535705
4Q25,t2_reported_usd_yoy,baskets,3.364,2.0,5.931828242585202,5.364,0.8932559178204569,3.1652879033478962,5.665751797614764,5.751515741600031
1Q26,t2_reported_usd_yoy,baskets,5.06,3.0,9.0346679117544,8.059999999999999,-0.8907913003239232,5.166274534669446,8.675937140810133,8.704917845024866
2Q26,t2_reported_usd_yoy,baskets,1.696,4.0,5.30146721687299,5.696,2.9198371969562764,10.120127522713869,5.524975483567821,5.5593213301706434
1Q24,t2_reported_usd_yoy,midpoint,0.39199999999999996,0.5,2.642047141245607,0.8919999999999999,0.2141964657583317,2.7039855689709773,1.0272924145842235,1.0272924145842235
2Q24,t2_reported_usd_yoy,midpoint,-0.8685,2.0,2.120354195530405,1.1315,1.3863442042262086,2.7074837429817324,1.2100044076231429,1.2100044076231429
3Q24,t2_reported_usd_yoy,midpoint,-0.178,3.0,1.40042136572065,2.822,3.1577601636410213,2.4080490365124456,3.030291827018395,3.030291827018395
4Q24,t2_reported_usd_yoy,midpoint,-0.9824999999999999,2.0,0.8932559178204569,1.0175,2.565277141548328,2.061066374731592,0.3975483197447165,0.3975483197447165
1Q25,t2_reported_usd_yoy,midpoint,-2.177,2.0,-0.8907913003239232,-0.17700000000000005,2.642047141245607,1.6632234885320747,-0.4698547533916766,-0.4698547533916766
2Q25,t2_reported_usd_yoy,midpoint,1.5775000000000001,1.0,2.9198371969562764,2.5775,2.120354195530405,-0.1768721791886224,3.0815246927504574,3.0815246927504574
3Q25,t2_reported_usd_yoy,midpoint,2.1635,1.0,4.674896113419713,3.1635,1.40042136572065,1.9813176454513266,3.4251053406535705,3.4265613406535707
4Q25,t2_reported_usd_yoy,midpoint,3.4565,2.0,5.931828242585202,5.4565,0.8932559178204569,3.1652879033478962,5.758251797614765,5.844015741600031
1Q26,t2_reported_usd_yoy,midpoint,4.753,3.0,9.0346679117544,7.753,-0.8907913003239232,5.166274534669446,8.368937140810132,8.397917845024866
2Q26,t2_reported_usd_yoy,midpoint,1.141,4.0,5.30146721687299,5.141,2.9198371969562764,10.120127522713869,4.96997548356782,5.004321330170644
