quarter,variant,base_quarter,base_adr_usd,fx_estimator,fx_recommended_N,fx_effect_pp,residual_rule,residual_pp,residual_band_lo_pp,residual_band_hi_pp,k_line_pp,mix_source,adr_exfx_yoy_pp,adr_exfx_central_lo_pp,adr_exfx_central_hi_pp,adr_exfx_arith_lo_pp,adr_exfx_arith_hi_pp,adr_reported_yoy_pp,adr_reported_central_lo_pp,adr_reported_central_hi_pp,adr_reported_wide_lo_pp,adr_reported_wide_hi_pp,adr_usd_point,adr_usd_central_lo,adr_usd_central_hi,adr_usd_wide_lo,adr_usd_wide_hi,nights_case,nights_m,nights_yoy_pp,nights_case_source,gbv_busd_point,gbv_yoy_pp_point,take_rate_same_q_prior_year,revenue_musd_same_q_take,revenue_yoy_pp_same_q_take,card_v2_reported_yoy_pp,card_v2_adr_usd,card_v2_exfx_pp,card_v2_residual_pp,h_card_reported_yoy_pp,h_card_adr_usd,h_card_exfx_pp,band_basis,label
3Q26,v3_without_K,3Q25,171.29,eur_fit,False,-1.12,"last_q (v3, pre-registered)",4.85,2.4,4.85,0.0,workstream I measured 3Q26 terms,3.69,2.36,5.02,0.38,4.92,2.57,1.24,3.9,-0.74,5.18,175.69,173.42,177.97,170.01,180.17,team_baseline,146.8,9.88,team nights baseline (Q3 nowcast synthesis; reviews index band 8.5 to 11.0),25.79,12.71,0.1788,4612.0,12.62,2.34,175.29,3.46,4.61,2.5,175.57,3.62,central = point +/- RSS of term half-ranges (J3); wide = arithmetic lo/hi + min/max of eur and baskets FX,"point: sourced residual history + measured mix + assumed fills; GBV and revenue are comparison columns, not inputs"
3Q26,v3_without_K,3Q25,171.29,baskets,False,0.26,"last_q (v3, pre-registered)",4.85,2.4,4.85,0.0,workstream I measured 3Q26 terms,3.69,2.36,5.02,0.38,4.92,3.95,2.62,5.28,-0.74,5.18,178.06,175.78,180.33,170.01,180.17,team_baseline,146.8,9.88,team nights baseline (Q3 nowcast synthesis; reviews index band 8.5 to 11.0),26.14,14.22,0.1788,4674.0,14.13,3.72,177.66,3.46,4.61,3.88,177.94,3.62,central = point +/- RSS of term half-ranges (J3); wide = arithmetic lo/hi + min/max of eur and baskets FX,"point: sourced residual history + measured mix + assumed fills; GBV and revenue are comparison columns, not inputs"
3Q26,v3_without_K,3Q25,171.29,midpoint,True,-0.43,"last_q (v3, pre-registered)",4.85,2.4,4.85,0.0,workstream I measured 3Q26 terms,3.69,2.36,5.02,0.38,4.92,3.26,1.93,4.59,-0.74,5.18,176.88,174.6,179.15,170.01,180.17,team_baseline,146.8,9.88,team nights baseline (Q3 nowcast synthesis; reviews index band 8.5 to 11.0),25.97,13.46,0.1788,4643.0,13.37,3.03,176.47,3.46,4.61,3.19,176.76,3.62,central = point +/- RSS of term half-ranges (J3); wide = arithmetic lo/hi + min/max of eur and baskets FX,"point: sourced residual history + measured mix + assumed fills; GBV and revenue are comparison columns, not inputs"
3Q26,v3_with_K,3Q25,171.29,eur_fit,False,-1.12,"last_q (v3, pre-registered) + K mechanics line",5.02,2.4,5.78,0.17,workstream I measured 3Q26 terms,3.86,2.46,5.27,0.38,5.86,2.74,1.34,4.15,-0.74,6.12,175.99,173.58,178.4,170.01,181.77,team_baseline,146.8,9.88,team nights baseline (Q3 nowcast synthesis; reviews index band 8.5 to 11.0),25.84,12.89,0.1788,4619.0,12.8,2.34,175.29,3.46,4.61,2.5,175.57,3.62,central = point +/- RSS of term half-ranges (J3); wide = arithmetic lo/hi + min/max of eur and baskets FX,"point: sourced residual history + measured mix + assumed fills + assumed K mechanics line; GBV and revenue are comparison columns, not inputs"
3Q26,v3_with_K,3Q25,171.29,baskets,False,0.26,"last_q (v3, pre-registered) + K mechanics line",5.02,2.4,5.78,0.17,workstream I measured 3Q26 terms,3.86,2.46,5.27,0.38,5.86,4.12,2.72,5.53,-0.74,6.12,178.35,175.94,180.76,170.01,181.77,team_baseline,146.8,9.88,team nights baseline (Q3 nowcast synthesis; reviews index band 8.5 to 11.0),26.18,14.41,0.1788,4681.0,14.32,3.72,177.66,3.46,4.61,3.88,177.94,3.62,central = point +/- RSS of term half-ranges (J3); wide = arithmetic lo/hi + min/max of eur and baskets FX,"point: sourced residual history + measured mix + assumed fills + assumed K mechanics line; GBV and revenue are comparison columns, not inputs"
3Q26,v3_with_K,3Q25,171.29,midpoint,True,-0.43,"last_q (v3, pre-registered) + K mechanics line",5.02,2.4,5.78,0.17,workstream I measured 3Q26 terms,3.86,2.46,5.27,0.38,5.86,3.43,2.03,4.84,-0.74,6.12,177.17,174.76,179.58,170.01,181.77,team_baseline,146.8,9.88,team nights baseline (Q3 nowcast synthesis; reviews index band 8.5 to 11.0),26.01,13.65,0.1788,4650.0,13.56,3.03,176.47,3.46,4.61,3.19,176.76,3.62,central = point +/- RSS of term half-ranges (J3); wide = arithmetic lo/hi + min/max of eur and baskets FX,"point: sourced residual history + measured mix + assumed fills + assumed K mechanics line; GBV and revenue are comparison columns, not inputs"
4Q26,v3_without_K,4Q25,167.51,eur_fit,False,-0.66,"last_q (v3, pre-registered)",4.85,3.06,5.22,0.0,workstream I measured 3Q26 terms carried to 4Q26,3.69,2.49,4.89,1.03,5.3,3.03,1.83,4.23,0.37,6.27,172.59,170.58,174.6,168.14,178.01,N_case_B_global_lap_baseline,131.8,8.12,"N memo 2 case B, WS-D global lap at the 45% ex-NA split, adopted as baseline",22.75,11.4,0.1362,3098.0,11.52,2.8,172.2,3.46,4.61,3.1,172.7,3.76,central = point +/- RSS of term half-ranges (J3); wide = arithmetic lo/hi + min/max of eur and baskets FX,"point: sourced residual history + measured mix + assumed fills; GBV and revenue are comparison columns, not inputs"
4Q26,v3_without_K,4Q25,167.51,eur_fit,False,-0.66,"last_q (v3, pre-registered)",4.85,3.06,5.22,0.0,workstream I measured 3Q26 terms carried to 4Q26,3.69,2.49,4.89,1.03,5.3,3.03,1.83,4.23,0.37,6.27,172.59,170.58,174.6,168.14,178.01,N_case_A_team_baseline_top_of_band,132.7,8.86,"N memo 2 case A, PR #32 NA-only lap, kept as the top of the band",22.9,12.16,0.1362,3119.0,12.29,2.8,172.2,3.46,4.61,3.1,172.7,3.76,central = point +/- RSS of term half-ranges (J3); wide = arithmetic lo/hi + min/max of eur and baskets FX,"point: sourced residual history + measured mix + assumed fills; GBV and revenue are comparison columns, not inputs"
4Q26,v3_without_K,4Q25,167.51,baskets,False,0.97,"last_q (v3, pre-registered)",4.85,3.06,5.22,0.0,workstream I measured 3Q26 terms carried to 4Q26,3.69,2.49,4.89,1.03,5.3,4.66,3.46,5.86,0.37,6.27,175.32,173.31,177.33,168.14,178.01,N_case_B_global_lap_baseline,131.8,8.12,"N memo 2 case B, WS-D global lap at the 45% ex-NA split, adopted as baseline",23.11,13.16,0.1362,3147.0,13.29,4.43,174.93,3.46,4.61,4.73,175.43,3.76,central = point +/- RSS of term half-ranges (J3); wide = arithmetic lo/hi + min/max of eur and baskets FX,"point: sourced residual history + measured mix + assumed fills; GBV and revenue are comparison columns, not inputs"
4Q26,v3_without_K,4Q25,167.51,baskets,False,0.97,"last_q (v3, pre-registered)",4.85,3.06,5.22,0.0,workstream I measured 3Q26 terms carried to 4Q26,3.69,2.49,4.89,1.03,5.3,4.66,3.46,5.86,0.37,6.27,175.32,173.31,177.33,168.14,178.01,N_case_A_team_baseline_top_of_band,132.7,8.86,"N memo 2 case A, PR #32 NA-only lap, kept as the top of the band",23.26,13.93,0.1362,3169.0,14.06,4.43,174.93,3.46,4.61,4.73,175.43,3.76,central = point +/- RSS of term half-ranges (J3); wide = arithmetic lo/hi + min/max of eur and baskets FX,"point: sourced residual history + measured mix + assumed fills; GBV and revenue are comparison columns, not inputs"
