sample,model,loss,n,n_parameters,w,lambda_Q1_pct,lambda_Q2_pct,lambda_Q3_pct,lambda_Q4_pct,draw,selected_years
year_block_bootstrap,free_w,usd,24,5,0.827602937912,13.3500074138,13.0122066686,17.2702888435,12.1823999224,0,2021|2022|2021|2023|2024|2022
year_block_bootstrap,free_w,usd,22,5,0.474952462898,12.3472344808,14.6852163072,16.9611773377,11.9378513484,1,2025|2024|2026|2022|2025|2024
year_block_bootstrap,free_w,usd,20,5,0.486807830122,12.4223896139,14.5957067627,16.9462233786,11.9356237493,2,2024|2026|2025|2022|2026|2024
year_block_bootstrap,free_w,usd,22,5,0.798863708624,12.7957693469,13.2776721826,17.2958386286,12.0849793019,3,2025|2022|2026|2025|2023|2021
year_block_bootstrap,free_w,usd,20,5,0.316023389353,12.1112172299,15.564722177,16.8219921117,11.8755296228,4,2026|2024|2026|2025|2023|2024
year_block_bootstrap,free_w,usd,24,5,0.618042473195,12.8006858799,13.9314951354,17.2256646198,11.9379427863,5,2023|2024|2022|2023|2023|2023
year_block_bootstrap,free_w,usd,22,5,0.799285381743,13.0931792114,13.1380367863,17.4709471829,12.1867823427,6,2021|2023|2023|2024|2021|2026
year_block_bootstrap,free_w,usd,22,5,0.834139603097,13.1246948039,13.0681235171,17.232514992,12.1743592757,7,2026|2023|2021|2022|2021|2022
year_block_bootstrap,free_w,usd,24,5,0.802458405253,12.8429240698,13.2901760282,17.2488772736,12.0738287935,8,2025|2023|2021|2022|2022|2025
year_block_bootstrap,free_w,usd,20,5,0.810388869545,12.9272520845,13.1649628506,17.3467665346,12.2382232248,9,2026|2026|2021|2021|2025|2024
year_block_bootstrap,free_w,usd,22,5,0.811668978137,13.1713001217,13.0035256837,17.2088790442,12.172984431,10,2021|2022|2024|2024|2022|2026
year_block_bootstrap,free_w,usd,24,5,0.566739613276,12.582333748,14.3235160981,17.13477542,11.8807197255,11,2023|2023|2022|2022|2025|2023
year_block_bootstrap,free_w,usd,22,5,0.801206921634,12.7958167715,13.3163336108,17.3738108864,12.1437063443,12,2025|2021|2025|2021|2026|2023
year_block_bootstrap,free_w,usd,22,5,0.769053368143,12.8332526971,13.3391649217,17.4438225834,12.0623241716,13,2023|2025|2023|2021|2026|2023
year_block_bootstrap,free_w,usd,24,5,0.777482444924,12.8595262877,13.3234132887,17.2900680601,12.0949167342,14,2024|2021|2023|2025|2022|2025
year_block_bootstrap,free_w,usd,24,5,0.826065057946,13.3302334618,12.8407928828,17.4340220154,12.1852224159,15,2024|2021|2023|2024|2023|2024
year_block_bootstrap,free_w,usd,20,5,0.391583102581,12.3051103042,15.1194946123,16.9152350876,11.8801893865,16,2024|2024|2026|2023|2023|2026
year_block_bootstrap,free_w,usd,20,5,0.63770813863,12.6536222807,13.880957272,17.0490919861,11.9667328895,17,2024|2022|2026|2022|2025|2026
year_block_bootstrap,free_w,usd,22,5,0.773801540296,12.7484739086,13.3719849725,17.3821180647,12.0748026651,18,2021|2026|2025|2023|2023|2025
year_block_bootstrap,free_w,usd,20,5,0.579605612977,12.5042962731,14.2049778762,17.1576492149,11.90968566,19,2023|2023|2026|2022|2026|2025
year_block_bootstrap,free_w,usd,18,5,0.819858361181,12.7850165515,13.1680610151,17.3092549932,12.1371100136,20,2025|2026|2026|2021|2025|2026
year_block_bootstrap,free_w,usd,24,5,0.819417909464,12.7504874857,13.418268434,17.3220052629,12.1861595097,21,2025|2025|2025|2021|2021|2021
year_block_bootstrap,free_w,usd,16,5,0.803223873806,12.8032022137,13.1681070641,17.1597341741,12.0403998616,22,2022|2025|2026|2026|2026|2026
year_block_bootstrap,free_w,usd,22,5,0.799984259609,13.049084407,13.2080383646,17.4042474363,12.1384800844,23,2023|2021|2021|2023|2026|2022
year_block_bootstrap,free_w,usd,24,5,0.809532138499,13.2368943835,13.1786803416,17.3180548571,12.1196622501,24,2022|2021|2023|2021|2023|2022
year_block_bootstrap,free_w,usd,24,5,0.81720774862,13.1654551206,13.0781090703,17.2886358245,12.2044967674,25,2021|2024|2025|2024|2021|2022
year_block_bootstrap,free_w,usd,24,5,0.57871743937,12.6462551824,14.1926997368,17.0978775668,11.9191550262,26,2025|2022|2022|2024|2023|2023
year_block_bootstrap,free_w,usd,22,5,0.463941555308,12.4371096221,14.6820977923,16.914980512,11.9352924761,27,2022|2025|2024|2026|2024|2024
year_block_bootstrap,free_w,usd,22,5,0.798863708626,12.7957693469,13.2776721825,17.2958386286,12.0849793019,28,2025|2025|2026|2021|2023|2022
year_block_bootstrap,free_w,usd,22,5,0.795371015952,12.8476747258,13.2445030108,17.2551075476,12.1219689325,29,2021|2026|2022|2025|2024|2025
year_block_bootstrap,free_w,usd,24,5,0.574508533101,12.7162248635,14.0985307687,17.0113004484,11.9730411798,30,2024|2024|2022|2025|2024|2022
year_block_bootstrap,free_w,usd,22,5,0.855463508265,13.0067575421,13.056013012,17.1575289205,12.1907688804,31,2021|2021|2022|2026|2025|2022
year_block_bootstrap,free_w,usd,24,5,0.809532138499,13.2368943835,13.1786803416,17.3180548571,12.1196622501,32,2021|2022|2022|2021|2023|2023
year_block_bootstrap,free_w,usd,24,5,0.477868212363,12.3694321748,14.6875641002,16.9931301922,11.9270613398,33,2022|2024|2025|2025|2023|2024
year_block_bootstrap,free_w,usd,18,5,0.438491989802,12.3387303479,14.8773512326,17.0209893887,11.8831435057,34,2026|2026|2024|2023|2026|2023
year_block_bootstrap,free_w,usd,24,5,0.796161446349,12.9772426998,13.3102238134,17.3676581838,12.1145367898,35,2021|2023|2022|2025|2023|2021
year_block_bootstrap,free_w,usd,22,5,0.812097610287,13.1766933703,13.0285451985,17.4148442142,12.241956778,36,2021|2024|2021|2026|2024|2023
